Uniq_ID,FRP,tube_number,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total.yield_ng,elution_vol_ul,org_sample_ul,target,sq_all.runs_mean,libraries
6141_123_9,6141,123,NA,9,1,I,13.1,196.5,15,NA,Hemato,6789,c
6141_249_12,6141,249,cold,12,1,I,18.6,241.8,15,35,Hemato,6789,c
6141_451_26,6141,451,cold,26,1,I,65.6,852.8,14,all,Hemato,6789,c
6141_451_26,6141,451,cold,26,1,I,4.56,114,30,all,Hemato,6789,c
6144_14_9,6144,14,NA,9,1,I,4.92,221.4,50,all,Hemato,1067,a
6144_14_9,6144,14,NA,9,1,I,4.92,221.4,50,all,,1067,a
6144_348_12,6144,348,ambient,12,1,I,5.76,259.2,50,all,Hemato,1067,a
6144_348_12,6144,348,ambient,12,1,I,5.76,259.2,50,all,,1067,a
6144_477_26,6144,477,ambient,26,1,I,20.3,203,15,35,Hemato,1067,a
6144_477_26,6144,477,ambient,26,1,I,20.3,203,15,35,,1067,a
6144_477_26,6144,477,ambient,26,1,I,1.84,82.8,50,all,Hemato,1067,a
6144_477_26,6144,477,ambient,26,1,I,1.84,82.8,50,all,,1067,a
6171_73_9,6171,73,NA,9,0,I,5.28,237.6,50,all,Hemato,380503,c
6171_221_12,6171,221,cold,12,0,I,3.22,144.9,50,all,Hemato,380503,c
6171_427_26,6171,427,cold,26,0,I,3.71,166.95,50,all,Hemato,380503,c
6187_158_9,6187,158,NA,9,1,I,18.6,241.8,15,35,Hemato,1447,c
6187_239_12,6187,239,cold,12,1,I,20.3,263.9,15,35,Hemato,1447,c
6187_431_26,6187,431,cold,26,1,I,37.2,483.6,14,all,Hemato,1447,c
6187_431_26,6187,431,cold,26,1,I,8.38,108.94,14,all,Hemato,1447,c
6192_178_9,6192,178,NA,9,1,I,26,1170,50,all,Hemato,1119,a
6192_359_12,6192,359,ambient,12,1,I,5.68,255.6,50,all,Hemato,1119,a
6192_463_26,6192,463,ambient,26,1,I,2.83,127.35,50,all,Hemato,1119,a
6199_151_9,6199,151,NA,9,1,I,18.6,241.8,15,35,Hemato,1550,c
6199_254_12,6199,254,cold,12,1,I,28.4,369.2,15,35,Hemato,1550,c
6199_445_26,6199,445,cold,26,1,I,20.4,306,15,all,Hemato,1550,c
6203_113_9,6203,113,NA,9,0,M,38.1,495.3,15,70,Hemato,3070,c
6203_222_12,6203,222,cold,12,0,M,30.6,397.8,15,70,Hemato,3070,c
6203_425_26,6203,425,cold,26,0,M,29.9,388.7,15,70,Hemato,3070,c
6211_118_9,6211,118,NA,9,1,I,51,663,15,70,Hemato,105477,a
6211_118_9,6211,118,NA,9,1,I,51,663,15,70,,105477,a
6211_349_12,6211,349,ambient,12,1,I,5.56,250.2,50,all,Hemato,105477,a
6211_349_12,6211,349,ambient,12,1,I,5.56,250.2,50,all,,105477,a
6211_481_26,6211,481,ambient,26,1,I,17.9,232.7,15,70,Hemato,105477,a
6211_481_26,6211,481,ambient,26,1,I,17.9,232.7,15,70,,105477,a
6212_132_9,6212,132,NA,9,1,I,11.3,146.9,15,70,Hemato,333000,a
6212_334_12,6212,334,ambient,12,1,I,15.6,202.8,15,70,Hemato,333000,a
6212_485_26,6212,485,ambient,26,1,I,7.61,98.93,15,70,Hemato,333000,a
6212_485_26,6212,485,ambient,26,1,I,5.52,71.76,14,all,Hemato,333000,a
6225_92_9,6225,92,NA,9,1,I,6.56,295.2,50,all,Hemato,163000,w
6225_298_12,6225,298,warm,12,1,I,2.1,94.5,50,all,Hemato,163000,w
6243_173_9,6243,173,NA,9,1,I,4.77,71.55,15,35,Hemato,4515,w
6243_272_12,6243,272,warm,12,1,I,9.42,122.46,15,35,Hemato,4515,w
6250_72_9,6250,72,NA,9,1,I,9.16,137.4,15,35,Hemato,119500,w
6250_294_12,6250,294,warm,12,1,I,5.23,67.99,15,35,Hemato,119500,w
6273_127_9,6273,127,NA,9,1,I,72,936,15,70,Hemato,211000,w
6273_280_12,6273,280,warm,12,1,I,17.9,232.7,15,70,Hemato,211000,w
6274_122_9,6274,122,NA,9,1,I,17.8,231.4,15,70,Hemato,9085,w
6274_367_12,6274,367,warm,12,1,I,24.3,315.9,15,70,Hemato,9085,w
