"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"118","2017-6140",6140,1,"6140_8_9",9,"I","8A",3183,3187,NA,2,"drain end",450,"","","","110","3","15","8/9/18 13:03","Out of range",10,"#VALUE!"
"119","2017-6140",6140,1,"6140_237_12",12,"I","2C",3183,3187,NA,2,"",132,"","","","110","3","15",NA,NA,NA,NA
"120","2017-6140",6140,1,"6140_429_26",26,"I","2C",3183,3187,NA,2,"",322,"","","","110","3","15","5/1/18 17:59","2.69",35,"94.15"
"121","2017-6141",6141,1,"6141_123_9",9,"I","3C",3200,3402,NA,3,"drain end",28,"","","","122.9","3","18.9",NA,NA,NA,NA
"122","2017-6141",6141,1,"6141_249_12",12,"I","3C",3200,3402,NA,3,"",145,"","","","122.9","3","18.9","4/28/18 15:42","4.4",35,"154"
"123","2017-6141",6141,1,"6141_451_26",26,"I","3C",3200,3402,NA,3,"",347,"","","","122.9","3","18.9",NA,NA,NA,NA
"124","2017-6142",6142,0,"6142_65_9",9,"I","7A",3203,3230,NA,7,"drain end",434,"","","","96.5","3","14.3","4/10/18 17:23","3.9",35,"136.5"
"125","2017-6142",6142,0,"6142_346_12",12,"I","7A",3203,3230,NA,7,"",250,"","","","96.5","3","14.3",NA,NA,NA,NA
"126","2017-6142",6142,0,"6142_474_26",26,"I","7A",3203,3230,NA,7,"",372,"","","","96.5","3","14.3",NA,NA,NA,NA
"127","2017-6143",6143,0,"6143_10_9",9,"M","8A",3216,3451,NA,7,"drain end",3,"","","","118.8","4","22.3","5/24/18 13:50","7.2",35,"252"
"128","2017-6143",6143,0,"6143_343_12",12,"M","7A",3216,3451,NA,7,"",247,"","","","118.8","4","22.3","4/24/18 14:32","6.44",35,"225.4"
"129","2017-6143",6143,0,"6143_479_26",26,"M","7A",3216,3451,NA,7,"",377,"","","","118.8","4","22.3",NA,NA,NA,NA
"130","2017-6144",6144,1,"6144_14_9",9,"I","8A",3225,3507,NA,7,"drain end",46,"","","","128","3","17","4/3/18 15:08","5.04",35,"176.4"
"131","2017-6144",6144,1,"6144_348_12",12,"I","7A",3225,3507,NA,7,"",252,"","","","128","3","17",NA,NA,NA,NA
"132","2017-6144",6144,1,"6144_477_26",26,"I","7A",3225,3507,NA,7,"",375,"","","","128","3","17",NA,NA,NA,NA
"133","2017-6145",6145,1,"6145_59_9",9,"I","7A",3232,3323,NA,9,"drain end",427,"","","","112.3","3","15.3","5/1/18 17:59","3.71",35,"129.85"
"134","2017-6145",6145,1,"6145_305_12",12,"I","9A",3232,3323,NA,9,"",207,"#4","replacement tube","","112.3","3","15.3","4/29/18 17:58","1.88",35,"65.8"
"135","2017-6145",6145,1,"6145_505_26",26,"I","9A",3232,3323,NA,9,"",407,"","","","112.3","3","15.3",NA,NA,NA,NA
"136","2017-6146",6146,0,"6146_12_9",9,"I","8A",3237,3399,NA,9,"drain end",24,"","","","106.1","4","19",NA,NA,NA,NA
"137","2017-6146",6146,0,"6146_309_12",12,"I","9A",3237,3399,NA,9,"",210,"","","","106.1","4","19",NA,NA,NA,NA
"138","2017-6146",6146,0,"6146_502_26",26,"I","9A",3237,3399,NA,9,"",404,"","","","106.1","4","19","8/9/18 13:01","Out of range",10,"#VALUE!"
"139","2017-6147",6147,0,"6147_30_9",9,"I","8A",3241,3309,NA,1,"drain end",202,"","","","119.5","4","18.3","4/23/18 18:02","4.68",35,"163.8"
"140","2017-6147",6147,0,"6147_204_12",12,"I","1C",3241,3309,NA,1,"",98,"","","","119.5","4","18.3",NA,NA,NA,NA
"141","2017-6147",6147,0,"6147_421_26",26,"I","1C",3241,3309,NA,1,"",314,"","","","119.5","4","18.3","4/9/18 13:19","1.42",35,"49.7"
"142","2017-6148",6148,1,"6148_56_9",9,"I","7A",3251,3422,NA,1,"drain end",424,"","","","116.1","3","17",NA,NA,NA,NA
"143","2017-6148",6148,1,"6148_213_12",12,"I","1C",3251,3422,NA,1,"",107,"","","","116.1","3","17","5/2/18 13:07","2.59",35,"90.65"
"144","2017-6148",6148,1,"6148_405_26",26,"I","1C",3251,3422,NA,1,"",296,"","","","116.1","3","17",NA,NA,NA,NA
"145","2017-6149",6149,1,"6149_64_9",9,"I","7A",3253,3578,NA,2,"drain end",433,"","","","115.4","3","16.3","8/9/18 13:03","Out of range",10,"#VALUE!"
"146","2017-6149",6149,1,"6149_226_12",12,"I","2C",3253,3578,NA,2,"",120,"","","","115.4","3","16.3","4/20/18 14:18","0",35,"0"
"147","2017-6149",6149,1,"6149_437_26",26,"I","2C",3253,3578,NA,2,"",331,"","","","115.4","3","16.3",NA,NA,NA,NA
"148","2017-6150",6150,0,"6150_119_9",9,"M","3C",3257,3261,NA,9,"drain end",23,"","","","130","3","27.8","4/23/18 17:41","1.16",35,"40.6"
"149","2017-6150",6150,0,"6150_312_12",12,"M","9A",3257,3261,NA,9,"",214,"","","","130","3","27.8","4/24/18 14:51","3.55",35,"124.25"
"150","2017-6150",6150,0,"6150_511_26",26,"M","9A",3257,3261,NA,9,"",413,"","","","130","3","27.8","8/9/18 13:02","Out of range",10,"#VALUE!"
"151","2017-6151",6151,1,"6151_19_9",9,"I","8A",3265,3574,NA,3,"drain end",92,"","","","115.7","3","15.6","5/24/18 17:46","6.56",35,"229.6"
"152","2017-6151",6151,1,"6151_243_12",12,"I","3C",3265,3574,NA,3,"",139,"","","","115.7","3","15.6",NA,NA,NA,NA
"153","2017-6151",6151,1,"6151_454_26",26,"I","3C",3265,3574,NA,3,"",350,"","","","115.7","3","15.6",NA,NA,NA,NA
"154","2017-6152",6152,0,"6152_32_9",9,"M","9A",3270,3275,NA,7,"drain end",222,"","","","113","3","22.5",NA,NA,NA,NA
"155","2017-6152",6152,0,"6152_344_12",12,"M","7A",3270,3275,NA,7,"",248,"","","","113","3","22.5",NA,NA,NA,NA
"156","2017-6152",6152,0,"6152_467_26",26,"M","7A",3270,3275,NA,7,"",364,"","","","113","3","22.5",NA,NA,NA,NA
"157","2017-6153",6153,0,"6153_11_9",9,"M","8A",3281,3308,NA,1,"drain end",13,"","","","113.5","4","22.1",NA,NA,NA,NA
"158","2017-6153",6153,0,"6153_209_12",12,"M","1C",3281,3308,NA,1,"",103,"","","","113.5","4","22.1",NA,NA,NA,NA
"159","2017-6153",6153,0,"6153_404_26",26,"M","1C",3281,3308,NA,1,"",295,"","","","113.5","4","22.1",NA,NA,NA,NA
"160","2017-6154",6154,0,"6154_68_9",9,"I","7A",3284,3570,NA,2,"drain end",437,"","","","124.3","3","19.3",NA,NA,NA,NA
"161","2017-6154",6154,0,"6154_232_12",12,"I","2C",3284,3570,NA,2,"",127,"","","","124.3","3","19.3",NA,NA,NA,NA
"162","2017-6154",6154,0,"6154_436_26",26,"I","2C",3284,3570,NA,2,"",330,"","","","124.3","3","19.3",NA,NA,NA,NA
"163","2017-6155",6155,1,"6155_66_9",9,"I","7A",3286,3371,NA,7,"drain end",435,"","","","93.1","3","13.6","4/23/18 18:02","0.92",35,"32.2"
"164","2017-6155",6155,1,"6155_358_12",12,"I","7A",3286,3371,NA,7,"",263,"","","","93.1","3","13.6",NA,NA,NA,NA
"165","2017-6155",6155,1,"6155_476_26",26,"I","7A",3286,3371,NA,7,"",374,"","","","93.1","3","13.6",NA,NA,NA,NA
"166","2017-6156",6156,0,"6156_24_9",9,"I","8A",3293,3370,NA,3,"drain end",135,"","","","120","3","17.1",NA,NA,NA,NA
"167","2017-6156",6156,0,"6156_242_12",12,"I","3C",3293,3370,NA,3,"",138,"","","","120","3","17.1",NA,NA,NA,NA
"168","2017-6156",6156,0,"6156_446_26",26,"I","3C",3293,3370,NA,3,"",341,"","","","120","3","17.1",NA,NA,NA,NA
"169","2017-6157",6157,0,"6157_169_9",9,"M","1C",3306,3354,NA,2,"drain end",78,"","","","122.6","4","25.3","4/24/18 14:51","2.19",35,"76.65"
"170","2017-6157",6157,0,"6157_224_12",12,"M","2C",3306,3354,NA,2,"",118,"","","","122.6","4","25.3",NA,NA,NA,NA
"171","2017-6157",6157,0,"6157_423_26",26,"M","2C",3306,3354,NA,2,"",316,"","","","122.6","4","25.3",NA,NA,NA,NA
"172","2017-6158",6158,1,"6158_101_9",9,"I","3C",3310,3488,NA,8,"drain end",4,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.","","","124.5","3","18.9","4/6/18 13:38","3.52",35,"123.2"
"173","2017-6158",6158,1,"6158_324_12",12,"I","8A",3310,3488,NA,8,"",227,"","","","124.5","3","18.9",NA,NA,NA,NA
"174","2017-6158",6158,1,"6158_483_26",26,"I","8A",3310,3488,NA,8,"",382,"","","","124.5","3","18.9",NA,NA,NA,NA
"175","2017-6159",6159,1,"6159_26_9",9,"I","8A",3311,3551,NA,9,"drain end",157,"","","","117","3","16.4","5/23/18 14:55","7.6",35,"266"
"176","2017-6159",6159,1,"6159_313_12",12,"I","9A",3311,3551,NA,9,"",215,"","","","117","3","16.4","4/23/18 17:41","6.68",35,"233.8"
