Uniq_ID,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total-yield_ng,elution_vol_ul,org_sample_ul
6104_458_26,cold,26,0,I,0.92,4.6,10,all
6107_471_26,ambient,26,0,M,1.53,7.65,10,all
6164_460_26,cold,26,1,I,1.55,7.75,10,all
6118_430_26,cold,26,1,I,1.88,9.4,10,all
6190_452_26,cold,26,3,M,2.64,13.2,10,all
6126_418_26,cold,26,1,I,2.84,14.2,10,all
6200_416_26,cold,26,3,M,2.94,14.7,10,all
6148_405_26,cold,26,1,I,3.12,15.6,10,all
6128_441_26,cold,26,1,I,3.15,15.75,10,all
6182_462_26,ambient,26,1,I,3.3,16.5,10,all
6116_417_26,cold,26,1,I,3.51,17.55,10,all
6149_437_26,cold,26,1,I,3.82,19.1,10,all
6180_402_26,warm,26,0,I,4.36,21.8,10,all
6108_455_26,cold,26,1,I,4.88,24.4,10,all
6151_243_12,cold,12,1,I,2.3,29.9,15,35
6120_459_26,cold,26,1,I,6.48,32.4,10,all
6148_56_9,cold,9,1,I,0.896,35.84,50,all
6176_329_12,ambient,12,0,M,2.9,37.7,15,35
6215_253_12,cold,12,1,#N/A,0.84,37.8,50,all
6213_506_26,ambient,26,0,I,1.54,38.5,30,all
6130_339_12,ambient,12,0,I,0.88,39.6,50,all
6131_507_26,ambient,26,0,I,0.88,39.6,50,all
6176_48_9,ambient,9,0,M,3.1,40.3,15,35
6208_435_26,cold,26,1,I,0.92,41.4,50,all
6135_492_26,ambient,26,1,M,1.08,48.6,50,all
6202_109_9,ambient,9,1,I,3.76,48.88,15,35
6104_41_9,cold,9,0,I,3.95,51.35,15,35
6191_442_26,cold,26,0,I,4,52,14,all
6165_55_9,ambient,9,0,I,1.16,52.2,50,all
6215_23_9,cold,9,1,I,1.16,52.2,50,all
6139_493_26,ambient,26,3,M,4.02,52.26,15,70
6158_101_9,ambient,9,1,I,4.18,54.34,15,35
6190_101_9,cold,9,3,M,4.18,54.34,15,35
6204_448_26,cold,26,3,M,11.4,57,10,all
6102_18_9,cold,9,0,I,4.46,57.98,15,70
6198_154_9,cold,9,1,I,1.32,59.4,50,all
6110_135_9,ambient,9,0,I,4.6,59.8,14,15
6110_135_9,ambient,9,0,I,4.6,59.8,14,15
6170_516_26,ambient,26,1,I,4.6,59.8,14,10
6159_26_9,ambient,9,1,I,1.38,62.1,50,all
6123_473_26,ambient,26,0,I,4.8,62.4,14,all
6131_314_12,ambient,12,0,I,1.42,63.9,50,all
6184_513_26,ambient,26,1,I,1.44,64.8,50,all
6180_402_26,warm,26,0,I,1.46,65.7,50,all
6140_237_12,cold,12,1,I,5.06,65.78,15,35
6250_294_12,warm,12,1,I,5.23,67.99,15,35
6210_401_26,warm,26,1,I,5.27,68.51,15,70
6160_426_26,cold,26,0,M,5.28,68.64,14,all
6165_360_12,ambient,12,0,I,1.55,69.75,50,all
6151_19_9,cold,9,1,I,5.45,70.85,15,35
6243_173_9,warm,9,1,I,4.77,71.55,15,35
6212_485_26,ambient,26,1,I,5.52,71.76,14,all
6186_510_26,ambient,26,0,I,1.62,72.9,50,all
6132_205_12,cold,12,0,I,1.64,73.8,50,all
6181_175_9,ambient,9,0,I,1.64,73.8,50,all
6134_77_9,ambient,9,1,I,1.71,76.95,50,all
6166_21_9,ambient,9,0,I,1.72,77.4,50,all
6216_40_9,warm,9,0,I,1.75,78.75,50,all
6117_225_12,cold,12,0,I,1.76,79.2,50,all
6117_440_26,cold,26,0,I,1.77,79.65,50,all
6204_114_9,cold,9,3,M,5.37,80.55,15,NA
6205_121_9,ambient,9,0,I,6.23,80.99,15,35
6130_498_26,ambient,26,0,I,1.8,81,50,all
6142_346_12,ambient,12,0,I,1.8,81,50,all
6180_370_12,warm,12,0,I,1.8,81,50,all
6126_201_12,cold,12,1,I,6.27,81.51,15,35
6152_467_26,ambient,26,0,M,5.45,81.75,15,NA
6144_477_26,ambient,26,1,I,1.84,82.8,50,all
6278_413_26,cold,26,1,I,6.38,82.94,15,70
6167_207_12,cold,12,0,I,1.88,84.6,50,all
6169_486_26,ambient,26,1,I,5.87,88.05,15,NA
6109_480_26,ambient,26,0,I,6.86,89.18,14,all
6159_313_12,ambient,12,1,I,2,90,50,all
6102_439_26,cold,26,0,I,6.94,90.22,14,all
6135_327_12,ambient,12,1,M,2.01,90.45,50,all
6119_153_9,cold,9,0,I,2.02,90.9,50,all
6170_516_26,ambient,26,1,I,7,91,14,50
6214_311_12,ambient,12,1,I,2.05,92.25,50,all
6175_447_26,cold,26,0,I,7.2,93.6,14,all
6154_68_9,cold,9,0,I,2.1,94.5,50,all
6225_298_12,warm,12,1,I,2.1,94.5,50,all
6188_443_26,cold,26,1,I,7.28,94.64,14,all
6208_229_12,cold,12,1,I,2.12,95.4,50,all
6204_114_9,cold,9,3,M,6.37,95.55,15,35
6271_295_12,warm,12,0,M,7.54,98.02,15,70
6146_502_26,ambient,26,0,I,2.18,98.1,50,all
6210_401_26,warm,26,1,I,2.18,98.1,50,all
6252_99_9,ambient,9,3,M,6.56,98.4,15,35
6113_78_9,cold,9,0,I,2.19,98.55,50,all
6212_485_26,ambient,26,1,I,7.61,98.93,15,70
6152_344_12,ambient,12,0,M,6.65,99.75,15,NA
6143_343_12,ambient,12,0,M,7.73,100.49,15,35
6179_34_9,ambient,9,0,M,7.84,101.92,15,35
6258_140_9,warm,9,3,M,6.92,103.8,15,35
6145_59_9,ambient,9,1,I,2.34,105.3,50,all
6154_232_12,cold,12,0,I,2.38,107.1,50,all
6120_165_9,cold,9,1,I,7.15,107.25,15,35
6279_13_9,cold,9,1,I,8.29,107.77,15,70
6227_366_12,warm,12,1,I,2.41,108.45,50,all
6187_431_26,cold,26,1,I,8.38,108.94,14,all
6145_305_12,ambient,12,1,I,2.44,109.8,50,all
6210_274_12,warm,12,1,I,2.44,109.8,50,all
6149_64_9,cold,9,1,I,7.33,109.95,15,35
6251_376_12,warm,12,1,I,8.47,110.11,15,35
6254_296_12,warm,12,0,I,8.49,110.37,15,35
6247_152_9,warm,9,0,I,2.46,110.7,50,all
6180_149_9,warm,9,0,I,2.51,112.95,50,all
6141_451_26,cold,26,1,I,4.56,114,30,all
6214_107_9,ambient,9,1,I,2.59,116.55,50,all
6185_336_12,ambient,12,0,I,2.62,117.9,50,all
6115_307_12,ambient,12,1,I,7.89,118.35,15,NA
6114_484_26,ambient,26,1,I,9.12,118.56,14,all
6129_403_26,warm,26,1,I,2.64,118.8,50,all
6138_80_9,cold,9,0,I,2.66,119.7,50,all
6183_494_26,ambient,26,1,I,2.66,119.7,50,all
6134_353_12,ambient,12,1,I,2.68,120.6,50,all
6161_302_12,ambient,12,0,M,8.04,120.6,15,NA
6183_322_12,ambient,12,1,I,2.69,121.05,50,all
6195_304_12,ambient,12,1,I,2.69,121.05,50,all
6243_272_12,warm,12,1,I,9.42,122.46,15,35
6198_428_26,cold,26,1,I,2.75,123.75,50,all
6132_88_9,cold,9,0,I,2.81,126.45,50,all
6110_488_26,ambient,26,0,I,9.74,126.62,14,all
6192_463_26,ambient,26,1,I,2.83,127.35,50,all
6184_318_12,ambient,12,1,I,2.84,127.8,50,all
6121_472_26,ambient,26,1,I,8.57,128.55,15,NA
6123_473_26,ambient,26,0,I,9.91,128.83,15,70
6220_162_9,warm,9,1,I,2.88,129.6,50,all
6173_63_9,cold,9,1,I,10,130,15,35
6215_457_26,cold,26,1,#N/A,10,130,15,70
6108_455_26,cold,26,1,I,10.2,132.6,15,70
6180_402_26,warm,26,0,I,10.3,133.9,15,70
6186_306_12,ambient,12,0,I,3.03,136.35,50,all
6221_380_12,warm,12,1,I,3.03,136.35,50,all
6134_465_26,ambient,26,1,I,9.1,136.5,15,NA
6250_72_9,warm,9,1,I,9.16,137.4,15,35
6129_86_9,warm,9,1,I,3.09,139.05,50,all
6208_106_9,cold,9,1,I,3.1,139.5,50,all
6252_330_12,ambient,12,3,M,11,143,15,70
6171_221_12,cold,12,0,I,3.22,144.9,50,all
6212_132_9,ambient,9,1,I,11.3,146.9,15,70
6279_411_26,cold,26,1,I,11.3,146.9,15,70
6181_355_12,ambient,12,0,I,3.32,149.4,50,all
6191_95_9,cold,9,0,I,11.5,149.5,15,35
6193_174_9,ambient,9,1,I,3.36,151.2,50,all
6275_372_12,warm,12,3,M,10.1,151.5,15,NA
6127_37_9,ambient,9,0,I,3.38,152.1,50,all
6136_321_12,ambient,12,0,M,11.7,152.1,15,35
6153_11_9,cold,9,0,M,11.7,152.1,15,35
6160_7_9,cold,9,0,M,11.8,153.4,15,35
6186_171_9,ambient,9,0,I,3.41,153.45,50,all
6195_501_26,ambient,26,1,I,3.41,153.45,50,all
6227_83_9,warm,9,1,I,3.44,154.8,50,all
6127_335_12,ambient,12,0,I,3.46,155.7,50,all
6204_252_12,cold,12,3,M,10.5,157.5,15,35
6185_487_26,ambient,26,0,I,3.51,157.95,50,all
6135_4_9,ambient,9,1,M,3.52,158.4,50,all
6103_409_26,cold,26,1,I,12.2,158.6,15,70
6258_261_12,warm,12,3,M,10.6,159,15,NA
6272_338_12,ambient,12,0,I,10.6,159,15,NA
6113_214_12,cold,12,0,I,3.55,159.75,50,all
6101_415_26,cold,26,0,I,12.3,159.9,15,70
6215_457_26,cold,26,1,#N/A,3.58,161.1,50,all
6147_204_12,cold,12,0,I,3.6,162,50,all
6178_218_12,cold,12,0,M,12.5,162.5,15,35
6147_421_26,cold,26,0,I,3.64,163.8,50,all
6276_50_9,ambient,9,0,I,12.6,163.8,15,35
6155_358_12,ambient,12,1,I,3.71,166.95,50,all
6171_427_26,cold,26,0,I,3.71,166.95,50,all
6162_220_12,cold,12,1,I,12.9,167.7,15,35
6119_461_26,cold,26,0,I,11.2,168,15,all
6206_319_12,ambient,12,1,I,11.2,168,15,NA
6106_241_12,cold,12,0,M,13,169,15,35
6222_1_9,warm,9,0,M,13,169,15,35
6151_454_26,cold,26,1,I,11.4,171,15,NA
6275_110_9,warm,9,3,M,11.4,171,15,35
6214_504_26,ambient,26,1,I,13.2,171.6,15,70
6194_98_9,cold,9,0,M,13.3,172.9,15,70
