Date_isolated,Uniq_ID,Tube_no,total_sample_µL,sample_used_µL,conc_ng/µL,total_yield_ng
3/13/18,6134_77_9,77,50,5,1.71,85.5
3/13/18,6134_465_26,465,50,5,N/A,N/A
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/13/18,,,50,5,,
3/21/18,6159_313_12,313,50,5,2,100
3/21/18,6159_508_26,508,50,5,N/A,N/A
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/21/18,,,50,5,,
3/27/18,6142_65_9,65,50,5,N/A,N/A
3/27/18,6130_498_26,498,50,5,1.8,90
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/27/18,,,50,5,,
3/28/18,6165_55_9,55,50,5,1.16,58
3/28/18,6165_469_26,469,50,5,5.16,258
3/28/18,,,50,5,,
3/28/18,,,50,5,,
3/28/18,,,50,5,,
3/28/18,,,50,5,,
3/28/18,,,50,5,,
3/28/18,,,50,5,,
3/28/18,,,50,5,,
4/3/18,6103_46_9,46,50,5,5.04,252
4/3/18,6215_457_26,457,50,5,3.58,179
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/3/18,,,50,5,,
4/4/18,6198_154_9,154,50,5,1.32,66
4/4/18,6198_428_26,428,50,5,2.75,137.5
4/4/18,,,50,5,,
4/4/18,,,50,5,,
4/4/18,,,50,5,,
4/4/18,,,50,5,,
4/4/18,,,50,5,,
4/4/18,,,50,5,,
4/4/18,,,50,5,,
