Sample ID,Run ID,Assay Name,Test Name,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
6252_330_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143738,2019/04/30 14:37:38,110,ng/mL,11,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,570.97
6110_331_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143744,2019/04/30 14:37:44,219,ng/mL,21.9,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1039.93
6139_332_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143751,2019/04/30 14:37:51,160,ng/mL,16,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,793.36
6212_334_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143757,2019/04/30 14:37:57,156,ng/mL,15.6,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,773.2
6123_345_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143804,2019/04/30 14:38:04,191,ng/mL,19.1,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,925.85
6124_347_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143811,2019/04/30 14:38:11,188,ng/mL,18.8,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,910.47
6107_350_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143817,2019/04/30 14:38:17,204,ng/mL,20.4,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,978.05
6109_351_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143823,2019/04/30 14:38:23,136,ng/mL,13.6,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,688.06
6111_356_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143830,2019/04/30 14:38:30,213,ng/mL,21.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1015.06
6269_364_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143836,2019/04/30 14:38:36,211,ng/mL,21.1,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1008.41
6274_367_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143843,2019/04/30 14:38:43,243,ng/mL,24.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1140.72
