"Run ID","Assay Name","Test Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133632","2020/01/27 13:36:32","Out of range","ng/mL","Out of range","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"107.03"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133400","2020/01/27 13:34:00","131","ng/mL","13.1","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"603.42"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133346","2020/01/27 13:33:46","105","ng/mL","10.5","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"500.34"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133332","2020/01/27 13:33:32","141","ng/mL","14.1","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"642.28"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133312","2020/01/27 13:33:12","144","ng/mL","14.4","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"655.06"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133258","2020/01/27 13:32:58","47.7","ng/mL","4.77","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"268.10"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133245","2020/01/27 13:32:45","71.5","ng/mL","7.15","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"364.13"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133231","2020/01/27 13:32:31","122","ng/mL","12.2","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"566.16"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133219","2020/01/27 13:32:19","69.2","ng/mL","6.92","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"354.52"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133200","2020/01/27 13:32:00","313","ng/mL","31.3","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"1267.68"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133141","2020/01/27 13:31:41","63.7","ng/mL","6.37","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"332.40"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133125","2020/01/27 13:31:25","114","ng/mL","11.4","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"532.89"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133111","2020/01/27 13:31:11","65.6","ng/mL","6.56","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"340.14"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133051","2020/01/27 13:30:51","141","ng/mL","14.1","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"640.11"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133038","2020/01/27 13:30:38","191","ng/mL","19.1","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"835.23"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133027","2020/01/27 13:30:27","180","ng/mL","18.0","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"790.51"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-133014","2020/01/27 13:30:14","178","ng/mL","17.8","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"784.80"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-132943","2020/01/27 13:29:43","91.6","ng/mL","9.16","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"445.15"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-132923","2020/01/27 13:29:23","73.3","ng/mL","7.33","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"371.28"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-132900","2020/01/27 13:29:00","Out of range","ng/mL","Out of range","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"99.49"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-132847","2020/01/27 13:28:47","Out of range","ng/mL","Out of range","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"106.98"
"2020-01-27_132737","RNA High sensitivity","Sample_#200127-132821","2020/01/27 13:28:21","63.3","ng/mL","6.33","ng/µL","2","100","89.35","1837.97",,"Red","Far Red",,"330.72"
