"","value","count"
"1","cytoskeletal activity",1993
"2","enzyme regulator activity",1011
"3","extracellular structural activity",20
"4","kinase activity",2621
"5","nucleic acid binding activity",10770
"6","other molecular function",35702
"7","signal transduction activity",919
"8","transcription regulatory activity",4119
"9","translation activity",111
"10","transporter activity",2871
