"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"14","GOTERM_BP_ALL","GO:0022622~root system development",26,0.691673317371641,4.00161362933339e-09,"Q5U9F2, Q38997, Q9LKB9, Q9M9W8, Q5QN75, Q9LT31, F4K5J1, Q05609, F4HTM3, P55034, Q9LPD9, Q9XIE6, F4JLE5, Q9C512, Q8W4D0, Q94A97, F4K2E9, Q8L796, O48709, Q9FFN7, Q8W1X2, Q9FPS9, Q9SL67, Q9LRZ5, Q8GWE6, Q0WPX9",3357,26,8103,2.41376228775693,3.54016489018116e-05,3.21838350780812e-06,8.07260971402712e-06
"15","GOTERM_BP_ALL","GO:0061458~reproductive system development",123,3.27214684756584,8.38863508367173e-09,"Q86GL4, Q9NR09, Q69ZR2, Q09442, O80775, P62755, F4JY37, Q8W034, F4K5J1, Q9W0K4, Q9SYM4, F4K4E3, Q9LPD9, O22040, Q558K8, Q9C6B3, Q01842, Q23978, P00787, Q8T6B7, P48166, Q54I71, F4IEM5, Q8T6J2, Q9C774, P24100, Q11183, Q94AH6, Q54QB1, Q67Z52, Q09522, Q54BU4, Q9LKB9, Q6NLV4, Q9C6W5, P51592, P40614, A0A0G2JZ79, O23247, A2AJK6, Q8NEZ3, Q9ZVH4, P07207, Q9CAD5, P05987, Q8BPT6, Q8NI77, Q14151, Q18786, F4K2E9, Q8MQU6, Q941I6, Q54KA7, Q9Y194, Q10N20, Q54P13, Q941Q3, Q9TZC4, P10180, Q86H13, Q9FJL0, Q54TR1, Q9M4A1, Q6UPR8, O80507, P11584, B5X0I6, Q18885, Q550K8, Q9LT31, O49552, Q9FFK8, Q91YE3, P08799, Q6ZFZ4, Q80YX1, O08586, O62698, Q94K01, P45432, Q10G81, Q3UGF1, Q9FPS9, Q9LKF9, Q9U299, P28178, Q9BYW2, P52285, O04714, Q54JR2, Q8T2I8, Q08DJ8, Q54LY5, Q8RWS8, P35129, Q7KQZ4, Q8WU20, P55034, Q9QVC8, P08630, P34117, Q54R82, Q6EX42, Q05086, Q54YZ0, P42525, O08759, F4JGR5, Q8VY00, F4I2J8, Q9XYS3, Q8W4D0, Q54JH6, Q9Y0A1, Q23917, Q9M8Z5, Q9ZRV4, P92208, Q9FL69, Q8T8P3, P43246, O22145, Q9LV09",3357,199,8103,1.49192342409096,7.42115014070732e-05,6.18450214395772e-06,1.69227170276898e-05
"16","GOTERM_BP_ALL","GO:0048229~gametophyte development",23,0.611864857674913,5.05887850278605e-08,"Q9M4A1, Q9SF37, Q8H1U5, O80775, F4JY37, Q10G81, Q8LES0, Q9LT02, F4J4C8, Q941I6, Q9LJD8, Q8S1Z1, Q10N20, Q2QAV0, F9W301, Q9M8D3, Q9SMX1, Q9ZRV4, P24100, P55034, Q8GYD2, Q39024, Q9LV09",3357,23,8103,2.41376228775693,0.000447458853071514,3.44270221962484e-05,0.000102054665096496
"17","GOTERM_BP_ALL","GO:0090567~reproductive shoot system development",20,0.532056397978186,6.28310272298367e-07,"Q9CAD5, Q6EX42, Q9M4A1, Q9C6B3, O04714, Q8W4D0, Q9LKB9, Q6NLV4, B5X0I6, Q10N20, F4K5J1, Q9FFK8, Q9M8Z5, Q941Q3, Q9FPS9, Q9FL69, Q9ZVH4, P55034, Q9LV09, O22040",3357,20,8103,2.41376228775693,0.00554324194547795,0.000396968524631447,0.00126750700208955
"18","GOTERM_BP_ALL","GO:0046686~response to cadmium ion",40,1.06411279595637,8.51639981606701e-07,"O81149, Q9ZSK4, Q8QGH2, P36428, Q38931, Q78JT3, Q7DLR9, Q8W4M5, Q9LXC9, Q9LF98, Q9FXA2, Q94B78, Q08DJ8, P53042, O82514, P42893, Q9SF16, P92939, Q9S7C0, P48506, P54609, Q84XU2, P22953, Q9LFN6, P19468, Q10075, Q94A97, P29147, Q9SA73, O23717, Q9LV03, Q9LP45, Q9LJL3, Q8W103, P92208, Q9SPK5, Q9FVT2, Q38950, O48646, O23254",3357,52,8103,1.85674022135148,0.00750614921832782,0.000502171344806346,0.00171803227887457
"19","GOTERM_BP_ALL","GO:0009908~flower development",19,0.505453578079276,1.44816424133432e-06,"Q6EX42, Q9M4A1, Q9C6B3, O04714, Q8W4D0, Q9LKB9, Q6NLV4, B5X0I6, Q10N20, F4K5J1, Q9FFK8, Q9M8Z5, Q941Q3, Q9FPS9, Q9FL69, Q9ZVH4, P55034, Q9LV09, O22040",3357,19,8103,2.41376228775693,0.0127301950769783,0.00080042438434158,0.0029213972304043
"20","GOTERM_BP_ALL","GO:0022613~ribonucleoprotein complex biogenesis",261,6.94333599361532,2.3472333398971e-06,"Q45826, O94268, Q8VBV3, Q9H0A0, Q9HDY4, P62755, O80775, P54453, Q86HD3, P62752, Q09305, P0CL18, Q10257, Q8T295, P05739, Q8C460, P49692, O60508, Q04217, Q3SYU1, Q0UWT7, Q8Y7M8, Q99567, A6U7A9, Q5ZIY4, Q5SWD9, Q9V411, Q54FW9, Q8NDF8, Q7UHU7, A7TMF9, Q9DCD2, Q9CZU3, Q9VKX4, Q99PV0, O94387, Q6DRC4, Q9C9R3, Q54KZ8, A9UNU6, Q7SXM7, Q5HZH2, O14206, Q8LPJ4, A0A0G2JZ79, Q1ZXK3, P20447, A2AJK6, Q5XH16, Q6P2Q9, Q9LM92, Q803X4, P83877, Q8N8A6, Q09817, Q9SHL7, Q6BIK6, P52756, Q5ZJ85, Q6P8C4, Q9NYH9, Q10752, Q5QMN3, Q9JJY4, Q9Y2P8, Q54C49, Q6AYB3, Q4R8Z2, Q91WM3, Q43292, Q15428, O64650, Q3T042, Q9C912, P62323, Q09689, Q01780, Q86IZ9, Q56X76, Q08972, O22785, O08586, Q8C4J7, Q6Z358, Q9CWX9, Q13107, Q9LZ17, Q54E49, A7SWH1, P62313, Q7SBC6, B3N4C7, Q10190, P51414, Q15024, A1C5V3, Q9LUQ6, Q54CD8, O94480, Q99633, Q9Y3B2, Q54TJ4, Q59LU0, Q5R631, Q9C1X1, Q9LD90, Q0V1H5, Q75K27, P46778, Q5ZMM1, Q8IY37, A6GZB7, A7SK48, Q6ZQ08, O94248, P0DJ54, Q986D9, P0DJ56, Q14690, Q8NKF4, Q9LMK0, Q6VEU1, P47838, Q9JMJ4, Q4IR18, Q8RXF1, P46782, Q6NS21, Q9NR30, P56183, Q7KWX9, Q5SUF2, Q8BHB4, Q8UVY2, O54781, Q9BZJ0, P79083, Q8L7K0, P32598, Q10170, Q7ZVE0, P36105, O74777, Q1LUA8, Q6DRJ4, Q9CAX6, Q9C5Z1, Q7RBT0, Q9C5Z2, O94443, Q9FJX2, Q8T6B9, Q8S1Z1, A5YKK6, A7RM20, Q9NV31, A0JP85, F4K4E3, O13982, Q5F3D7, A5I5U3, P32911, Q9SP08, Q7ZTZ2, O00567, Q9UTP9, O74945, P42795, Q6P8E9, Q14684, O94653, Q8R2N2, O35130, Q53GS9, C5JMX0, A1A5H6, P49211, Q9SGA6, Q8R5K4, B5FZ19, Q9P4X3, P38861, Q54PB2, Q5U2W5, Q09522, A7S7F2, Q5AYN6, Q7ZUG0, Q9VU02, Q9NVX2, P35684, P61222, A6QLH5, P35687, Q2GZQ4, Q0ITS8, Q99700, Q9FMU5, Q9DBY8, Q18786, O42661, O14325, Q3SWZ4, Q9UJK0, Q6FLF3, Q9LF30, Q755N4, P39524, Q6AYD3, P34788, Q56P27, Q9H0D6, Q12874, P63155, Q5RFQ0, O14040, Q9BZE4, A4IIX9, P56820, O14036, Q09916, Q8NI36, Q10101, Q80U96, O94906, Q8H0U4, Q9Y2X3, Q5ZKM1, Q9VAQ5, Q9SK22, Q9NVU7, P41838, Q0V8R7, P37276, P0CT84, O75533, Q9Z1D1, Q0CY48, O35900, A0JMQ0, Q9CR57, O95478, A7SDW5, O13823, Q8H136, Q869Q2, O75643, Q8K301, P31674, Q54T05, Q9HGM5, Q9LZH9, P22232, Q9H7B2, Q06287, Q5JKF2, Q9M8Z5, O14980, Q9CY21, Q9BRS2, Q5ZMS3",3357,507,8103,1.24258768659676,0.0205518691579174,0.00122078351500954,0.00473505813802788
"21","GOTERM_BP_ALL","GO:0042254~ribosome biogenesis",192,5.10774142059058,2.73548500209481e-06,"Q8VBV3, Q45826, O94268, P36105, O74777, Q9H0A0, Q9HDY4, Q6DRJ4, Q9CAX6, O80775, P62755, P54453, Q86HD3, Q7RBT0, P62752, O94443, Q9FJX2, Q10257, Q8S1Z1, P05739, Q8C460, Q9NV31, P49692, Q04217, Q3SYU1, Q0UWT7, O13982, Q5F3D7, A5I5U3, Q8Y7M8, Q9SP08, Q99567, Q7ZTZ2, A6U7A9, O00567, Q9UTP9, Q5ZIY4, O74945, P42795, Q6P8E9, Q5SWD9, Q9V411, Q14684, Q8R2N2, O94653, Q54FW9, Q8NDF8, O35130, Q7UHU7, C5JMX0, P49211, Q9SGA6, A7TMF9, Q8R5K4, Q9P4X3, P38861, Q54PB2, Q5U2W5, Q09522, Q9CZU3, A7S7F2, Q9VKX4, O94387, Q9C9R3, Q9NVX2, A9UNU6, P35684, P61222, O14206, Q5HZH2, A6QLH5, P35687, Q2GZQ4, Q8LPJ4, A0A0G2JZ79, P20447, Q0ITS8, A2AJK6, Q5XH16, Q803X4, Q9FMU5, Q9DBY8, Q8N8A6, Q09817, O14325, Q9SHL7, Q6BIK6, Q3SWZ4, Q6P8C4, Q9UJK0, Q6FLF3, Q9LF30, Q755N4, P39524, Q9NYH9, Q5QMN3, Q6AYD3, P34788, Q9Y2P8, Q56P27, Q9H0D6, Q5RFQ0, Q91WM3, O14040, Q9BZE4, Q43292, A4IIX9, O64650, Q3T042, Q9C912, Q09689, Q09916, Q8NI36, Q01780, Q10101, Q86IZ9, Q56X76, Q08972, O08586, Q80U96, Q8C4J7, Q9Y2X3, Q9CWX9, Q9LZ17, A7SWH1, Q5ZKM1, P62313, Q7SBC6, Q10190, Q9VAQ5, Q15024, P51414, A1C5V3, Q9SK22, Q9LUQ6, Q54CD8, O94480, Q9NVU7, P41838, Q9Y3B2, Q54TJ4, Q59LU0, Q5R631, Q9C1X1, Q9LD90, Q0V8R7, Q75K27, P0CT84, P46778, Q8IY37, Q5ZMM1, A6GZB7, O94248, Q0CY48, Q986D9, P0DJ54, A0JMQ0, Q14690, P0DJ56, Q9CR57, O95478, Q8NKF4, Q9LMK0, Q6VEU1, O13823, P47838, Q4IR18, P46782, Q8H136, Q9NR30, P56183, Q7KWX9, Q8BHB4, Q869Q2, Q8K301, P31674, Q8UVY2, Q54T05, Q9HGM5, Q9LZH9, P32598, Q8L7K0, P22232, Q10170, Q9H7B2, Q7ZVE0, Q06287, Q5JKF2, Q9M8Z5, O14980, Q9CY21, Q9BRS2",3357,359,8103,1.29092579178086,0.0239103759978258,0.00134358929203282,0.00551825508359194
"22","GOTERM_BP_ALL","GO:0048827~phyllome development",18,0.478850758180367,3.32862940972912e-06,"Q9C6B3, Q8VYP5, Q94C49, Q8W4D0, Q93VB2, Q38997, Q9LKB9, Q10G81, Q9C6W5, Q10N20, Q9FFN7, F4K5J1, Q9M8Z5, Q9FPS9, Q7XWK5, P55034, Q94AH6, Q9LV09",3357,18,8103,2.41376228775693,0.0290190534634219,0.001548717045459,0.00671475869979954
"23","GOTERM_BP_ALL","GO:0009555~pollen development",18,0.478850758180367,3.32862940972912e-06,"Q9M4A1, Q9SF37, F4JY37, Q10G81, Q8LES0, Q9LT02, F4J4C8, Q941I6, Q9LJD8, Q10N20, Q9M8D3, Q9SMX1, Q9ZRV4, P24100, Q8GYD2, P55034, Q39024, Q9LV09",3357,18,8103,2.41376228775693,0.0290190534634219,0.001548717045459,0.00671475869979954
"24","GOTERM_BP_ALL","GO:0035082~axoneme assembly",32,0.851290236765097,3.54524440182828e-06,"A8IQE0, A7MBH5, Q9JLI7, A8JF70, Q39575, Q63170, Q9P2K1, Q9D2H2, Q5FWU8, Q9P2D7, Q8CHB8, Q63164, Q8WXX0, Q9D5S7, Q8VIG3, Q5R978, Q23TC2, Q4G0X9, F1MLB4, Q23H79, Q8N0X2, A8I4E9, P27766, Q5TYW6, Q9C0B2, Q8NEP3, O95922, Q8R3P7, Q80W93, Q9BXC9, Q39604, Q09JZ4",3357,40,8103,1.93100983020554,0.0308780589199733,0.00156701259269243,0.00715171571390449
"25","GOTERM_BP_ALL","GO:0006970~response to osmotic stress",50,1.33014099494546,4.12368431809924e-06,"Q9JJ31, Q92051, Q8VZD5, Q9LXC9, Q9SJT7, Q9LF98, Q62976, Q8RWV3, Q8W034, O48538, Q9FFK8, P08799, Q54QC8, Q9UV51, Q9FNK4, Q09173, Q0WQF4, Q09172, Q9C6B3, Q93VB2, P45432, Q9SA73, O55173, Q9FMH8, Q39024, Q9HDW8, Q6P9R2, O64644, Q38931, Q7DLR9, Q54BU4, Q9M339, Q39012, Q9TTH8, P55034, Q8LKS5, Q9Z2A0, Q9LKW9, P35182, P82995, Q12705, Q9SIP7, P79083, Q23917, Q10N20, Q9XEE9, Q9SMX1, Q8W1X2, Q9FMU6, O48646",3357,72,8103,1.67622381094231,0.0358248503656703,0.00173574472508964,0.00831853916317682
"26","GOTERM_BP_ALL","GO:0060271~cilium morphogenesis",93,2.47406225059856,4.21451062662618e-06,"Q5ZJ24, Q98SP7, Q96RY7, Q5DM57, A8IQE0, Q96RK4, Q39575, Q6NYH1, Q5DU05, Q8NFJ9, Q63170, Q8VD72, Q9ULC3, Q96PY6, Q9P2K1, Q9D2H2, P20794, Q6P6V1, Q9P2D7, O35594, Q63164, Q1MTE5, Q9P2S5, Q7Z494, Q23TC2, O75366, F1MLB4, Q4G0X9, A8WIP6, A8I4E9, Q90Z08, A0CDD4, P27766, Q7ZVC2, Q3UGF1, Q8NEP3, Q80W93, Q9R1S0, Q9BXC9, Q8BR76, Q2XQY7, Q5R573, Q5RBT8, Q9BPU9, Q4G0U5, A8JF70, O43822, Q9JLI7, A7MBH5, Q7ZVK3, Q5RBP4, A7MBP4, Q0IIM2, P46873, B2GV50, Q8BKE9, Q5FWU8, Q45VK7, Q7M6Z5, O88848, Q8CHB8, Q13099, O15439, Q8NEZ3, Q7Z4L5, Q8WXX0, Q9UNH5, Q8C5T8, Q9D5S7, Q8VIG3, Q5R978, Q6GN70, Q62559, Q23H79, A8WGF4, Q8N0X2, A6N6J5, P51954, Q9SMH5, Q5TYW6, Q8IWZ6, Q32KV4, Q149C2, Q9C0B2, O95922, A4III8, Q9P2H3, Q8R3P7, A4IHR1, B3DH20, Q39604, Q641Z6, Q09JZ4",3357,155,8103,1.44825737265416,0.0365992960417959,0.00169337616721188,0.00850175194567759
"27","GOTERM_BP_ALL","GO:0030435~sporulation resulting in formation of a cellular spore",17,0.452247938281458,7.62770683957343e-06,"O74184, Q86GL4, Q54R82, P05987, P10815, P27643, Q10137, Q9XYS3, Q10074, Q54JH6, Q03441, Q23917, P32598, P45857, P34117, P38994, Q54TR1",3357,17,8103,2.41376228775693,0.0652559960785901,0.00292972516232737,0.0153865431456457
"28","GOTERM_BP_ALL","GO:0090558~plant epidermis development",17,0.452247938281458,7.62770683957343e-06,"Q9CAD5, F4JLE5, Q9FHN8, Q9LKB9, Q94A97, Q10G81, F4K2E9, O48709, Q9SAF1, F4K5J1, Q8W1X2, Q8L3Z8, Q39211, F4HTM3, P55034, Q0WPX9, Q9LHG8",3357,17,8103,2.41376228775693,0.0652559960785901,0.00292972516232737,0.0153865431456457
"29","GOTERM_BP_ALL","GO:0043934~sporulation",17,0.452247938281458,7.62770683957343e-06,"O74184, Q86GL4, Q54R82, P05987, P10815, P27643, Q10137, Q9XYS3, Q10074, Q54JH6, Q03441, Q23917, P32598, P45857, P34117, P38994, Q54TR1",3357,17,8103,2.41376228775693,0.0652559960785901,0.00292972516232737,0.0153865431456457
