"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_BP_ALL","GO:0044351~macropinocytosis",91,2.42085661080074,6.92846250492492e-28,"Q54DD3, Q54FD7, Q5VZK9, Q54RY8, Q55BJ6, Q86HD3, Q54ZI6, Q75JD5, Q86AQ7, Q54P04, Q8T295, Q54LN4, Q54YD4, P08799, O00909, O96552, Q03479, Q54XF2, Q54I10, P54679, Q54GI9, Q54QU8, P25323, Q54DW2, Q553V1, Q869S7, Q550A6, Q54E49, P54672, Q54XK2, Q1ZXF1, Q54IF7, P52922, Q9GSB0, Q54ES9, Q54J42, Q86JM3, Q55BZ4, Q86A77, Q55AH5, P28178, P34140, Q54DF7, Q55FK4, Q86K94, P34120, Q54BU4, Q54SN4, Q54JR2, Q54JM3, Q55B06, Q54RJ1, Q9TW32, Q54KZ8, Q54SR7, Q86A88, Q6TU48, Q54J34, Q54NM9, Q552J0, Q55GE2, Q86JJ5, P34036, Q54XX1, Q55DP8, Q55CT5, Q54RV6, P34117, Q55D17, Q8C3J5, Q54ML1, Q54Q05, Q55DY8, Q54YZ0, P36415, Q54CM0, Q54WR9, Q54KL5, Q54GT6, Q1ZXD3, Q8MQU6, Q8I8U2, Q54P13, O96624, Q54JE4, Q54DU9, P35084, P54641, Q54MZ4, Q54VI3, Q54TR1",3357,96,8103,2.28804550193625,6.12961077810708e-24,6.12961077810708e-24,1.39770556419182e-24
"2","GOTERM_BP_ALL","GO:0006907~pinocytosis",91,2.42085661080074,2.68489678151122e-25,"Q54DD3, Q54FD7, Q5VZK9, Q54RY8, Q55BJ6, Q86HD3, Q54ZI6, Q75JD5, Q86AQ7, Q54P04, Q8T295, Q54LN4, Q54YD4, P08799, O00909, O96552, Q03479, Q54XF2, Q54I10, P54679, Q54GI9, Q54QU8, P25323, Q54DW2, Q553V1, Q869S7, Q550A6, Q54E49, P54672, Q54XK2, Q1ZXF1, Q54IF7, P52922, Q9GSB0, Q54ES9, Q54J42, Q86JM3, Q55BZ4, Q86A77, Q55AH5, P28178, P34140, Q54DF7, Q55FK4, Q86K94, P34120, Q54BU4, Q54SN4, Q54JR2, Q54JM3, Q55B06, Q54RJ1, Q9TW32, Q54KZ8, Q54SR7, Q86A88, Q6TU48, Q54J34, Q54NM9, Q552J0, Q55GE2, Q86JJ5, P34036, Q54XX1, Q55DP8, Q55CT5, Q54RV6, P34117, Q55D17, Q8C3J5, Q54ML1, Q54Q05, Q55DY8, Q54YZ0, P36415, Q54CM0, Q54WR9, Q54KL5, Q54GT6, Q1ZXD3, Q8MQU6, Q8I8U2, Q54P13, O96624, Q54JE4, Q54DU9, P35084, P54641, Q54MZ4, Q54VI3, Q54TR1",3357,99,8103,2.21871078975637,2.37532818260298e-21,1.18766409130149e-21,5.41634622130296e-22
"3","GOTERM_BP_ALL","GO:0099402~plant organ development",39,1.03750997605746,5.85423609930569e-14,"Q9M4A1, Q5U9F2, Q8VYP5, Q38997, Q9LKB9, Q9M9W8, Q5QN75, Q9C6W5, Q9LT31, F4K5J1, Q05609, F4HTM3, P55034, Q9LPD9, Q9XIE6, F4JLE5, Q9C6B3, Q9C512, Q94C49, Q8W4D0, Q93VB2, Q94A97, Q10G81, F4K2E9, Q8L796, Q10N20, O48709, Q9FFN7, Q9M8Z5, Q8W1X2, Q9FPS9, Q9SL67, Q7XWK5, Q9FL69, Q9LRZ5, Q8GWE6, Q94AH6, Q9LV09, Q0WPX9",3357,39,8103,2.41376228775693,5.17626941309857e-10,1.72542313769952e-10,1.180278097479e-10
"4","GOTERM_BP_ALL","GO:0010154~fruit development",36,0.957701516360734,7.76480141986366e-13,"Q9M4A1, Q67Z52, O04714, O80775, F4JY37, Q6NLV4, Q9C6W5, Q8RWS8, Q9LT31, O49552, F4K5J1, O23247, Q9SYM4, F4K4E3, Q9ZVH4, Q6ZFZ4, Q9LPD9, Q9CAD5, F4JGR5, Q8VY00, F4I2J8, Q94K01, Q10G81, P45432, F4K2E9, Q941I6, F4IEM5, Q9C774, Q9M8Z5, Q9ZRV4, Q9FPS9, P24100, Q9LKF9, O22145, Q94AH6, Q9FJL0",3357,36,8103,2.41376228775693,6.86960688334182e-09,1.7174016653243e-09,1.56644697213437e-09
"5","GOTERM_BP_ALL","GO:0048316~seed development",34,0.904495876562916,4.32989642359907e-12,"Q9M4A1, Q67Z52, O04714, O80775, F4JY37, Q6NLV4, Q9C6W5, Q8RWS8, Q9LT31, O49552, O23247, Q9SYM4, F4K4E3, Q9ZVH4, Q6ZFZ4, Q9LPD9, Q9CAD5, F4JGR5, Q8VY00, F4I2J8, Q94K01, Q10G81, P45432, F4K2E9, Q941I6, F4IEM5, Q9C774, Q9M8Z5, Q9ZRV4, P24100, Q9LKF9, O22145, Q94AH6, Q9FJL0",3357,34,8103,2.41376228775693,3.8306357308393e-08,7.66127161710983e-09,8.73481287300137e-09
"6","GOTERM_BP_ALL","GO:0048367~shoot system development",32,0.851290236765097,2.40461941758197e-11,"Q9M4A1, O04714, Q8VYP5, Q38997, Q9LKB9, Q6NLV4, B5X0I6, Q9C6W5, F4K5J1, Q9FFK8, P55034, Q9ZVH4, Q6ZFZ4, O22040, Q9CAD5, Q6EX42, Q9XIE6, Q9C6B3, Q8W4D0, Q94C49, Q93VB2, Q10G81, Q10N20, Q9FFN7, Q9M8Z5, Q941Q3, Q9FPS9, Q7XWK5, Q9FL69, Q94AH6, Q8GWT4, Q9LV09",3357,32,8103,2.41376228775693,2.12736792515322e-07,3.54561352500227e-08,4.85093520907753e-08
"7","GOTERM_BP_ALL","GO:0019954~asexual reproduction",31,0.824687416866188,5.65744976556325e-11,"Q86GL4, P52285, Q54BU4, Q54JR2, Q8T2I8, Q54LY5, Q550K8, P08799, Q54PF3, P34117, Q558K8, P05987, Q54R82, Q54YZ0, P42525, Q9XYS3, Q54JH6, Q8T6B7, Q54I71, Q8MQU6, Q23917, Q8T6J2, P32598, Q54KA7, Q54P13, Q54XS1, Q8T8P3, Q86H13, Q54QB1, P28178, Q54TR1",3357,31,8103,2.41376228775693,5.00514678369868e-07,7.15021122310588e-08,1.14129972139665e-07
"8","GOTERM_BP_ALL","GO:0009793~embryo development ending in seed dormancy",29,0.771481777068369,3.12041293209531e-10,"Q67Z52, O80775, F4JY37, Q6NLV4, Q9C6W5, Q8RWS8, Q9LT31, O49552, O23247, Q9SYM4, F4K4E3, Q9ZVH4, Q6ZFZ4, Q9LPD9, Q9CAD5, F4JGR5, Q8VY00, F4I2J8, Q94K01, P45432, Q10G81, F4K2E9, Q9C774, Q9M8Z5, P24100, Q9LKF9, O22145, Q94AH6, Q9FJL0",3357,29,8103,2.41376228775693,2.76062540915945e-06,3.45078592922654e-07,6.29492957759936e-07
"9","GOTERM_BP_ALL","GO:0030587~sorocarp development",28,0.74487895716946,7.31425264069006e-10,"Q86GL4, P52285, Q54BU4, Q54JR2, Q8T2I8, Q54LY5, Q550K8, P08799, P34117, Q558K8, P05987, Q54R82, Q54YZ0, P42525, Q9XYS3, Q54JH6, Q8T6B7, Q54I71, Q8MQU6, Q23917, Q8T6J2, Q54KA7, Q54P13, Q8T8P3, Q86H13, Q54QB1, P28178, Q54TR1",3357,28,8103,2.41376228775693,6.47089828542668e-06,7.18990766146455e-07,1.47553247398235e-06
"10","GOTERM_BP_ALL","GO:0030582~fruiting body development",28,0.74487895716946,7.31425264069006e-10,"Q86GL4, P52285, Q54BU4, Q54JR2, Q8T2I8, Q54LY5, Q550K8, P08799, P34117, Q558K8, P05987, Q54R82, Q54YZ0, P42525, Q9XYS3, Q54JH6, Q8T6B7, Q54I71, Q8MQU6, Q23917, Q8T6J2, Q54KA7, Q54P13, Q8T8P3, Q86H13, Q54QB1, P28178, Q54TR1",3357,28,8103,2.41376228775693,6.47089828542668e-06,7.18990766146455e-07,1.47553247398235e-06
"11","GOTERM_BP_ALL","GO:0075259~spore-bearing organ development",28,0.74487895716946,7.31425264069006e-10,"Q86GL4, P52285, Q54BU4, Q54JR2, Q8T2I8, Q54LY5, Q550K8, P08799, P34117, Q558K8, P05987, Q54R82, Q54YZ0, P42525, Q9XYS3, Q54JH6, Q8T6B7, Q54I71, Q8MQU6, Q23917, Q8T6J2, Q54KA7, Q54P13, Q8T8P3, Q86H13, Q54QB1, P28178, Q54TR1",3357,28,8103,2.41376228775693,6.47089828542668e-06,7.18990766146455e-07,1.47553247398235e-06
"12","GOTERM_BP_ALL","GO:0048608~reproductive structure development",123,3.27214684756584,2.23365943367507e-09,"Q86GL4, Q9NR09, Q69ZR2, Q09442, O80775, P62755, F4JY37, Q8W034, F4K5J1, Q9W0K4, Q9SYM4, F4K4E3, Q9LPD9, O22040, Q558K8, Q9C6B3, Q01842, Q23978, P00787, Q8T6B7, P48166, Q54I71, F4IEM5, Q8T6J2, Q9C774, P24100, Q11183, Q94AH6, Q54QB1, Q67Z52, Q09522, Q54BU4, Q9LKB9, Q6NLV4, Q9C6W5, P51592, P40614, A0A0G2JZ79, O23247, A2AJK6, Q8NEZ3, Q9ZVH4, P07207, Q9CAD5, P05987, Q8BPT6, Q8NI77, Q14151, Q18786, F4K2E9, Q8MQU6, Q941I6, Q54KA7, Q9Y194, Q10N20, Q54P13, Q941Q3, Q9TZC4, P10180, Q86H13, Q9FJL0, Q54TR1, Q9M4A1, Q6UPR8, O80507, P11584, B5X0I6, Q18885, Q550K8, Q9LT31, O49552, Q9FFK8, Q91YE3, P08799, Q6ZFZ4, Q80YX1, O08586, O62698, Q94K01, P45432, Q10G81, Q3UGF1, Q9FPS9, Q9LKF9, Q9U299, P28178, Q9BYW2, P52285, O04714, Q54JR2, Q8T2I8, Q08DJ8, Q54LY5, Q8RWS8, P35129, Q7KQZ4, Q8WU20, P55034, Q9QVC8, P08630, P34117, Q54R82, Q6EX42, Q05086, Q54YZ0, P42525, O08759, F4JGR5, Q8VY00, F4I2J8, Q9XYS3, Q8W4D0, Q54JH6, Q9Y0A1, Q23917, Q9M8Z5, Q9ZRV4, P92208, Q9FL69, Q8T8P3, P43246, O22145, Q9LV09",3357,196,8103,1.5147589867046,1.97609901871898e-05,1.9761165912513e-06,4.5060476461245e-06
"13","GOTERM_BP_ALL","GO:0048364~root development",26,0.691673317371641,4.00161362933339e-09,"Q5U9F2, Q38997, Q9LKB9, Q9M9W8, Q5QN75, Q9LT31, F4K5J1, Q05609, F4HTM3, P55034, Q9LPD9, Q9XIE6, F4JLE5, Q9C512, Q8W4D0, Q94A97, F4K2E9, Q8L796, O48709, Q9FFN7, Q8W1X2, Q9FPS9, Q9SL67, Q9LRZ5, Q8GWE6, Q0WPX9",3357,26,8103,2.41376228775693,3.54016489018116e-05,3.21838350780812e-06,8.07260971402712e-06
