FRP,Uniq_ID,trtmnt_tank,sample_day,infection_status,maturity,tube_number,
6107,6107_115_9,ambient,9,0,M,115,
6109,6109_31_9,ambient,9,0,I,31,
6110,6110_135_9,ambient,9,0,I,135,
6111,6111_90_9,ambient,9,1,I,90,
6112,6112_28_9,ambient,9,0,I,28,
6114,6114_142_9,ambient,9,1,I,142,
6115,6115_33_9,ambient,9,1,I,33,
6121,6121_15_9,ambient,9,1,I,15,
6122,6122_133_9,ambient,9,1,I,133,
6123,6123_82_9,ambient,9,0,I,82,
6124,6124_75_9,ambient,9,0,M,75,
6125,6125_144_9,ambient,9,1,I,144,
6127,6127_37_9,ambient,9,0,I,37,
6130,6130_47_9,ambient,9,0,I,47,
6131,6131_38_9,ambient,9,0,I,38,
6134,6134_77_9,ambient,9,1,I,77,
6135,6135_4_9,ambient,9,1,M,4,
6136,6136_91_9,ambient,9,0,M,91,
6137,6137_81_9,ambient,9,1,I,81,
6139,6139_104_9,ambient,9,3,M,104,
6142,6142_65_9,ambient,9,0,I,65,
6143,6143_10_9,ambient,9,0,M,10,
6144,6144_14_9,ambient,9,1,I,14,
6145,6145_59_9,ambient,9,1,I,59,
6146,6146_12_9,ambient,9,0,I,12,
6150,6150_119_9,ambient,9,0,M,119,
6152,6152_32_9,ambient,9,0,M,32,
6155,6155_66_9,ambient,9,1,I,66,
6158,6158_101_9,ambient,9,1,I,101,
6159,6159_26_9,ambient,9,1,I,26,
6161,6161_53_9,ambient,9,0,M,53,
6165,6165_55_9,ambient,9,0,I,55,
6166,6166_21_9,ambient,9,0,I,21,
6168,6168_27_9,ambient,9,1,I,27,
6169,6169_57_9,ambient,9,1,I,57,
6170,6170_70_9,ambient,9,1,I,70,
6176,6176_48_9,ambient,9,0,M,48,
6179,6179_34_9,ambient,9,0,M,34,
6181,6181_175_9,ambient,9,0,I,175,
6182,6182_137_9,ambient,9,1,I,137,
6183,6183_141_9,ambient,9,1,I,141,
6184,6184_148_9,ambient,9,1,I,148,
6185,6185_145_9,ambient,9,0,I,145,
6186,6186_171_9,ambient,9,0,I,171,
6192,6192_178_9,ambient,9,1,I,178,
6193,6193_174_9,ambient,9,1,I,174,
6195,6195_150_9,ambient,9,1,I,150,
6201,6201_163_9,ambient,9,1,I,163,
6202,6202_109_9,ambient,9,1,I,109,
6205,6205_121_9,ambient,9,0,I,121,
6206,6206_103_9,ambient,9,1,I,103,
6211,6211_118_9,ambient,9,1,I,118,
6212,6212_132_9,ambient,9,1,I,132,
6213,6213_108_9,ambient,9,0,I,108,
6214,6214_107_9,ambient,9,1,I,107,
6241,6241_62_9,ambient,9,1,I,62,
6252,6252_99_9,ambient,9,3,M,99,
6272,6272_111_9,ambient,9,0,I,111,
6276,6276_50_9,ambient,9,0,I,50,
6101,6101_84_9,cold,9,0,I,84,
6102,6102_18_9,cold,9,0,I,18,
6103,6103_46_9,cold,9,1,I,46,
6104,6104_41_9,cold,9,0,I,41,
6105,6105_43_9,cold,9,1,I,43,
6106,6106_5_9,cold,9,0,M,5,
6108,6108_6_9,cold,9,1,I,6,
6113,6113_78_9,cold,9,0,I,78,
6116,6116_76_9,cold,9,1,I,76,
6117,6117_42_9,cold,9,0,I,42,
6118,6118_87_9,cold,9,1,I,87,
6119,6119_153_9,cold,9,0,I,153,
6120,6120_165_9,cold,9,1,I,165,
6126,6126_79_9,cold,9,1,I,79,
6128,6128_112_9,cold,9,1,I,112,
6132,6132_88_9,cold,9,0,I,88,
6133,6133_36_9,cold,9,0,I,36,
6138,6138_80_9,cold,9,0,I,80,
6140,6140_8_9,cold,9,1,I,8,
6141,6141_123_9,cold,9,1,I,123,
6147,6147_30_9,cold,9,0,I,30,
6148,6148_56_9,cold,9,1,I,56,
6149,6149_64_9,cold,9,1,I,64,
6151,6151_19_9,cold,9,1,I,19,
6153,6153_11_9,cold,9,0,M,11,
6154,6154_68_9,cold,9,0,I,68,
6156,6156_24_9,cold,9,0,I,24,
6157,6157_169_9,cold,9,0,M,169,
6160,6160_7_9,cold,9,0,M,7,
6162,6162_61_9,cold,9,1,I,61,
6163,6163_130_9,cold,9,1,I,130,
6164,6164_71_9,cold,9,1,I,71,
6167,6167_45_9,cold,9,0,I,45,
6171,6171_73_9,cold,9,0,I,73,
6172,"6172_60,_9",cold,9,0,M,"60, 100",
6173,6173_63_9,cold,9,1,I,63,
6174,6174_20_9,cold,9,1,I,20,
6175,6175_67_9,cold,9,0,I,67,
6177,6177_54_9,cold,9,1,I,54,
6178,6178_124_9,cold,9,0,M,124,
6187,6187_158_9,cold,9,1,I,158,
6188,6188_172_9,cold,9,1,I,172,
6189,6189_176_9,cold,9,0,I,176,
6190,6190_101_9,cold,9,3,M,101,
6191,6191_95_9,cold,9,0,I,95,
6194,6194_98_9,cold,9,0,M,98,
6196,6196_170_9,cold,9,1,I,170,
6197,6197_161_9,cold,9,0,M,161,
6198,6198_154_9,cold,9,1,I,154,
6199,6199_151_9,cold,9,1,I,151,
6200,6200_94_9,cold,9,3,M,94,
6203,6203_113_9,cold,9,0,M,113,
6204,6204_114_9,cold,9,3,M,114,
6207,6207_128_9,cold,9,1,I,128,
6208,6208_106_9,cold,9,1,I,106,
6209,6209_125_9,cold,9,1,I,125,
6215,6215_23_9,cold,9,1,I,23,
6277,6277_177_9,cold,9,0,I,177,
6278,6278_147_9,cold,9,1,I,147,
6279,6279_13_9,cold,9,1,I,13,
6129,6129_86_9,warm,9,1,I,86,
6180,6180_149_9,warm,9,0,I,149,
6210,6210_120_9,warm,9,1,I,120,
6216,6216_40_9,warm,9,0,I,40,
6217,6217_129_9,warm,9,0,I,129,
6218,6218_93_9,warm,9,3,I,93,
6219,6219_116_9,warm,9,1,I,116,
6220,6220_162_9,warm,9,1,I,162,
6221,6221_16_9,warm,9,1,I,16,
6222,6222_1_9,warm,9,0,M,1,
6223,6223_44_9,warm,9,0,M,44,
6224,6224_74_9,warm,9,1,I,74,
6225,6225_92_9,warm,9,1,I,92,
6226,6226_85_9,warm,9,0,I,85,
6227,6227_83_9,warm,9,1,I,83,
6228,6228_29_9,warm,9,0,I,29,
6229,6229_89_9,warm,9,0,I,89,
6230,6230_22_9,warm,9,0,M,22,
6231,6231_102_9,warm,9,1,I,102,
6232,6232_52_9,warm,9,0,M,52,
6233,6233_117_9,warm,9,1,I,117,
6234,6234_2_9,warm,9,0,I,2,
6235,6235_35_9,warm,9,0,I,35,
6236,6236_157_9,warm,9,0,I,157,
6237,6237_17_9,warm,9,1,I,17,
6238,6238_9_9,warm,9,0,M,9,
6239,6239_166_9,warm,9,1,I,166,
6240,6240_134_9,warm,9,1,I,134,
6242,6242_39_9,warm,9,0,M,39,
6243,6243_173_9,warm,9,1,I,173,
6244,6244_58_9,warm,9,1,I,58,
6245,6245_126_9,warm,9,1,I,126,
6246,6246_3_9,warm,9,0,I,3,
6247,6247_152_9,warm,9,0,I,152,
6248,6248_49_9,warm,9,0,I,49,
6249,6249_96_9,warm,9,1,I,96,
6250,6250_72_9,warm,9,1,I,72,
6251,6251_167_9,warm,9,1,I,167,
6253,6253_25_9,warm,9,0,I,25,
6254,6254_69_9,warm,9,0,I,69,
6255,6255_143_9,warm,9,1,I,143,
6256,6256_146_9,warm,9,1,I,146,
6257,6257_138_9,warm,9,1,I,138,
6258,6258_140_9,warm,9,3,M,140,
6259,6259_139_9,warm,9,0,M,139,
6260,6260_136_9,warm,9,0,M,136,
6261,6261_164_9,warm,9,1,I,164,
6262,6262_168_9,warm,9,1,I,168,
6263,6263_179_9,warm,9,1,I,179,
6264,6264_180_9,warm,9,0,I,180,
6265,6265_155_9,warm,9,0,I,155,
6266,6266_156_9,warm,9,1,I,156,
6267,6267_159_9,warm,9,1,I,159,
6268,6268_97_9,warm,9,0,I,97,
6269,6269_160_9,warm,9,1,I,160,
6270,6270_131_9,warm,9,0,M,131,
6271,6271_105_9,warm,9,0,M,105,
6273,6273_127_9,warm,9,1,I,127,
6274,6274_122_9,warm,9,1,I,122,
6275,6275_110_9,warm,9,3,M,110,
6107,6107_350_12,ambient,12,0,M,350,
6109,6109_351_12,ambient,12,0,I,351,
6110,6110_331_12,ambient,12,0,I,331,
6111,6111_356_12,ambient,12,1,I,356,
6112,6112_317_12,ambient,12,0,I,317,
6114,6114_326_12,ambient,12,1,I,326,
6115,6115_307_12,ambient,12,1,I,307,
6121,6121_352_12,ambient,12,1,I,352,
6122,6122_325_12,ambient,12,1,I,325,
6123,6123_345_12,ambient,12,0,I,345,
6124,6124_347_12,ambient,12,0,M,347,
6125,6125_303_12,ambient,12,1,I,303,
6127,6127_335_12,ambient,12,0,I,335,
6130,6130_339_12,ambient,12,0,I,339,
6131,6131_314_12,ambient,12,0,I,314,
6134,6134_353_12,ambient,12,1,I,353,
6135,6135_327_12,ambient,12,1,M,327,
6136,6136_321_12,ambient,12,0,M,321,
6137,6137_301_12,ambient,12,1,I,301,
6139,6139_332_12,ambient,12,3,M,332,
6142,6142_346_12,ambient,12,0,I,346,
6143,6143_343_12,ambient,12,0,M,343,
6144,6144_348_12,ambient,12,1,I,348,
6145,6145_305_12,ambient,12,1,I,305,
6146,6146_309_12,ambient,12,0,I,309,
6150,6150_312_12,ambient,12,0,M,312,
6152,6152_344_12,ambient,12,0,M,344,
6155,6155_358_12,ambient,12,1,I,358,
6158,6158_324_12,ambient,12,1,I,324,
6159,6159_313_12,ambient,12,1,I,313,
6161,6161_302_12,ambient,12,0,M,302,
6165,6165_360_12,ambient,12,0,I,360,
6166,6166_349_12,ambient,12,0,I,349,
6168,6168_357_12,ambient,12,1,I,357,
6169,6169_328_12,ambient,12,1,I,328,
6170,6170_320_12,ambient,12,1,I,320,
6176,6176_329_12,ambient,12,0,M,329,
6179,6179_315_12,ambient,12,0,M,315,
6181,6181_355_12,ambient,12,0,I,355,
6182,6182_354_12,ambient,12,1,I,354,
