Uniq_ID,FRP,tube_number,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total.yield_ng,elution_vol_ul,org_sample_ul,target,sq_all.runs_mean
6109_480_26,6109,480,ambient,26,0,I,6.86,89.18,14,all,Hemato,266.0366667
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_331_12,6110,331,ambient,12,0,I,21.9,284.7,15,70,Hemato,88.695
6110_331_12,6110,331,ambient,12,0,I,21.9,284.7,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,23.4,304.2,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,23.4,304.2,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,9.74,126.62,14,all,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,9.74,126.62,14,all,Hemato,88.695
6111_356_12,6111,356,ambient,12,1,I,21.3,276.9,15,70,Hemato,680.3
6111_356_12,6111,356,ambient,12,1,I,21.3,276.9,15,70,,680.3
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,,NA
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,Hemato,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,Hemato,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,Hemato,NA
6113_214_12,6113,214,cold,12,0,I,3.55,159.75,50,all,Hemato,24.25
6113_419_26,6113,419,cold,26,0,I,5.64,253.8,50,all,Hemato,24.25
6113_78_9,6113,78,NA,9,0,I,2.19,98.55,50,all,Hemato,24.25
6114_484_26,6114,484,ambient,26,1,I,23.8,309.4,15,70,Hemato,268.25
6114_484_26,6114,484,ambient,26,1,I,9.12,118.56,14,all,Hemato,268.25
6115_307_12,6115,307,ambient,12,1,I,7.89,118.35,15,NA,Hemato,1459.875
6115_33_9,6115,33,NA,9,1,I,21,273,15,70,Hemato,1459.875
6115_514_26,6115,514,ambient,26,1,I,5.96,59.6,15,35,Hemato,1459.875
6116_417_26,6116,417,cold,26,1,I,17.3,224.9,14,all,Hemato,435
6116_417_26,6116,417,cold,26,1,I,3.51,17.55,10,all,Hemato,435
6117_225_12,6117,225,cold,12,0,I,1.76,79.2,50,all,Hemato,49.6375
