"","target","content","sample","cq","cq_mean","cq_sd","sq","log_sq","sq_sd","sq_all.runs_mean","rep_pos.neg","sample_pos.neg","year_FRP","FRP","run","comments"
"1","Hemato","Unkn-35","31-F01","32.93",33.03,0.136,20.4,"1.309",1.84,42.225,"pos","pos","2017-6101",6101,"4/25/18 third",""
"2","Hemato","Unkn-35","31-F01","33.13",33.03,0.136,17.8,"1.25",1.84,42.225,"pos","pos","2017-6101",6101,"4/25/18 third",""
"3","Hemato","Unkn-32","37-G02","31.29",31.41,0.182,71.4,"1.854",8.52,42.225,"pos","pos","2017-6101",6101,"3/29/18 second",""
"4","Hemato","Unkn-32","37-G02","31.54",31.41,0.182,59.3,"1.773",8.52,42.225,"pos","pos","2017-6101",6101,"3/29/18 second",""
"5","Hemato","Unkn-29","34-G03","38.56",38.56,0,0.376,"-0.425",0,32.544,"neg","neg","2017-6102",6102,"4/25/18 third",""
"6","Hemato","Unkn-29","34-G03","N/A",0,0,0,"N/A",0,32.544,"neg","neg","2017-6102",6102,"4/25/18 third",""
"7","Hemato","Unkn-33","37-G05","32.02",32.06,0.057,66.7,"1.824",2.56,32.544,"pos","pos","2017-6102",6102,"3/29/18 1st",""
"8","Hemato","Unkn-33","37-G05","32.11",32.06,0.057,63.1,"1.8",2.56,32.544,"pos","pos","2017-6102",6102,"3/29/18 1st",""
"9","Hemato","Unkn-19","30-H03","30.14",30.4,0.333,202,"2.31E+00",40.5,183.25,"pos","pos","2017-6103",6103,"4/25/18 fourth",""
"10","Hemato","Unkn-19","30-H03","30.61",30.4,0.333,145,"2.16E+00",40.5,183.25,"pos","pos","2017-6103",6103,"4/25/18 fourth",""
"11","Hemato","Unkn-02","37-A02","30.03",29.91,0.178,176,"2.244",24.5,183.25,"pos","pos","2017-6103",6103,"3/29/18 second",""
"12","Hemato","Unkn-02","37-A02","29.78",29.91,0.178,210,"2.323",24.5,183.25,"pos","pos","2017-6103",6103,"3/29/18 second",""
"13","Hemato","Unkn-06","30-A03","N/A",0,0,0,"N/A",0,18.55125,"neg","neg","2017-6104",6104,"4/25/18 fourth",""
"14","Hemato","Unkn-06","30-A03","39.86",39.9,0,0.205,"-6.88E-01",0,18.55125,"neg","neg","2017-6104",6104,"4/25/18 fourth",""
"15","Hemato","Unkn-16","37-D08","32.29",32.2,0.119,34.8,"1.541",3.16,18.55125,"pos","pos","2017-6104",6104,"3/29/18 second",""
"16","Hemato","Unkn-16","37-D08","32.12",32.2,0.119,39.2,"1.593",3.16,18.55125,"pos","pos","2017-6104",6104,"3/29/18 second",""
"17","Hemato","Unkn-17","30-D01","31.72",31.71,0.014,65.7,"1.82E+00",0.636,81.5,"pos","pos","2017-6105",6105,"4/25/18 fourth",""
"18","Hemato","Unkn-17","30-D01","31.7",31.71,0.014,66.6,"1.82E+00",0.636,81.5,"pos","pos","2017-6105",6105,"4/25/18 fourth",""
"19","Hemato","Unkn-28","37-F05","31.35",31.49,0.193,106,"2.024",12.8,81.5,"pos","pos","2017-6105",6105,"3/29/18 1st",""
"20","Hemato","Unkn-28","37-F05","31.63",31.49,0.193,87.7,"1.943",12.8,81.5,"pos","pos","2017-6105",6105,"3/29/18 1st",""
"21","Hemato","Unkn-08","30-E11","34.51",34.4,0.171,9.14,"9.61E-01",1.21,78.76,"pos","pos","2017-6106",6106,"4/25/18 fourth",""
"22","Hemato","Unkn-08","30-E11","34.26",34.4,0.171,10.9,"1.04E+00",1.21,78.76,"pos","pos","2017-6106",6106,"4/25/18 fourth",""
"23","Hemato","Unkn-15","37-C07","30.86",30.87,0.008,148,"2.171",0.831,78.76,"pos","pos","2017-6106",6106,"3/29/18 1st",""
"24","Hemato","Unkn-15","37-C07","30.87",30.87,0.008,147,"2.168",0.831,78.76,"pos","pos","2017-6106",6106,"3/29/18 1st",""
"25","Hemato","Unkn-21","32-F04","36.46",36.37,0.117,0.807,"-0.093",0.0733,61.1795,"neg","neg","2017-6107",6107,"4/25/18 second",""
"26","Hemato","Unkn-21","32-F04","36.29",36.37,0.117,0.911,"-0.041",0.0733,61.1795,"neg","neg","2017-6107",6107,"4/25/18 second",""
"27","Hemato","Unkn-25","38-E02","30.59",30.55,0.058,118,"2.071",5.09,61.1795,"pos","pos","2017-6107",6107,"3/29/18 second",""
"28","Hemato","Unkn-25","38-E02","30.51",30.55,0.058,125,"2.097",5.09,61.1795,"pos","pos","2017-6107",6107,"3/29/18 second",""
"29","Hemato","Unkn-26","32-F09","33.3",33.37,0.095,8.15,"0.911",0.537,71.135,"pos","pos","2017-6108",6108,"4/25/18 second",""
"30","Hemato","Unkn-26","32-F09","33.43",33.37,0.095,7.39,"0.868",0.537,71.135,"pos","pos","2017-6108",6108,"4/25/18 second",""
"31","Hemato","Unkn-01","37-A08","30.22",30.41,0.268,153,"2.185",25.8,71.135,"pos","pos","2017-6108",6108,"3/29/18 second",""
"32","Hemato","Unkn-01","37-A08","30.6",30.41,0.268,116,"2.066",25.8,71.135,"pos","pos","2017-6108",6108,"3/29/18 second",""
"33","Hemato","Unkn-32","34-A01","N/A",0,0,0,"N/A",0,266.036666666667,"neg","neg","2017-6109",6109,"4/25/18 third",""
"34","Hemato","Unkn-32","34-A01","35.53",35.53,0,3.22,"0.508",0,266.036666666667,"neg","neg","2017-6109",6109,"4/25/18 third","very close to pos"
"35","","Unkn-32","38-G03","30.78",30.77,0.009,469,"2.67E+00",2.95,266.036666666667,"pos","pos","2017-6109",6109,"3/27/18 third",""
"36","","Unkn-32","38-G03","30.77",30.77,0.009,473,"2.68E+00",2.95,266.036666666667,"pos","pos","2017-6109",6109,"3/27/18 third",""
"37","Hemato","Unkn-31","38-G03","29.74",29.88,0.193,357,"2.553",44.5,266.036666666667,"pos","pos","2017-6109",6109,"4/24/18 first",""
"38","Hemato","Unkn-31","38-G03","30.01",29.88,0.193,294,"2.469",44.5,266.036666666667,"pos","pos","2017-6109",6109,"4/24/18 first",""
"39","Hemato","Unkn-38","33-C08","36.41",36.41,0,1.78,"2.49E-01",0,88.695,"neg","neg","2017-6110",6110,"4/27/18 2nd",""
"40","Hemato","Unkn-38","33-C08","N/A",0,0,0,"N/A",0,88.695,"neg","neg","2017-6110",6110,"4/27/18 2nd",""
"41","Hemato","Unkn-32","38-G04","30.69",30.73,0.062,182,"2.26",7.76,88.695,"pos","pos","2017-6110",6110,"4/24/18 first",""
"42","Hemato","Unkn-32","38-G04","30.78",30.73,0.062,171,"2.233",7.76,88.695,"pos","pos","2017-6110",6110,"4/24/18 first",""
"43","Hemato","Unkn-15","31-C02","32.36",32.5,0.188,30.5,"1.484",3.7,680.3,"pos","pos","2017-6111",6111,"4/25/18 third",""
"44","Hemato","Unkn-15","31-C02","32.63",32.5,0.188,25.3,"1.403",3.7,680.3,"pos","pos","2017-6111",6111,"4/25/18 third",""
"45","","Unkn-06","38-B02","29.82",29.57,0.354,901,"2.954",258,680.3,"pos","pos","2017-6111",6111,"3/27/18 third",""
"46","","Unkn-06","38-B02","29.32",29.57,0.354,1270,"3.102",258,680.3,"pos","pos","2017-6111",6111,"3/27/18 third",""
"47","Hemato","Unkn-10","38-B02","27.82",27.72,0.141,861,"2.935",93.7,680.3,"pos","pos","2017-6111",6111,"3/29/18 second",""
"48","Hemato","Unkn-10","38-B02","27.62",27.72,0.141,994,"2.997",93.7,680.3,"pos","pos","2017-6111",6111,"3/29/18 second",""
"49","Hemato","","34-B04","",NA,NA,NA,"",NA,NA,"","neg 4 rep ","2017-6112",6112,"",""
"50","","Unkn-15","38-C06","30.5",30.48,0.033,567,"2.75E+00",13.1,NA,"pos","pos","2017-6112",6112,"3/27/18 third",""
"51","","Unkn-15","38-C06","30.45",30.48,0.033,586,"2.77E+00",13.1,NA,"pos","pos","2017-6112",6112,"3/27/18 third",""
"52","Hemato","Unkn-14","38-C06","29.22",29.23,0.02,518,"2.714",7.33,NA,"pos","pos","2017-6112",6112,"4/24/18 first",""
"53","Hemato","Unkn-14","38-C06","29.25",29.23,0.02,507,"2.705",7.33,NA,"pos","pos","2017-6112",6112,"4/24/18 first",""
"54","Hemato","Unkn-34","31-A03","33.12",33.2,0.067,24.4,"1.39E+00",1.12,24.25,"pos","pos","2017-6113",6113,"4/25/18 fourth",""
"55","Hemato","Unkn-34","31-A03","33.22",33.2,0.067,22.8,"1.36E+00",1.12,24.25,"pos","pos","2017-6113",6113,"4/25/18 fourth",""
"56","Hemato","Unkn-13","37-C03","32.76",32.75,0.008,24.8,"1.395",0.142,24.25,"pos","pos","2017-6113",6113,"3/29/18 second",""
"57","Hemato","Unkn-13","37-C03","32.75",32.75,0.008,25,"1.398",0.142,24.25,"pos","pos","2017-6113",6113,"3/29/18 second",""
"58","Hemato","Unkn-31","33-G07","28.5",28.81,0.44,474,"2.675",119,268.25,"pos","pos","2017-6114",6114,"4/25/18 third",""
"59","Hemato","Unkn-31","33-G07","29.12",28.81,0.44,305,"2.484",119,268.25,"pos","pos","2017-6114",6114,"4/25/18 third",""
"60","Hemato","Unkn-12","38-C04","30.9",30.99,0.135,157,"2.196",14.1,268.25,"pos","pos","2017-6114",6114,"4/24/18 first",""
"61","Hemato","Unkn-12","38-C04","31.09",30.99,0.135,137,"2.137",14.1,268.25,"pos","pos","2017-6114",6114,"4/24/18 first",""
"62","Hemato","Unkn-03","30-E05","26.52",26.4,0.155,2630,"3.42E+00",313,1459.875,"pos","pos","2017-6115",6115,"4/25/18 fourth",""
"63","Hemato","Unkn-03","30-E05","26.3",26.4,0.155,3080,"3.49E+00",313,1459.875,"pos","pos","2017-6115",6115,"4/25/18 fourth",""
"64","Hemato","Unkn-31","38-B08","31.68",31.44,0.335,53.8,"1.731",15.4,1459.875,"pos","pos","2017-6115",6115,"3/29/18 second",""
"65","Hemato","Unkn-31","38-B08","31.2",31.44,0.335,75.7,"1.879",15.4,1459.875,"pos","pos","2017-6115",6115,"3/29/18 second",""
"66","Hemato","Unkn-15","31-A09","28.97",29.1,0.197,463,"2.67E+00",58.7,435,"pos","pos","2017-6116",6116,"4/25/18 fourth",""
"67","Hemato","Unkn-15","31-A09","29.25",29.1,0.197,380,"2.58E+00",58.7,435,"pos","pos","2017-6116",6116,"4/25/18 fourth",""
"68","Hemato","Unkn-03","37-A03","29.01",28.75,0.369,365,"2.563",118,435,"pos","pos","2017-6116",6116,"3/29/18 second",""
"69","Hemato","Unkn-03","37-A03","28.49",28.75,0.369,532,"2.726",118,435,"pos","pos","2017-6116",6116,"3/29/18 second",""
"70","Hemato","Unkn-11","30-A04","36.72",36.7,0.078,1.9,"2.78E-01",0.109,49.6375,"neg","neg","2017-6117",6117,"4/25/18 fourth",""
"71","Hemato","Unkn-11","30-A04","36.61",36.7,0.078,2.05,"3.12E-01",0.109,49.6375,"neg","neg","2017-6117",6117,"4/25/18 fourth",""
"72","Hemato","Unkn-38","37-H05","31.41",31.47,0.082,101,"2.006",5.49,49.6375,"pos","pos","2017-6117",6117,"3/29/18 1st",""
"73","Hemato","Unkn-38","37-H05","31.53",31.47,0.082,93.6,"1.971",5.49,49.6375,"pos","pos","2017-6117",6117,"3/29/18 1st",""
"74","Hemato","Unkn-03","31-B08","29.31",29.22,0.12,263,"2.42",24.1,306.5,"pos","pos","2017-6118",6118,"4/24/18 second",""
"75","Hemato","Unkn-03","31-B08","29.14",29.22,0.12,297,"2.473",24.1,306.5,"pos","pos","2017-6118",6118,"4/24/18 second",""
"76","Hemato","Unkn-27","37-F04","29.59",29.69,0.14,356,"2.551",32.1,306.5,"pos","pos","2017-6118",6118,"3/29/18 1st",""
"77","Hemato","Unkn-27","37-F04","29.79",29.69,0.14,310,"2.492",32.1,306.5,"pos","pos","2017-6118",6118,"3/29/18 1st",""
"78","Hemato","Unkn-25","33-E07","34.07",34.11,0.061,4.64,"0.667",0.202,48.425,"pos","pos","2017-6119",6119,"4/25/18 second",""
"79","Hemato","Unkn-25","33-E07","34.15",34.11,0.061,4.36,"0.639",0.202,48.425,"pos","pos","2017-6119",6119,"4/25/18 second",""
"80","Hemato","Unkn-14","38-C01","31.01",30.93,0.117,86.9,"1.939",7.73,48.425,"pos","pos","2017-6119",6119,"3/29/18 second",""
"81","Hemato","Unkn-14","38-C01","30.85",30.93,0.117,97.8,"1.99",7.73,48.425,"pos","pos","2017-6119",6119,"3/29/18 second",""
"82","Hemato","Unkn-21","33-G03","27.33",27.31,0.03,1080,"3.033",23.4,616.5,"pos","pos","2017-6120",6120,"4/25/18 third",""
"83","Hemato","Unkn-21","33-G03","27.29",27.31,0.03,1110,"3.046",23.4,616.5,"pos","pos","2017-6120",6120,"4/25/18 third",""
"84","Hemato","Unkn-04","38-A01","30.51",30.38,0.19,125,"2.095",18.8,616.5,"pos","pos","2017-6120",6120,"3/29/18 second",""
"85","Hemato","Unkn-04","38-A01","30.24",30.38,0.19,151,"2.179",18.8,616.5,"pos","pos","2017-6120",6120,"3/29/18 second",""
"86","Hemato","Unkn-10","34-B03","30.53",30.46,0.096,115,"2.06E+00",8.25,440,"pos","pos","2017-6121",6121,"4/27/18 2nd",""
"87","Hemato","Unkn-10","34-B03","30.39",30.46,0.096,127,"2.10E+00",8.25,440,"pos","pos","2017-6121",6121,"4/27/18 2nd",""
"88","","Unkn-26","38-F02","30.21",30.22,0.004,689,"2.84E+00",2.09,440,"pos","pos","2017-6121",6121,"3/27/18 third",""
"89","","Unkn-26","38-F02","30.22",30.22,0.004,686,"2.84E+00",2.09,440,"pos","pos","2017-6121",6121,"3/27/18 third",""
"90","Hemato","Unkn-30","38-F02","28.64",28.55,0.128,478,"2.68",46.9,440,"pos","pos","2017-6121",6121,"3/29/18 second",""
"91","Hemato","Unkn-30","38-F02","28.46",28.55,0.128,545,"2.736",46.9,440,"pos","pos","2017-6121",6121,"3/29/18 second",""
"92","Hemato","Unkn-27","32-A04","29.01",29.06,0.081,609,"2.784",32.6,724.25,"pos","pos","2017-6122",6122,"4/25/18 first","1.0 ul DNA in ea well"
"93","Hemato","Unkn-27","32-A04","29.12",29.06,0.081,563,"2.75",32.6,724.25,"pos","pos","2017-6122",6122,"4/25/18 first","1.0 ul DNA in ea well"
"94","Hemato","Unkn-37","38-H04","28.41",28.5,0.135,921,"2.964",82.6,724.25,"pos","pos","2017-6122",6122,"4/24/18 first",""
"95","Hemato","Unkn-37","38-H04","28.6",28.5,0.135,804,"2.905",82.6,724.25,"pos","pos","2017-6122",6122,"4/24/18 first",""
"96","Hemato","Unkn-16","31-G07","34.81",34.61,0.294,11,"1.042",2.59,102.27125,"pos","pos","2017-6123",6123,"4/25/18 first",""
"97","Hemato","Unkn-16","31-G07","34.4",34.61,0.294,14.7,"1.167",2.59,102.27125,"pos","pos","2017-6123",6123,"4/25/18 first",""
"98","Hemato","Unkn-22","32-A03","36.07",36.2,0.18,4.61,"0.663",0.525,102.27125,"pos","pos","2017-6123",6123,"4/25/18 first",""
"99","Hemato","Unkn-22","32-A03","36.33",36.2,0.18,3.86,"0.587",0.525,102.27125,"pos","pos","2017-6123",6123,"4/25/18 first",""
"100","","Unkn-31","38-G02","31.8",31.95,0.203,234,"2.37E+00",29.3,102.27125,"pos","pos","2017-6123",6123,"3/27/18 third",""
"101","","Unkn-31","38-G02","32.09",31.95,0.203,192,"2.28E+00",29.3,102.27125,"pos","pos","2017-6123",6123,"3/27/18 third",""
"102","Hemato","Unkn-22","38-G02","30.19",29.88,0.435,140,"2.147",54.8,102.27125,"pos","pos","2017-6123",6123,"4/24/18 second",""
"103","Hemato","Unkn-22","38-G02","29.57",29.88,0.435,218,"2.338",54.8,102.27125,"pos","pos","2017-6123",6123,"4/24/18 second",""
"104","Hemato","Unkn-05","31-E07","27.09",27.14,0.072,1290,"3.11",64,704,"pos","pos","2017-6124",6124,"4/24/18 second",""
"105","Hemato","Unkn-05","31-E07","27.19",27.14,0.072,1200,"3.078",64,704,"pos","pos","2017-6124",6124,"4/24/18 second",""
"106","Hemato","Unkn-29","38-F01","30.09",30.13,0.061,168,"2.226",7.13,704,"pos","pos","2017-6124",6124,"3/29/18 second",""
"107","Hemato","Unkn-29","38-F01","30.18",30.13,0.061,158,"2.199",7.13,704,"pos","pos","2017-6124",6124,"3/29/18 second",""
"108","Hemato","Unkn-04","34-D07","31.62",31.8,0.25,51.7,"1.714",8.1,179.5,"pos","pos","2017-6125",6125,"4/25/18 third",""
"109","Hemato","Unkn-04","34-D07","31.97",31.8,0.25,40.3,"1.605",8.1,179.5,"pos","pos","2017-6125",6125,"4/25/18 third",""
"110","Hemato","Unkn-39","34-D07","31.39",31.26,0.181,62.8,"1.80E+00",8.82,179.5,"pos","pos","2017-6125",6125,"4/27/18 2nd",""
"111","Hemato","Unkn-39","34-D07","31.13",31.26,0.181,75.2,"1.88E+00",8.82,179.5,"pos","pos","2017-6125",6125,"4/27/18 2nd",""
"112","","Unkn-35","38-G06","31.19",31.32,0.17,354,"2.55E+00",37.7,179.5,"pos","pos","2017-6125",6125,"3/27/18 third",""
"113","","Unkn-35","38-G06","31.44",31.32,0.17,300,"2.48E+00",37.7,179.5,"pos","pos","2017-6125",6125,"3/27/18 third",""
"114","Hemato","Unkn-34","38-G06","30.1",30.1,0.01,277,"2.443",1.93,179.5,"pos","pos","2017-6125",6125,"4/24/18 first",""
"115","Hemato","Unkn-34","38-G06","30.11",30.1,0.01,275,"2.439",1.93,179.5,"pos","pos","2017-6125",6125,"4/24/18 first",""
"116","Hemato","Unkn-33","31-D04","28.01",27.86,0.216,666,"2.823",115,604.5,"pos","pos","2017-6126",6126,"4/24/18 second",""
"117","Hemato","Unkn-33","31-D04","27.7",27.86,0.216,829,"2.918",115,604.5,"pos","pos","2017-6126",6126,"4/24/18 second",""
"118","Hemato","Unkn-08","37-B03","28.55",28.69,0.205,509,"2.707",67.8,604.5,"pos","pos","2017-6126",6126,"3/29/18 second",""
"119","Hemato","Unkn-08","37-B03","28.84",28.69,0.205,414,"2.617",67.8,604.5,"pos","pos","2017-6126",6126,"3/29/18 second",""
"120","Hemato","Unkn-37","30-E01","30.17",30.3,0.117,198,"2.30E+00",15.5,168.25,"pos","pos","2017-6127",6127,"4/25/18 fourth",""
"121","Hemato","Unkn-37","30-E01","30.33",30.3,0.117,176,"2.25E+00",15.5,168.25,"pos","pos","2017-6127",6127,"4/25/18 fourth",""
"122","Hemato","Unkn-04","38-A06","30.89",30.97,0.111,158,"2.197",11.8,168.25,"pos","pos","2017-6127",6127,"4/24/18 first",""
"123","Hemato","Unkn-04","38-A06","31.05",30.97,0.111,141,"2.149",11.8,168.25,"pos","pos","2017-6127",6127,"4/24/18 first",""
"124","Hemato","Unkn-13","32-G07","23.39",23.72,0.472,18300,"4.26E+00",4880,7773.75,"pos","pos","2017-6128",6128,"4/27/18 2nd",""
"125","Hemato","Unkn-13","32-G07","24.05",23.72,0.472,11400,"4.06E+00",4880,7773.75,"pos","pos","2017-6128",6128,"4/27/18 2nd",""
"126","Hemato","Unkn-04","37-A06","28.52",28.61,0.125,740,"2.869",59.8,7773.75,"pos","pos","2017-6128",6128,"3/29/18 1st",""
"127","Hemato","Unkn-04","37-A06","28.7",28.61,0.125,655,"2.816",59.8,7773.75,"pos","pos","2017-6128",6128,"3/29/18 1st",""
"128","Hemato","Unkn-40","31-B06","26.33",26.18,0.217,3000,"3.48E+00",515,5567.5,"pos","pos","2017-6129",6129,"4/25/18 fourth",""
"129","Hemato","Unkn-40","31-B06","26.03",26.2,0.217,3730,"3.57E+00",515,5567.5,"pos","pos","2017-6129",6129,"4/25/18 fourth",""
"130","Hemato","Unkn-11","37-C01","24.97",25.11,0.199,8520,"3.93",1060,5567.5,"pos","pos","2017-6129",6129,"3/29/18 1st",""
"131","Hemato","Unkn-11","37-C01","25.25",25.11,0.199,7020,"3.846",1060,5567.5,"pos","pos","2017-6129",6129,"3/29/18 1st",""
"132","Hemato","","30-B03","",NA,NA,NA,"",NA,NA,"","NEG","2017-6130",6130,"",""
"133","","Unkn-10","38-B06","32.14",32.11,0.043,186,"2.27E+00",5.52,NA,"pos","pos","2017-6130",6130,"3/27/18 third",""
"134","","Unkn-10","38-B06","32.08",32.11,0.043,194,"2.29E+00",5.52,NA,"pos","pos","2017-6130",6130,"3/27/18 third",""
"135","Hemato","Unkn-09","38-B06","30.87",30.88,0.018,161,"2.206",2.08,NA,"pos","pos","2017-6130",6130,"4/24/18 first",""
"136","Hemato","Unkn-09","38-B06","30.89",30.88,0.018,158,"2.198",2.08,NA,"pos","pos","2017-6130",6130,"4/24/18 first",""
"137","Hemato","Unkn-26","30-F04","N/A",0,0,0,"N/A",0,124.3125,"neg","neg","2017-6131",6131,"4/27/18 2nd",""
"138","Hemato","Unkn-26","30-F04","34.09",34.09,0,9.25,"9.66E-01",0,124.3125,"pos","pos","2017-6131",6131,"4/27/18 2nd",""
