"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"1",6101,"6101_206_12","cold",12,0,"I","206",NA,NA,NA,NA
"2",6101,"6101_415_26","cold",26,0,"I","415",NA,NA,NA,NA
"3",6101,"6101_84_9","cold",9,0,"I","84",NA,NA,NA,NA
"4",6102,"6102_18_9","cold",9,0,"I","18",NA,NA,NA,NA
"5",6102,"6102_236_12","cold",12,0,"I","236",NA,NA,NA,NA
"6",6102,"6102_439_26","cold",26,0,"I","439",NA,NA,NA,NA
"7",6103,"6103_215_12","cold",12,1,"I","215","4/23/18 17:41","6.68",35,"233.8"
"8",6103,"6103_409_26","cold",26,1,"I","409",NA,NA,NA,NA
"9",6103,"6103_46_9","cold",9,1,"I","46","4/3/18 15:08","5.04",35,"176.4"
"10",6104,"6104_259_12","cold",12,0,"I","259",NA,NA,NA,NA
"11",6104,"6104_41_9","cold",9,0,"I","41",NA,NA,NA,NA
"12",6104,"6104_458_26","cold",26,0,"I","458",NA,NA,NA,NA
"13",6105,"6105_234_12","cold",12,1,"I","234",NA,NA,NA,NA
"14",6105,"6105_43_9","cold",9,1,"I","43",NA,NA,NA,NA
"15",6105,"6105_438_26","cold",26,1,"I","438",NA,NA,NA,NA
"16",6106,"6106_241_12","cold",12,0,"M","241",NA,NA,NA,NA
"17",6106,"6106_450_26","cold",26,0,"M","450",NA,NA,NA,NA
"18",6106,"6106_5_9","cold",9,0,"M","5",NA,NA,NA,NA
"19",6107,"6107_115_9","ambient",9,0,"M","115",NA,NA,NA,NA
"20",6107,"6107_350_12","ambient",12,0,"M","350",NA,NA,NA,NA
"21",6107,"6107_471_26","ambient",26,0,"M","471",NA,NA,NA,NA
"22",6108,"6108_255_12","cold",12,1,"I","255",NA,NA,NA,NA
"23",6108,"6108_455_26","cold",26,1,"I","455",NA,NA,NA,NA
"24",6108,"6108_6_9","cold",9,1,"I","6",NA,NA,NA,NA
"25",6109,"6109_31_9","ambient",9,0,"I","31",NA,NA,NA,NA
"26",6109,"6109_351_12","ambient",12,0,"I","351",NA,NA,NA,NA
"27",6109,"6109_480_26","ambient",26,0,"I","480",NA,NA,NA,NA
"28",6110,"6110_135_9","ambient",9,0,"I","135",NA,NA,NA,NA
"29",6110,"6110_331_12","ambient",12,0,"I","331",NA,NA,NA,NA
"30",6110,"6110_488_26","ambient",26,0,"I","488",NA,NA,NA,NA
"31",6111,"6111_356_12","ambient",12,1,"I","356",NA,NA,NA,NA
"32",6111,"6111_468_26","ambient",26,1,"I","468",NA,NA,NA,NA
"33",6111,"6111_90_9","ambient",9,1,"I","90",NA,NA,NA,NA
"34",6112,"6112_28_9","ambient",9,0,"I","28",NA,NA,NA,NA
"35",6112,"6112_317_12","ambient",12,0,"I","317",NA,NA,NA,NA
"36",6112,"6112_499_26","ambient",26,0,"I","499",NA,NA,NA,NA
"37",6113,"6113_214_12","cold",12,0,"I","214","4/24/18 14:51","3.55",35,"124.25"
"38",6113,"6113_419_26","cold",26,0,"I","419",NA,NA,NA,NA
"39",6113,"6113_78_9","cold",9,0,"I","78","4/24/18 14:51","2.19",35,"76.65"
"40",6114,"6114_142_9","ambient",9,1,"I","142",NA,NA,NA,NA
"41",6114,"6114_326_12","ambient",12,1,"I","326",NA,NA,NA,NA
"42",6114,"6114_484_26","ambient",26,1,"I","484",NA,NA,NA,NA
"43",6115,"6115_307_12","ambient",12,1,"I","307",NA,NA,NA,NA
"44",6115,"6115_33_9","ambient",9,1,"I","33",NA,NA,NA,NA
"45",6115,"6115_514_26","ambient",26,1,"I","514",NA,NA,NA,NA
"46",6116,"6116_212_12","cold",12,1,"I","212",NA,NA,NA,NA
"47",6116,"6116_417_26","cold",26,1,"I","417",NA,NA,NA,NA
"48",6116,"6116_76_9","cold",9,1,"I","76",NA,NA,NA,NA
"49",6117,"6117_225_12","cold",12,0,"I","225","4/24/18 14:51","1.76",35,"61.6"
"50",6117,"6117_42_9","cold",9,0,"I","42","4/24/18 14:51","0",35,"0"
"51",6117,"6117_440_26","cold",26,0,"I","440",NA,NA,NA,NA
"52",6118,"6118_240_12","cold",12,1,"I","240",NA,NA,NA,NA
"53",6118,"6118_430_26","cold",26,1,"I","430",NA,NA,NA,NA
"54",6118,"6118_87_9","cold",9,1,"I","87",NA,NA,NA,NA
"55",6119,"6119_153_9","cold",9,0,"I","153","4/10/18 17:22","2.02",35,"70.7"
"56",6119,"6119_258_12","cold",12,0,"I","258","4/10/18 17:22","3.86",35,"135.1"
"57",6119,"6119_461_26","cold",26,0,"I","461",NA,NA,NA,NA
"58",6120,"6120_165_9","cold",9,1,"I","165",NA,NA,NA,NA
"59",6120,"6120_248_12","cold",12,1,"I","248",NA,NA,NA,NA
"60",6120,"6120_459_26","cold",26,1,"I","459",NA,NA,NA,NA
"61",6121,"6121_15_9","ambient",9,1,"I","15",NA,NA,NA,NA
"62",6121,"6121_352_12","ambient",12,1,"I","352",NA,NA,NA,NA
"63",6121,"6121_472_26","ambient",26,1,"I","472",NA,NA,NA,NA
"64",6122,"6122_133_9","ambient",9,1,"I","133",NA,NA,NA,NA
"65",6122,"6122_325_12","ambient",12,1,"I","325",NA,NA,NA,NA
"66",6122,"6122_489_26","ambient",26,1,"I","489",NA,NA,NA,NA
"67",6123,"6123_345_12","ambient",12,0,"I","345",NA,NA,NA,NA
"68",6123,"6123_473_26","ambient",26,0,"I","473",NA,NA,NA,NA
"69",6123,"6123_82_9","ambient",9,0,"I","82",NA,NA,NA,NA
"70",6124,"6124_347_12","ambient",12,0,"M","347",NA,NA,NA,NA
"71",6124,"6124_464_26","ambient",26,0,"M","464",NA,NA,NA,NA
"72",6124,"6124_75_9","ambient",9,0,"M","75",NA,NA,NA,NA
"73",6125,"6125_144_9","ambient",9,1,"I","144",NA,NA,NA,NA
"74",6125,"6125_303_12","ambient",12,1,"I","303",NA,NA,NA,NA
"75",6125,"6125_503_26","ambient",26,1,"I","503",NA,NA,NA,NA
"76",6126,"6126_201_12","cold",12,1,"I","201",NA,NA,NA,NA
"77",6126,"6126_418_26","cold",26,1,"I","418",NA,NA,NA,NA
"78",6126,"6126_79_9","cold",9,1,"I","79",NA,NA,NA,NA
"79",6127,"6127_335_12","ambient",12,0,"I","335","5/2/18 13:08","3.46",35,"121.1"
"80",6127,"6127_37_9","ambient",9,0,"I","37","5/1/18 17:58","3.38",35,"118.3"
"81",6127,"6127_497_26","ambient",26,0,"I","497",NA,NA,NA,NA
"82",6128,"6128_112_9","cold",9,1,"I","112",NA,NA,NA,NA
"83",6128,"6128_231_12","cold",12,1,"I","231",NA,NA,NA,NA
"84",6128,"6128_441_26","cold",26,1,"I","441",NA,NA,NA,NA
"85",6129,"6129_299_12","warm",12,1,"I","299","4/20/18 14:30","0",35,"0"
"86",6129,"6129_403_26","warm",26,1,"I","403",NA,NA,NA,NA
"87",6129,"6129_86_9","warm",9,1,"I","86","4/20/18 14:18","3.09",35,"108.15"
"88",6130,"6130_339_12","ambient",12,0,"I","339","4/9/18 13:19","0.88",35,"30.8"
"89",6130,"6130_47_9","ambient",9,0,"I","47","4/9/18 13:18","7.32",35,"256.2"
"90",6130,"6130_498_26","ambient",26,0,"I","498",NA,NA,NA,NA
"91",6131,"6131_314_12","ambient",12,0,"I","314","4/9/18 13:19","1.42",35,"49.7"
"92",6131,"6131_38_9","ambient",9,0,"I","38","4/9/18 13:19","0",35,"0"
"93",6131,"6131_507_26","ambient",26,0,"I","507",NA,NA,NA,NA
"94",6132,"6132_205_12","cold",12,0,"I","205","4/10/18 17:23","1.64",35,"57.4"
"95",6132,"6132_406_26","cold",26,0,"I","406",NA,NA,NA,NA
"96",6132,"6132_88_9","cold",9,0,"I","88","4/10/18 14:47","2.81",35,"98.35"
"97",6133,"6133_223_12","cold",12,0,"I","223","4/10/18 17:23","8.24",35,"288.4"
"98",6133,"6133_36_9","cold",9,0,"I","36","4/10/18 14:47","4.16",35,"145.6"
"99",6133,"6133_434_26","cold",26,0,"I","434",NA,NA,NA,NA
"100",6134,"6134_353_12","ambient",12,1,"I","353","4/6/18 13:39","2.68",35,"93.8"
"101",6134,"6134_465_26","ambient",26,1,"I","465",NA,NA,NA,NA
"102",6134,"6134_77_9","ambient",9,1,"I","77","3/26/18 13:25","1.71",35,"59.85"
"103",6135,"6135_327_12","ambient",12,1,"M","327","4/6/18 13:38","2.01",35,"70.35"
"104",6135,"6135_4_9","ambient",9,1,"M","4","4/6/18 13:38","3.52",35,"123.2"
"105",6135,"6135_492_26","ambient",26,1,"M","492",NA,NA,NA,NA
"106",6136,"6136_321_12","ambient",12,0,"M","321",NA,NA,NA,NA
"107",6136,"6136_491_26","ambient",26,0,"M","491",NA,NA,NA,NA
"108",6136,"6136_91_9","ambient",9,0,"M","91",NA,NA,NA,NA
"109",6137,"6137_301_12","ambient",12,1,"I","301",NA,NA,NA,NA
"110",6137,"6137_500_26","ambient",26,1,"I","500",NA,NA,NA,NA
"111",6137,"6137_81_9","ambient",9,1,"I","81",NA,NA,NA,NA
"112",6138,"6138_247_12","cold",12,0,"I","247","4/24/18 14:32","6.44",35,"225.4"
"113",6138,"6138_453_26","cold",26,0,"I","453",NA,NA,NA,NA
"114",6138,"6138_80_9","cold",9,0,"I","80","4/24/18 14:32","2.66",35,"93.1"
"115",6139,"6139_104_9","ambient",9,3,"M","104",NA,NA,NA,NA
"116",6139,"6139_332_12","ambient",12,3,"M","332",NA,NA,NA,NA
"117",6139,"6139_493_26","ambient",26,3,"M","493",NA,NA,NA,NA
"118",6140,"6140_237_12","cold",12,1,"I","237",NA,NA,NA,NA
"119",6140,"6140_429_26","cold",26,1,"I","429",NA,NA,NA,NA
"120",6140,"6140_8_9","cold",9,1,"I","8",NA,NA,NA,NA
"121",6141,"6141_123_9","cold",9,1,"I","123",NA,NA,NA,NA
"122",6141,"6141_249_12","cold",12,1,"I","249",NA,NA,NA,NA
"123",6141,"6141_451_26","cold",26,1,"I","451",NA,NA,NA,NA
