"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number"
"36",6112,"6112_499_26","ambient",26,0,"I","499"
"37",6113,"6113_214_12","cold",12,0,"I","214"
"38",6113,"6113_419_26","cold",26,0,"I","419"
"39",6113,"6113_78_9","cold",9,0,"I","78"
"40",6114,"6114_142_9","ambient",9,1,"I","142"
"41",6114,"6114_326_12","ambient",12,1,"I","326"
"42",6114,"6114_484_26","ambient",26,1,"I","484"
"43",6115,"6115_307_12","ambient",12,1,"I","307"
"44",6115,"6115_33_9","ambient",9,1,"I","33"
"45",6115,"6115_514_26","ambient",26,1,"I","514"
"46",6116,"6116_212_12","cold",12,1,"I","212"
"47",6116,"6116_417_26","cold",26,1,"I","417"
"48",6116,"6116_76_9","cold",9,1,"I","76"
"49",6117,"6117_225_12","cold",12,0,"I","225"
"50",6117,"6117_42_9","cold",9,0,"I","42"
"51",6117,"6117_440_26","cold",26,0,"I","440"
"52",6118,"6118_240_12","cold",12,1,"I","240"
"53",6118,"6118_430_26","cold",26,1,"I","430"
"54",6118,"6118_87_9","cold",9,1,"I","87"
"55",6119,"6119_153_9","cold",9,0,"I","153"
"56",6119,"6119_258_12","cold",12,0,"I","258"
"57",6119,"6119_461_26","cold",26,0,"I","461"
"58",6120,"6120_165_9","cold",9,1,"I","165"
"59",6120,"6120_248_12","cold",12,1,"I","248"
"60",6120,"6120_459_26","cold",26,1,"I","459"
"61",6121,"6121_15_9","ambient",9,1,"I","15"
"62",6121,"6121_352_12","ambient",12,1,"I","352"
"63",6121,"6121_472_26","ambient",26,1,"I","472"
"64",6122,"6122_133_9","ambient",9,1,"I","133"
"65",6122,"6122_325_12","ambient",12,1,"I","325"
"66",6122,"6122_489_26","ambient",26,1,"I","489"
"67",6123,"6123_345_12","ambient",12,0,"I","345"
"68",6123,"6123_473_26","ambient",26,0,"I","473"
"69",6123,"6123_82_9","ambient",9,0,"I","82"
"70",6124,"6124_347_12","ambient",12,0,"M","347"
"71",6124,"6124_464_26","ambient",26,0,"M","464"
"72",6124,"6124_75_9","ambient",9,0,"M","75"
"73",6125,"6125_144_9","ambient",9,1,"I","144"
"74",6125,"6125_303_12","ambient",12,1,"I","303"
"75",6125,"6125_503_26","ambient",26,1,"I","503"
"76",6126,"6126_201_12","cold",12,1,"I","201"
"77",6126,"6126_418_26","cold",26,1,"I","418"
"78",6126,"6126_79_9","cold",9,1,"I","79"
"79",6127,"6127_335_12","ambient",12,0,"I","335"
"80",6127,"6127_37_9","ambient",9,0,"I","37"
"81",6127,"6127_497_26","ambient",26,0,"I","497"
"82",6128,"6128_112_9","cold",9,1,"I","112"
"83",6128,"6128_231_12","cold",12,1,"I","231"
"84",6128,"6128_441_26","cold",26,1,"I","441"
"85",6129,"6129_299_12","warm",12,1,"I","299"
"86",6129,"6129_403_26","warm",26,1,"I","403"
"87",6129,"6129_86_9","warm",9,1,"I","86"
"88",6130,"6130_339_12","ambient",12,0,"I","339"
"89",6130,"6130_47_9","ambient",9,0,"I","47"
"90",6130,"6130_498_26","ambient",26,0,"I","498"
"91",6131,"6131_314_12","ambient",12,0,"I","314"
"92",6131,"6131_38_9","ambient",9,0,"I","38"
"93",6131,"6131_507_26","ambient",26,0,"I","507"
"94",6132,"6132_205_12","cold",12,0,"I","205"
"95",6132,"6132_406_26","cold",26,0,"I","406"
"96",6132,"6132_88_9","cold",9,0,"I","88"
"97",6133,"6133_223_12","cold",12,0,"I","223"
"98",6133,"6133_36_9","cold",9,0,"I","36"
"99",6133,"6133_434_26","cold",26,0,"I","434"
"100",6134,"6134_353_12","ambient",12,1,"I","353"
"101",6134,"6134_465_26","ambient",26,1,"I","465"
"102",6134,"6134_77_9","ambient",9,1,"I","77"
"103",6135,"6135_327_12","ambient",12,1,"M","327"
"104",6135,"6135_4_9","ambient",9,1,"M","4"
"105",6135,"6135_492_26","ambient",26,1,"M","492"
"106",6136,"6136_321_12","ambient",12,0,"M","321"
"107",6136,"6136_491_26","ambient",26,0,"M","491"
"108",6136,"6136_91_9","ambient",9,0,"M","91"
"109",6137,"6137_301_12","ambient",12,1,"I","301"
"110",6137,"6137_500_26","ambient",26,1,"I","500"
"111",6137,"6137_81_9","ambient",9,1,"I","81"
"112",6138,"6138_247_12","cold",12,0,"I","247"
"113",6138,"6138_453_26","cold",26,0,"I","453"
"114",6138,"6138_80_9","cold",9,0,"I","80"
"115",6139,"6139_104_9","ambient",9,3,"M","104"
"116",6139,"6139_332_12","ambient",12,3,"M","332"
"117",6139,"6139_493_26","ambient",26,3,"M","493"
"118",6140,"6140_237_12","cold",12,1,"I","237"
"119",6140,"6140_429_26","cold",26,1,"I","429"
"120",6140,"6140_8_9","cold",9,1,"I","8"
"121",6141,"6141_123_9","cold",9,1,"I","123"
"122",6141,"6141_249_12","cold",12,1,"I","249"
"123",6141,"6141_451_26","cold",26,1,"I","451"
"124",6142,"6142_346_12","ambient",12,0,"I","346"
"125",6142,"6142_474_26","ambient",26,0,"I","474"
"126",6142,"6142_65_9","ambient",9,0,"I","65"
"127",6143,"6143_10_9","ambient",9,0,"M","10"
"128",6143,"6143_343_12","ambient",12,0,"M","343"
"129",6143,"6143_479_26","ambient",26,0,"M","479"
"130",6144,"6144_14_9","ambient",9,1,"I","14"
"131",6144,"6144_348_12","ambient",12,1,"I","348"
"132",6144,"6144_477_26","ambient",26,1,"I","477"
"133",6145,"6145_305_12","ambient",12,1,"I","305"
"134",6145,"6145_505_26","ambient",26,1,"I","505"
"135",6145,"6145_59_9","ambient",9,1,"I","59"
"136",6146,"6146_12_9","ambient",9,0,"I","12"
"137",6146,"6146_309_12","ambient",12,0,"I","309"
"138",6146,"6146_502_26","ambient",26,0,"I","502"
"139",6147,"6147_204_12","cold",12,0,"I","204"
"140",6147,"6147_30_9","cold",9,0,"I","30"
"141",6147,"6147_421_26","cold",26,0,"I","421"
"142",6148,"6148_213_12","cold",12,1,"I","213"
"143",6148,"6148_405_26","cold",26,1,"I","405"
"144",6148,"6148_56_9","cold",9,1,"I","56"
"145",6149,"6149_226_12","cold",12,1,"I","226"
"146",6149,"6149_437_26","cold",26,1,"I","437"
"147",6149,"6149_64_9","cold",9,1,"I","64"
"148",6150,"6150_119_9","ambient",9,0,"M","119"
"149",6150,"6150_312_12","ambient",12,0,"M","312"
"150",6150,"6150_511_26","ambient",26,0,"M","511"
"151",6151,"6151_19_9","cold",9,1,"I","19"
"152",6151,"6151_243_12","cold",12,1,"I","243"
"153",6151,"6151_454_26","cold",26,1,"I","454"
"154",6152,"6152_32_9","ambient",9,0,"M","32"
"155",6152,"6152_344_12","ambient",12,0,"M","344"
"156",6152,"6152_467_26","ambient",26,0,"M","467"
"157",6153,"6153_11_9","cold",9,0,"M","11"
"158",6153,"6153_209_12","cold",12,0,"M","209"
"159",6153,"6153_404_26","cold",26,0,"M","404"
"160",6154,"6154_232_12","cold",12,0,"I","232"
"161",6154,"6154_436_26","cold",26,0,"I","436"
"162",6154,"6154_68_9","cold",9,0,"I","68"
"163",6155,"6155_358_12","ambient",12,1,"I","358"
"164",6155,"6155_476_26","ambient",26,1,"I","476"
"165",6155,"6155_66_9","ambient",9,1,"I","66"
"166",6156,"6156_24_9","cold",9,0,"I","24"
"167",6156,"6156_242_12","cold",12,0,"I","242"
"168",6156,"6156_446_26","cold",26,0,"I","446"
"169",6157,"6157_169_9","cold",9,0,"M","169"
"170",6157,"6157_224_12","cold",12,0,"M","224"
"171",6157,"6157_423_26","cold",26,0,"M","423"
"172",6158,"6158_101_9","ambient",9,1,"I","101"
"173",6158,"6158_324_12","ambient",12,1,"I","324"
"174",6158,"6158_483_26","ambient",26,1,"I","483"
"175",6159,"6159_26_9","ambient",9,1,"I","26"
"176",6159,"6159_313_12","ambient",12,1,"I","313"
"177",6159,"6159_508_26","ambient",26,1,"I","508"
"178",6160,"6160_238_12","cold",12,0,"M","238"
"179",6160,"6160_426_26","cold",26,0,"M","426"
"180",6160,"6160_7_9","cold",9,0,"M","7"
"181",6161,"6161_302_12","ambient",12,0,"M","302"
"182",6161,"6161_512_26","ambient",26,0,"M","512"
"183",6161,"6161_53_9","ambient",9,0,"M","53"
"184",6162,"6162_220_12","cold",12,1,"I","220"
"185",6162,"6162_407_26","cold",26,1,"I","407"
"186",6162,"6162_61_9","cold",9,1,"I","61"
"187",6163,"6163_130_9","cold",9,1,"I","130"
"188",6163,"6163_228_12","cold",12,1,"I","228"
"189",6163,"6163_424_26","cold",26,1,"I","424"
"190",6164,"6164_257_12","cold",12,1,"I","257"
"191",6164,"6164_460_26","cold",26,1,"I","460"
"192",6164,"6164_71_9","cold",9,1,"I","71"
"193",6165,"6165_360_12","ambient",12,0,"I","360"
"194",6165,"6165_469_26","ambient",26,0,"I","469"
"195",6165,"6165_55_9","ambient",9,0,"I","55"
"196",6166,"6166_21_9","ambient",9,0,"I","21"
"197",6166,"6166_349_12","ambient",12,0,"I","349"
"198",6166,"6166_496_26","ambient",26,0,"I","496"
"199",6167,"6167_207_12","cold",12,0,"I","207"
"200",6167,"6167_414_26","cold",26,0,"I","414"
"201",6167,"6167_45_9","cold",9,0,"I","45"
"202",6168,"6168_27_9","ambient",9,1,"I","27"
"203",6168,"6168_357_12","ambient",12,1,"I","357"
"204",6168,"6168_466_26","ambient",26,1,"I","466"
"205",6169,"6169_328_12","ambient",12,1,"I","328"
"206",6169,"6169_486_26","ambient",26,1,"I","486"
"207",6169,"6169_57_9","ambient",9,1,"I","57"
"208",6170,"6170_320_12","ambient",12,1,"I","320"
"209",6170,"6170_516_26","ambient",26,1,"I","516"
"210",6170,"6170_70_9","ambient",9,1,"I","70"
"211",6171,"6171_221_12","cold",12,0,"I","221"
"212",6171,"6171_427_26","cold",26,0,"I","427"
"213",6171,"6171_73_9","cold",9,0,"I","73"
"214",6172,"6172_316_12","cold",12,0,"M","316"
"215",6172,"6172_517_26","cold",26,0,"M","517"
"216",6172,"6172_60,_9","cold",9,0,"M","60, 100"
"217",6173,"6173_210_12","cold",12,1,"I","210"
"218",6173,"6173_420_26","cold",26,1,"I","420"
"219",6173,"6173_63_9","cold",9,1,"I","63"
"220",6174,"6174_20_9","cold",9,1,"I","20"
"221",6174,"6174_233_12","cold",12,1,"I","233"
"222",6174,"6174_433_26","cold",26,1,"I","433"
"223",6175,"6175_246_12","cold",12,0,"I","246"
"224",6175,"6175_447_26","cold",26,0,"I","447"
"225",6175,"6175_67_9","cold",9,0,"I","67"
"226",6176,"6176_329_12","ambient",12,0,"M","329"
"227",6176,"6176_48_9","ambient",9,0,"M","48"
"228",6176,"6176_490_26","ambient",26,0,"M","490"
"229",6177,"6177_250_12","cold",12,1,"I","250"
"230",6177,"6177_456_26","cold",26,1,"I","456"
"231",6177,"6177_54_9","cold",9,1,"I","54"
"232",6178,"6178_124_9","cold",9,0,"M","124"
"233",6178,"6178_218_12","cold",12,0,"M","218"
"234",6178,"6178_410_26","cold",26,0,"M","410"
"235",6179,"6179_315_12","ambient",12,0,"M","315"
"236",6179,"6179_34_9","ambient",9,0,"M","34"
"237",6179,"6179_515_26","ambient",26,0,"M","515"
"238",6180,"6180_149_9","warm",9,0,"I","149"
"239",6180,"6180_370_12","warm",12,0,"I","370"
"240",6180,"6180_402_26","warm",26,0,"I","402"
"241",6181,"6181_175_9","ambient",9,0,"I","175"
"242",6181,"6181_355_12","ambient",12,0,"I","355"
"243",6181,"6181_470_26","ambient",26,0,"I","470"
"244",6182,"6182_137_9","ambient",9,1,"I","137"
"245",6182,"6182_354_12","ambient",12,1,"I","354"
"246",6182,"6182_462_26","ambient",26,1,"I","462"
"247",6183,"6183_141_9","ambient",9,1,"I","141"
"248",6183,"6183_322_12","ambient",12,1,"I","322"
"249",6183,"6183_494_26","ambient",26,1,"I","494"
"250",6184,"6184_148_9","ambient",9,1,"I","148"
"251",6184,"6184_318_12","ambient",12,1,"I","318"
"252",6184,"6184_513_26","ambient",26,1,"I","513"
"253",6185,"6185_145_9","ambient",9,0,"I","145"
"254",6185,"6185_336_12","ambient",12,0,"I","336"
"255",6185,"6185_487_26","ambient",26,0,"I","487"
"256",6186,"6186_171_9","ambient",9,0,"I","171"
"257",6186,"6186_306_12","ambient",12,0,"I","306"
"258",6186,"6186_510_26","ambient",26,0,"I","510"
"259",6187,"6187_158_9","cold",9,1,"I","158"
"260",6187,"6187_239_12","cold",12,1,"I","239"
"261",6187,"6187_431_26","cold",26,1,"I","431"
"262",6188,"6188_172_9","cold",9,1,"I","172"
"263",6188,"6188_245_12","cold",12,1,"I","245"
"264",6188,"6188_443_26","cold",26,1,"I","443"
"265",6189,"6189_176_9","cold",9,0,"I","176"
"266",6189,"6189_216_12","cold",12,0,"I","216"
"267",6189,"6189_422_26","cold",26,0,"I","422"
"268",6190,"6190_101_9","cold",9,3,"M","101"
"269",6190,"6190_256_12","cold",12,3,"M","256"
"270",6190,"6190_452_26","cold",26,3,"M","452"
"271",6191,"6191_227_12","cold",12,0,"I","227"
"272",6191,"6191_442_26","cold",26,0,"I","442"
"273",6191,"6191_95_9","cold",9,0,"I","95"
"274",6192,"6192_178_9","ambient",9,1,"I","178"
"275",6192,"6192_359_12","ambient",12,1,"I","359"
"276",6192,"6192_463_26","ambient",26,1,"I","463"
"277",6193,"6193_174_9","ambient",9,1,"I","174"
"278",6193,"6193_333_12","ambient",12,1,"I","333"
"279",6193,"6193_482_26","ambient",26,1,"I","482"
"280",6194,"6194_235_12","cold",12,0,"M","235"
"281",6194,"6194_432_26","cold",26,0,"M","432"
"282",6194,"6194_98_9","cold",9,0,"M","98"
"283",6195,"6195_150_9","ambient",9,1,"I","150"
"284",6195,"6195_304_12","ambient",12,1,"I","304"
"285",6195,"6195_501_26","ambient",26,1,"I","501"
"286",6196,"6196_170_9","cold",9,1,"I","170"
"287",6196,"6196_203_12","cold",12,1,"I","203"
"288",6196,"6196_408_26","cold",26,1,"I","408"
"289",6197,"6197_161_9","cold",9,0,"M","161"
"290",6197,"6197_244_12","cold",12,0,"M","244"
"291",6197,"6197_449_26","cold",26,0,"M","449"
"292",6198,"6198_154_9","cold",9,1,"I","154"
"293",6198,"6198_230_12","cold",12,1,"I","230"
"294",6198,"6198_428_26","cold",26,1,"I","428"
"295",6199,"6199_151_9","cold",9,1,"I","151"
"296",6199,"6199_254_12","cold",12,1,"I","254"
"297",6199,"6199_445_26","cold",26,1,"I","445"
"298",6200,"6200_208_12","cold",12,3,"M","208"
"299",6200,"6200_416_26","cold",26,3,"M","416"
"300",6200,"6200_94_9","cold",9,3,"M","94"
"301",6201,"6201_163_9","ambient",9,1,"I","163"
"302",6201,"6201_341_12","ambient",12,1,"I","341"
"303",6201,"6201_478_26","ambient",26,1,"I","478"
"304",6202,"6202_109_9","ambient",9,1,"I","109"
"305",6202,"6202_337_12","ambient",12,1,"I","337"
"306",6202,"6202_495_26","ambient",26,1,"I","495"
"307",6203,"6203_113_9","cold",9,0,"M","113"
"308",6203,"6203_222_12","cold",12,0,"M","222"
"309",6203,"6203_425_26","cold",26,0,"M","425"
"310",6204,"6204_114_9","cold",9,3,"M","114"
"311",6204,"6204_252_12","cold",12,3,"M","252"
"312",6204,"6204_448_26","cold",26,3,"M","448"
"313",6205,"6205_121_9","ambient",9,0,"I","121"
"314",6205,"6205_342_12","ambient",12,0,"I","342"
"315",6205,"6205_475_26","ambient",26,0,"I","475"
"316",6206,"6206_103_9","ambient",9,1,"I","103"
"317",6206,"6206_319_12","ambient",12,1,"I","319"
"318",6206,"6206_509_26","ambient",26,1,"I","509"
"319",6207,"6207_128_9","cold",9,1,"I","128"
"320",6207,"6207_202_12","cold",12,1,"I","202"
"321",6207,"6207_412_26","cold",26,1,"I","412"
"322",6208,"6208_106_9","cold",9,1,"I","106"
"323",6208,"6208_229_12","cold",12,1,"I","229"
"324",6208,"6208_435_26","cold",26,1,"I","435"
"325",6209,"6209_125_9","cold",9,1,"I","125"
"326",6209,"6209_251_12","cold",12,1,"I","251"
"327",6209,"6209_444_26","cold",26,1,"I","444"
"328",6210,"6210_120_9","warm",9,1,"I","120"
"329",6210,"6210_274_12","warm",12,1,"I","274"
"330",6210,"6210_401_26","warm",26,1,"I","401"
"331",6211,"6211_118_9","ambient",9,1,"I","118"
"332",6211,"6211_349_12","ambient",12,1,"I","349"
"333",6211,"6211_481_26","ambient",26,1,"I","481"
"334",6212,"6212_132_9","ambient",9,1,"I","132"
"335",6212,"6212_334_12","ambient",12,1,"I","334"
"336",6212,"6212_485_26","ambient",26,1,"I","485"
"337",6213,"6213_108_9","ambient",9,0,"I","108"
"338",6213,"6213_310_12","ambient",12,0,"I","310"
"339",6213,"6213_506_26","ambient",26,0,"I","506"
"340",6214,"6214_107_9","ambient",9,1,"I","107"
"341",6214,"6214_311_12","ambient",12,1,"I","311"
"342",6214,"6214_504_26","ambient",26,1,"I","504"
"343",6215,"6215_23_9","cold",9,1,"I","23"
"344",6215,"6215_253_12","cold",12,1,"#N/A","253"
"345",6215,"6215_457_26","cold",26,1,"#N/A","457"
"346",6216,"6216_267_12","warm",12,0,"I","267"
"347",6216,"6216_40_9","warm",9,0,"I","40"
"348",6217,"6217_129_9","warm",9,0,"I","129"
"349",6217,"6217_285_12","warm",12,0,"I","285"
"350",6218,"6218_373_12","warm",12,3,"I","373"
"351",6218,"6218_93_9","warm",9,3,"I","93"
"352",6219,"6219_116_9","warm",9,1,"I","116"
"353",6219,"6219_276_12","warm",12,1,"I","276"
"354",6220,"6220_162_9","warm",9,1,"I","162"
"355",6220,"6220_293_12","warm",12,1,"I","293"
"356",6221,"6221_16_9","warm",9,1,"I","16"
"357",6221,"6221_380_12","warm",12,1,"I","380"
"358",6222,"6222_1_9","warm",9,0,"M","1"
"359",6222,"6222_266_12","warm",12,0,"M","266"
"360",6223,"6223_270_12","warm",12,0,"M","270"
"361",6223,"6223_44_9","warm",9,0,"M","44"
"362",6224,"6224_277_12","warm",12,1,"I","277"
"363",6224,"6224_74_9","warm",9,1,"I","74"
"364",6225,"6225_298_12","warm",12,1,"I","298"
"365",6225,"6225_92_9","warm",9,1,"I","92"
"366",6226,"6226_260_12","warm",12,0,"I","260"
"367",6226,"6226_85_9","warm",9,0,"I","85"
"368",6227,"6227_366_12","warm",12,1,"I","366"
"369",6227,"6227_83_9","warm",9,1,"I","83"
"370",6228,"6228_29_9","warm",9,0,"I","29"
"371",6228,"6228_290_12","warm",12,0,"I","290"
"372",6229,"6229_379_12","warm",12,0,"I","379"
"373",6229,"6229_89_9","warm",9,0,"I","89"
"374",6230,"6230_22_9","warm",9,0,"M","22"
"375",6230,"6230_292_12","warm",12,0,"M","292"
"376",6231,"6231_102_9","warm",9,1,"I","102"
"377",6231,"6231_278_12","warm",12,1,"I","278"
"378",6232,"6232_286_12","warm",12,0,"M","286"
"379",6232,"6232_52_9","warm",9,0,"M","52"
"380",6233,"6233_117_9","warm",9,1,"I","117"
"381",6233,"6233_371_12","warm",12,1,"I","371"
"382",6234,"6234_2_9","warm",9,0,"I","2"
"383",6234,"6234_263_12","warm",12,0,"I","263"
"384",6235,"6235_297_12","warm",12,0,"I","297"
"385",6235,"6235_35_9","warm",9,0,"I","35"
"386",6236,"6236_157_9","warm",9,0,"I","157"
"387",6236,"6236_361_12","warm",12,0,"I","361"
"388",6237,"6237_17_9","warm",9,1,"I","17"
"389",6237,"6237_271_12","warm",12,1,"I","271"
"390",6238,"6238_375_12","warm",12,0,"M","375"
"391",6238,"6238_9_9","warm",9,0,"M","9"
"392",6239,"6239_166_9","warm",9,1,"I","166"
"393",6239,"6239_291_12","warm",12,1,"I","291"
"394",6240,"6240_134_9","warm",9,1,"I","134"
"395",6240,"6240_362_12","warm",12,1,"I","362"
"396",6241,"6241_323_12","ambient",12,1,"I","323"
"397",6241,"6241_62_9","ambient",9,1,"I","62"
"398",6242,"6242_377_12","warm",12,0,"M","377"
"399",6242,"6242_39_9","warm",9,0,"M","39"
"400",6243,"6243_173_9","warm",9,1,"I","173"
"401",6243,"6243_272_12","warm",12,1,"I","272"
"402",6244,"6244_284_12","warm",12,1,"I","284"
"403",6244,"6244_58_9","warm",9,1,"I","58"
"404",6245,"6245_126_9","warm",9,1,"I","126"
"405",6245,"6245_365_12","warm",12,1,"I","365"
"406",6246,"6246_265_12","warm",12,0,"I","265"
"407",6246,"6246_3_9","warm",9,0,"I","3"
"408",6247,"6247_152_9","warm",9,0,"I","152"
"409",6247,"6247_287_12","warm",12,0,"I","287"
"410",6248,"6248_378_12","warm",12,0,"I","378"
"411",6248,"6248_49_9","warm",9,0,"I","49"
"412",6249,"6249_279_12","warm",12,1,"I","279"
"413",6249,"6249_96_9","warm",9,1,"I","96"
"414",6250,"6250_294_12","warm",12,1,"I","294"
"415",6250,"6250_72_9","warm",9,1,"I","72"
"416",6251,"6251_167_9","warm",9,1,"I","167"
"417",6251,"6251_376_12","warm",12,1,"I","376"
"418",6252,"6252_330_12","ambient",12,3,"M","330"
"419",6252,"6252_99_9","ambient",9,3,"M","99"
"420",6253,"6253_25_9","warm",9,0,"I","25"
"421",6253,"6253_275_12","warm",12,0,"I","275"
"422",6254,"6254_296_12","warm",12,0,"I","296"
"423",6254,"6254_69_9","warm",9,0,"I","69"
"424",6255,"6255_143_9","warm",9,1,"I","143"
"425",6255,"6255_262_12","warm",12,1,"I","262"
"426",6256,"6256_146_9","warm",9,1,"I","146"
"427",6256,"6256_283_12","warm",12,1,"I","283"
"428",6257,"6257_138_9","warm",9,1,"I","138"
"429",6257,"6257_363_12","warm",12,1,"I","363"
"430",6258,"6258_140_9","warm",9,3,"M","140"
"431",6258,"6258_261_12","warm",12,3,"M","261"
"432",6259,"6259_139_9","warm",9,0,"M","139"
"433",6259,"6259_281_12","warm",12,0,"M","281"
"434",6260,"6260_136_9","warm",9,0,"M","136"
"435",6260,"6260_374_12","warm",12,0,"M","374"
"436",6261,"6261_164_9","warm",9,1,"I","164"
"437",6261,"6261_273_12","warm",12,1,"I","273"
"438",6262,"6262_168_9","warm",9,1,"I","168"
"439",6262,"6262_289_12","warm",12,1,"I","289"
"440",6263,"6263_179_9","warm",9,1,"I","179"
"441",6263,"6263_368_12","warm",12,1,"I","368"
"442",6264,"6264_180_9","warm",9,0,"I","180"
"443",6264,"6264_268_12","warm",12,0,"I","268"
"444",6265,"6265_155_9","warm",9,0,"I","155"
"445",6265,"6265_282_12","warm",12,0,"I","282"
"446",6266,"6266_156_9","warm",9,1,"I","156"
"447",6266,"6266_264_12","warm",12,1,"I","264"
"448",6267,"6267_159_9","warm",9,1,"I","159"
"449",6267,"6267_288_12","warm",12,1,"I","288"
"450",6268,"6268_369_12","warm",12,0,"I","369"
"451",6268,"6268_97_9","warm",9,0,"I","97"
"452",6269,"6269_160_9","warm",9,1,"I","160"
"453",6269,"6269_364_12","warm",12,1,"I","364"
"454",6270,"6270_131_9","warm",9,0,"M","131"
"455",6270,"6270_269_12","warm",12,0,"M","269"
"456",6271,"6271_105_9","warm",9,0,"M","105"
"457",6271,"6271_295_12","warm",12,0,"M","295"
"458",6272,"6272_111_9","ambient",9,0,"I","111"
"459",6272,"6272_338_12","ambient",12,0,"I","338"
"460",6273,"6273_127_9","warm",9,1,"I","127"
"461",6273,"6273_280_12","warm",12,1,"I","280"
"462",6274,"6274_122_9","warm",9,1,"I","122"
"463",6274,"6274_367_12","warm",12,1,"I","367"
"464",6275,"6275_110_9","warm",9,3,"M","110"
"465",6275,"6275_372_12","warm",12,3,"M","372"
"466",6276,"6276_50_9","ambient",9,0,"I","50"
"467",6277,"6277_177_9","cold",9,0,"I","177"
"468",6278,"6278__12","cold",12,1,"I",""
"469",6278,"6278_147_9","cold",9,1,"I","147"
"470",6278,"6278_413_26","cold",26,1,"I","413"
"471",6279,"6279_13_9","cold",9,1,"I","13"
"472",6279,"6279_219_12","cold",12,1,"I","219"
"473",6279,"6279_411_26","cold",26,1,"I","411"
"474",6280,"6280_tes_NA",NA,NA,3,NA,"test1"
"475",6281,"6281_tes_NA",NA,NA,3,"I","test2"
"476",6282,"6282_tes_NA",NA,NA,3,"M","test3"
