"","value","count"
"1","cell adhesion",3227
"2","cell cycle and proliferation",11440
"3","cell organization and biogenesis",34475
"4","cell-cell signaling",2869
"5","death",4257
"6","developmental processes",34599
"7","DNA metabolism",10510
"8","other biological processes",39756
"9","other metabolic processes",37122
"10","protein metabolism",21595
"11","RNA metabolism",30397
"12","signal transduction",14266
"13","stress response",16823
"14","transport",22087
