"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"526",6105,"6105_438_26","cold",26,1,"I","438-1",NA,NA,NA,NA
"527",6106,"6106_450_26","cold",26,0,"M","450-1","8/9/18 13:03","Out of range",10,"#VALUE!"
"528",6108,"6108_455_26","cold",26,1,"I","455-1",NA,NA,NA,NA
"529",6113,"6113_419_26","cold",26,0,"I","419-1","4/24/18 14:51","5.64",35,"197.4"
"530",6116,"6116_417_26","cold",26,1,"I","417-1","8/9/18 13:02","17.3",10,"173"
"531",6117,"6117_440_26","cold",26,0,"I","440-1","4/24/18 14:51","1.77",35,"61.95"
"532",6118,"6118_430_26","cold",26,1,"I","430-1",NA,NA,NA,NA
"533",6119,"6119_461_26","cold",26,0,"I","461-1","4/10/18 17:23","0",35,"0"
"534",6120,"6120_459_26","cold",26,1,"I","459-1",NA,NA,NA,NA
"535",6126,"6126_418_26","cold",26,1,"I","418-1",NA,NA,NA,NA
"536",6128,"6128_441_26","cold",26,1,"I","441-1",NA,NA,NA,NA
"537",6132,"6132_406_26","cold",26,0,"I","406-1","4/10/18 17:23","0",35,"0"
"538",6133,"6133_434_26","cold",26,0,"I","434-1","4/10/18 17:23","3.9",35,"136.5"
"539",6138,"6138_453_26","cold",26,0,"I","453-1","4/24/18 14:50","6.16",35,"215.6"
"540",6140,"6140_429_26","cold",26,1,"I","429-1",NA,NA,NA,NA
"541",6141,"6141_451_26","cold",26,1,"I","451-1",NA,NA,NA,NA
"542",6147,"6147_421_26","cold",26,0,"I","421-1","4/29/18 17:59","3.64",35,"127.4"
"543",6148,"6148_405_26","cold",26,1,"I","405-1",NA,NA,NA,NA
"544",6149,"6149_437_26","cold",26,1,"I","437-1",NA,NA,NA,NA
"545",6151,"6151_454_26","cold",26,1,"I","454-1",NA,NA,NA,NA
"546",6153,"6153_404_26","cold",26,0,"M","404-1","8/9/18 13:01","Out of range",10,"#VALUE!"
"547",6154,"6154_436_26","cold",26,0,"I","436-1","4/29/18 17:59","5.04",35,"176.4"
"548",6156,"6156_446_26","cold",26,0,"I","446-1","8/9/18 13:03","Out of range",10,"#VALUE!"
"549",6157,"6157_423_26","cold",26,0,"M","423-1",NA,NA,NA,NA
"550",6160,"6160_426_26","cold",26,0,"M","426-1","8/9/18 13:02","5.28",10,"52.8"
"551",6162,"6162_407_26","cold",26,1,"I","407-1",NA,NA,NA,NA
"552",6163,"6163_424_26","cold",26,1,"I","424-1",NA,NA,NA,NA
"553",6164,"6164_460_26","cold",26,1,"I","460-1","8/9/18 13:04","Out of range",10,"#VALUE!"
"554",6167,"6167_414_26","cold",26,0,"I","414-1","4/29/18 17:59","7.52",35,"263.2"
"555",6171,"6171_427_26","cold",26,0,"I","427-1","5/1/18 17:59","3.71",35,"129.85"
"556",6172,"6172_517_26","cold",26,0,"M","517-1","8/9/18 13:06","Out of range",10,"#VALUE!"
"557",6173,"6173_420_26","cold",26,1,"I","420-1","8/9/18 13:02","29.8",10,"298"
"558",6174,"6174_433_26","cold",26,1,"I","433-1","8/9/18 13:03","Out of range",10,"#VALUE!"
"559",6175,"6175_447_26","cold",26,0,"I","447-1","8/9/18 13:03","7.2",10,"72"
"560",6177,"6177_456_26","cold",26,1,"I","456-1","8/9/18 13:04","Out of range",10,"#VALUE!"
"561",6178,"6178_410_26","cold",26,0,"M","410-1",NA,NA,NA,NA
"562",6187,"6187_431_26","cold",26,1,"I","431-1","8/9/18 13:02","8.38",10,"83.8"
"563",6188,"6188_443_26","cold",26,1,"I","443-1","8/9/18 13:03","7.28",10,"72.8"
"564",6189,"6189_422_26","cold",26,0,"I","422-1","8/9/18 13:02","Out of range",10,"#VALUE!"
"565",6190,"6190_452_26","cold",26,3,"M","452-1",NA,NA,NA,NA
"566",6191,"6191_442_26","cold",26,0,"I","442-1","8/9/18 13:03","4",10,"40"
"567",6194,"6194_432_26","cold",26,0,"M","432-1",NA,NA,NA,NA
"568",6196,"6196_408_26","cold",26,1,"I","408-1","8/9/18 13:02","18",10,"180"
"569",6197,"6197_449_26","cold",26,0,"M","449-1","8/9/18 13:03","15.9",10,"159"
"570",6198,"6198_428_26","cold",26,1,"I","428-1","4/4/18 13:58","2.75",35,"96.25"
"571",6199,"6199_445_26","cold",26,1,"I","445-1","8/9/18 13:03","Out of range",10,"#VALUE!"
"572",6200,"6200_416_26","cold",26,3,"M","416-1",NA,NA,NA,NA
"573",6203,"6203_425_26","cold",26,0,"M","425-1",NA,NA,NA,NA
"574",6204,"6204_448_26","cold",26,3,"M","448-1",NA,NA,NA,NA
"575",6207,"6207_412_26","cold",26,1,"I","412-1","4/23/18 18:02","5",35,"175"
"576",6208,"6208_435_26","cold",26,1,"I","435-1","4/23/18 18:02","0.92",35,"32.2"
"577",6209,"6209_444_26","cold",26,1,"I","444-1","4/23/18 17:40","8.24",35,"288.4"
"578",6215,"6215_457_26","cold",26,1,"#N/A","457-1","4/3/18 15:08","3.58",35,"125.3"
"579",6278,"6278_413_26","cold",26,1,"I","413-1","8/9/18 13:02","Out of range",10,"#VALUE!"
"580",6279,"6279_411_26","cold",26,1,"I","411-1",NA,NA,NA,NA
"581",6101,"6101_415_26","cold",26,0,"I","415-2",NA,NA,NA,NA
"582",6102,"6102_439_26","cold",26,0,"I","439-2",NA,NA,NA,NA
"583",6103,"6103_409_26","cold",26,1,"I","409-2",NA,NA,NA,NA
"584",6104,"6104_458_26","cold",26,0,"I","458-2",NA,NA,NA,NA
"585",6105,"6105_438_26","cold",26,1,"I","438-2",NA,NA,NA,NA
"586",6106,"6106_450_26","cold",26,0,"M","450-2",NA,NA,NA,NA
"587",6108,"6108_455_26","cold",26,1,"I","455-2",NA,NA,NA,NA
"588",6113,"6113_419_26","cold",26,0,"I","419-2",NA,NA,NA,NA
"589",6116,"6116_417_26","cold",26,1,"I","417-2",NA,NA,NA,NA
"590",6117,"6117_440_26","cold",26,0,"I","440-2",NA,NA,NA,NA
"591",6118,"6118_430_26","cold",26,1,"I","430-2",NA,NA,NA,NA
"592",6119,"6119_461_26","cold",26,0,"I","461-2",NA,NA,NA,NA
