X1,FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube9,tube12,tube26,Avg_startq_day01,Avg_startq_day26,infection_status,temperature_treatment,RNAday9,RNAday12,RNAday26,PICK
146,2017-6246,6246,0,I,116,3,18.1,4W,W,3299,3383,4,anywhere,3,265,.,5,NA,0,warm,7.2,7.24,NA,x
147,2017-6247,6247,0,I,118.4,3,19.4,5W,W,3315,3500,5,anywhere,152,287,.,81,NA,0,warm,2.46,5.52,NA,
34,2017-6134,6134,1,I,115.1,3,14.6,7A,A,3165,3254,7,drain end,77,353,465,200,100,1,ambient,1.71,2.68,NA,
35,2017-6135,6135,1,I,130.8,4,30.1,8A,A,3166,3433,8,drain end,4,327,492,1,110,1,ambient,3.52,2.01,1.08,
44,2017-6144,6144,1,I,128,3,17,7A,A,3225,3507,7,drain end,14,348,477,500,717,1,ambient,4.92,5.76,1.84,x
45,2017-6145,6145,1,I,112.3,3,15.3,9A,A,3232,3323,9,drain end,59,305,505,50,113,1,ambient,2.34,2.44,NA,
59,2017-6159,6159,1,I,117,3,16.4,9A,A,3311,3551,9,drain end,26,313,508,350,248,1,ambient,1.38,2,NA,
84,2017-6184,6184,1,I,121.9,3,17.3,9A,A,3628,3809,9,drain end,148,318,513,275,200,1,ambient,5.08,2.84,1.44,x
92,2017-6192,6192,1,I,132.2,3,21.7,7A,A,3658,3860,7,drain end,178,359,463,300,2000,1,ambient,26,5.68,2.83,x
93,2017-6193,6193,1,I,130.5,3,19,8A,A,3662,3866,8,drain end,174,333,482,350,218,1,ambient,3.36,6.08,5.12,x
114,2017-6214,6214,1,I,129.1,3,18.9,9A,A,3905,3920,9,drain end,107,311,504,132500,4000,1,ambient,2.59,2.05,15.5,
55,2017-6155,6155,1,I,93.1,3,13.6,7A,A,3286,3371,7,drain end,66,358,476,100,867,1,ambient,NA,3.71,NA,
3,2017-6103,6103,1,I,83.5,3,10.8,1C,C,3007,3119,1,drain end,46,215,409,150,200,1,cold,5.04,6.68,8.04,x
98,2017-6198,6198,1,I,129.6,3,18.5,2C,C,3668,3870,2,drain end,154,230,428,5000,250,1,cold,1.32,6.2,2.75,
107,2017-6207,6207,1,I,119.3,3,19,1C,C,3707,3913,1,drain end,128,202,412,200,104,1,cold,5.32,4.68,5,x
108,2017-6208,6208,1,I,126.2,3,19.1,2C,C,3710,3723,2,drain end,106,229,435,150000,1000,1,cold,3.1,2.12,0.92,
109,2017-6209,6209,1,I,126.8,3,20,3C,C,3714,3716,3,drain end,125,251,444,550,200,1,cold,5.88,4.8,8.24,x
115,2017-6215,6215,1,I,.,.,.,3C,C,3423,3516,3,drain end,23,253,457,300,300,1,cold,1.16,0.84,3.58,x
29,2017-6129,6129,1,I,114.1,3,16.8,5W,W,3129,3137,5,drain end,86,299,403,3500,8000,1,warm,3.09,NA,2.64,
119,2017-6219,6219,1,I,125.1,3,18.7,4W,W,3043,3135,4,anywhere,116,276,.,650,NA,1,warm,4.2,4.2,NA,x
120,2017-6220,6220,1,I,82,3,6.7,5W,W,3047,3278,5,anywhere,162,293,.,283,NA,1,warm,2.88,8.52,NA,x
121,2017-6221,6221,1,I,113.2,3,15.7,6W,W,3051,3535,6,anywhere,16,380,.,150,NA,1,warm,10.2,3.03,NA,x
124,2017-6224,6224,1,I,122,3,17.1,4W,W,3083,3429,4,drain end,74,277,.,55,NA,1,warm,4.6,9.32,NA,x
125,2017-6225,6225,1,I,118.2,3,15.2,5W,W,3084,3377,5,drain end,92,298,.,150000,NA,1,warm,6.56,2.1,NA,
127,2017-6227,6227,1,I,116.7,3,17,6W,W,3086,3155,6,drain end,83,366,.,60,NA,1,warm,3.44,2.41,NA,
110,2017-6210,6210,1,I,127.7,3,19,4W,W,3718,3914,4,anywhere,120,274,401,4750,3500,1,warm,NA,2.44,2.18,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
