,year.FRP,FRP,Uniq_ID,sample_day,infection_status,maturity,Holding_Tank,Low_Tag,High_Tag,sample,temp_trtmnt,treatment_tank,where,tube_number,Comments,death,comments,CW,SC,CH,Test_Date.x,Original_sample_conc_ng.ul.x,volume_ul,tyield_ng,RNA_iso_no_Qubit,Test_Date.y,Qubit_tube_conc_ng.ul,Original_sample_conc_ng.ul.y,volume_ul_sam,tyield_ng_sam,lyophilizer
27,2017-6109,6109,6109_480_26,26,0,I,7A,3034,3217,NA,ambient,7,,480,,,,128.8,3,18.9,NA,NA,35,#VALUE!,,8/9/18 13:05,34.3,6.86,10,68.6,
28,2017-6110,6110,6110_135_9,9,0,I,2C,3049,3337,NA,ambient,8,drain end,135,,,,123.4,0,19.2,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
29,2017-6110,6110,6110_331_12,12,0,I,8A,3049,3337,NA,ambient,8,,331,,,,123.4,0,19.2,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
30,2017-6110,6110,6110_488_26,26,0,I,8A,3049,3337,NA,ambient,8,,488,,,,123.4,0,19.2,NA,NA,35,#VALUE!,,8/9/18 13:05,48.7,9.74,10,97.4,
31,2017-6111,6111,6111_90_9,9,1,I,7A,3052,3115,NA,ambient,7,drain end,90,,,,116.8,3,16,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
32,2017-6111,6111,6111_356_12,12,1,I,7A,3052,3115,NA,ambient,7,,356,,,,116.8,3,16,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
33,2017-6111,6111,6111_468_26,26,1,I,7A,3052,3115,NA,ambient,7,,468,,,,116.8,3,16,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,y
34,2017-6112,6112,6112_28_9,9,0,I,8A,3053,3116,NA,ambient,9,drain end,28,,,,115.9,4,17.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
35,2017-6112,6112,6112_317_12,12,0,I,9A,3053,3116,NA,ambient,9,,317,,,,115.9,4,17.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
36,2017-6112,6112,6112_499_26,26,0,I,9A,3053,3116,NA,ambient,9,,499,,,,115.9,4,17.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,y
37,2017-6113,6113,6113_78_9,9,0,I,7A,3062,3121,NA,cold,1,drain end,78,,,,126.5,3,19.1,4/24/18 14:51,2.19,35,76.65,,NA,NA,NA,10,#VALUE!,
38,2017-6113,6113,6113_214_12,12,0,I,1C,3062,3121,NA,cold,1,,214,,,,126.5,3,19.1,4/24/18 14:51,3.55,35,124.25,,NA,NA,NA,10,#VALUE!,
39,2017-6113,6113,6113_419_26,26,0,I,1C,3062,3121,NA,cold,1,,419,,,,126.5,3,19.1,4/24/18 14:51,5.64,35,197.4,,NA,NA,NA,10,#VALUE!,
40,2017-6114,6114,6114_142_9,9,1,I,2C,3067,3346,NA,ambient,8,drain end,142,,,,122.2,3,18.4,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
41,2017-6114,6114,6114_326_12,12,1,I,8A,3067,3346,NA,ambient,8,,326,,,,122.2,3,18.4,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
42,2017-6114,6114,6114_484_26,26,1,I,8A,3067,3346,NA,ambient,8,,484,,,,122.2,3,18.4,NA,NA,35,#VALUE!,,8/9/18 13:05,45.6,9.12,10,91.2,
43,2017-6115,6115,6115_33_9,9,1,I,9A,3068,3519,NA,ambient,9,drain end,33,,,,110.2,3,10.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
44,2017-6115,6115,6115_307_12,12,1,I,9A,3068,3519,NA,ambient,9,,307,#1,replacement tube,,110.2,3,10.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
45,2017-6115,6115,6115_514_26,26,1,I,9A,3068,3519,NA,ambient,9,,514,,,,110.2,3,10.1,NA,NA,35,#VALUE!,,8/9/18 13:06,Out of range,Out of range,10,#VALUE!,
46,2017-6116,6116,6116_76_9,9,1,I,7A,3072,3560,NA,cold,1,drain end,76,,,,120.1,3,17.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
47,2017-6116,6116,6116_212_12,12,1,I,1C,3072,3560,NA,cold,1,,212,,,,120.1,3,17.1,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
48,2017-6116,6116,6116_417_26,26,1,I,1C,3072,3560,NA,cold,1,,417,,,,120.1,3,17.1,NA,NA,35,#VALUE!,,8/9/18 13:02,86.4,17.3,10,173,
49,2017-6117,6117,6117_42_9,9,0,I,9A,3074,3282,NA,cold,2,drain end,42,,,,116.8,3,19.3,4/24/18 14:51,0,35,0,,NA,NA,NA,10,#VALUE!,
50,2017-6117,6117,6117_225_12,12,0,I,2C,3074,3282,NA,cold,2,,225,,,,116.8,3,19.3,4/24/18 14:51,1.76,35,61.6,,NA,NA,NA,10,#VALUE!,
51,2017-6117,6117,6117_440_26,26,0,I,2C,3074,3282,NA,cold,2,,440,,,,116.8,3,19.3,4/24/18 14:51,1.77,35,61.95,,NA,NA,NA,10,#VALUE!,
52,2017-6118,6118,6118_87_9,9,1,I,7A,3077,3447,NA,cold,2,drain end,87,,,,124.1,3,17,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
53,2017-6118,6118,6118_240_12,12,1,I,2C,3077,3447,NA,cold,2,,240,,,,124.1,3,17,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
54,2017-6118,6118,6118_430_26,26,1,I,2C,3077,3447,NA,cold,2,,430,,,,124.1,3,17,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
55,2017-6119,6119,6119_153_9,9,0,I,1C,3081,3210,NA,cold,3,drain end,153,,,,97.7,3,13.4,4/10/18 17:22,2.02,35,70.7,,NA,NA,NA,10,#VALUE!,
56,2017-6119,6119,6119_258_12,12,0,I,3C,3081,3210,NA,cold,3,,258,,,,97.7,3,13.4,4/10/18 17:22,3.86,35,135.1,,NA,NA,NA,10,#VALUE!,
57,2017-6119,6119,6119_461_26,26,0,I,3C,3081,3210,NA,cold,3,,461,,,,97.7,3,13.4,4/10/18 17:23,0,35,0,,NA,NA,NA,10,#VALUE!,
58,2017-6120,6120,6120_165_9,9,1,I,1C,3082,3546,NA,cold,3,drain end,165,,,,90.8,3,12.3,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
59,2017-6120,6120,6120_248_12,12,1,I,3C,3082,3546,NA,cold,3,,248,,,,90.8,3,12.3,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
60,2017-6120,6120,6120_459_26,26,1,I,3C,3082,3546,NA,cold,3,,459,,,,90.8,3,12.3,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
61,2017-6121,6121,6121_15_9,9,1,I,8A,3099,3579,NA,ambient,7,drain end,15,,,,114.6,3,14.2,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
62,2017-6121,6121,6121_352_12,12,1,I,7A,3099,3579,NA,ambient,7,,352,,,,114.6,3,14.2,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
63,2017-6121,6121,6121_472_26,26,1,I,7A,3099,3579,NA,ambient,7,,472,,,,114.6,3,14.2,NA,NA,35,#VALUE!,,8/9/18 13:04,Out of range,Out of range,10,#VALUE!,
64,2017-6122,6122,6122_133_9,9,1,I,3C,3100,3528,NA,ambient,8,drain end,133,,,,100,3,14.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
65,2017-6122,6122,6122_325_12,12,1,I,8A,3100,3528,NA,ambient,8,,325,,,,100,3,14.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
66,2017-6122,6122,6122_489_26,26,1,I,8A,3100,3528,NA,ambient,8,,489,,,,100,3,14.5,NA,NA,35,#VALUE!,,8/9/18 13:05,Out of range,Out of range,10,#VALUE!,
67,2017-6123,6123,6123_82_9,9,0,I,7A,3101,3463,NA,ambient,7,drain end,82,blood very clear,,,112.4,3,17.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
68,2017-6123,6123,6123_345_12,12,0,I,7A,3101,3463,NA,ambient,7,,345,,,,112.4,3,17.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
69,2017-6123,6123,6123_473_26,26,0,I,7A,3101,3463,NA,ambient,7,,473,,,,112.4,3,17.5,NA,NA,35,#VALUE!,,8/9/18 13:04,24,4.8,10,48,
70,2017-6124,6124,6124_75_9,9,0,M,7A,3103,3158,NA,ambient,7,drain end,75,,,,120.5,3,23,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
71,2017-6124,6124,6124_347_12,12,0,M,7A,3103,3158,NA,ambient,7,,347,,,,120.5,3,23,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
72,2017-6124,6124,6124_464_26,26,0,M,7A,3103,3158,NA,ambient,7,,464,,,,120.5,3,23,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,y
73,2017-6125,6125,6125_144_9,9,1,I,2C,3105,3146,NA,ambient,9,drain end,144,,,,119.4,3,18.4,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
74,2017-6125,6125,6125_303_12,12,1,I,9A,3105,3146,NA,ambient,9,,303,,,,119.4,3,18.4,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
75,2017-6125,6125,6125_503_26,26,1,I,9A,3105,3146,NA,ambient,9,,503,,,,119.4,3,18.4,NA,NA,35,#VALUE!,y,NA,NA,NA,10,#VALUE!,
76,2017-6126,6126,6126_79_9,9,1,I,7A,3108,3501,NA,cold,1,drain end,79,,,,109,3,14.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
77,2017-6126,6126,6126_201_12,12,1,I,1C,3108,3501,NA,cold,1,,201,,,,109,3,14.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
78,2017-6126,6126,6126_418_26,26,1,I,1C,3108,3501,NA,cold,1,,418,,,,109,3,14.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
79,2017-6127,6127,6127_37_9,9,0,I,9A,3110,3255,NA,ambient,8,drain end,37,,,,108.4,3,19.3,5/1/18 17:58,3.38,35,118.3,,NA,NA,NA,10,#VALUE!,
80,2017-6127,6127,6127_335_12,12,0,I,8A,3110,3255,NA,ambient,8,,335,,,,108.4,3,19.3,5/2/18 13:08,3.46,35,121.1,,NA,NA,NA,10,#VALUE!,
81,2017-6127,6127,6127_497_26,26,0,I,8A,3110,3255,NA,ambient,8,,497,,,,108.4,3,19.3,5/2/18 13:08,4.36,35,152.6,,NA,NA,NA,10,#VALUE!,
82,2017-6128,6128,6128_112_9,9,1,I,3C,3113,3179,NA,cold,2,drain end,112,,,,121,3,18.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
83,2017-6128,6128,6128_231_12,12,1,I,2C,3113,3179,NA,cold,2,,231,,,,121,3,18.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
84,2017-6128,6128,6128_441_26,26,1,I,2C,3113,3179,NA,cold,2,,441,,,,121,3,18.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
85,2017-6129,6129,6129_86_9,9,1,I,7A,3129,3137,NA,warm,5,drain end,86,,,,114.1,3,16.8,4/20/18 14:18,3.09,35,108.15,,NA,NA,NA,10,#VALUE!,
86,2017-6129,6129,6129_299_12,12,1,I,5W,3129,3137,NA,warm,5,,299,,,,114.1,3,16.8,4/20/18 14:30,0,35,0,,NA,NA,NA,10,#VALUE!,
87,2017-6129,6129,6129_403_26,26,1,I,5W,3129,3137,NA,warm,5,,403,,,,114.1,3,16.8,4/20/18 14:30,2.64,35,92.4,,NA,NA,NA,10,#VALUE!,
88,2017-6130,6130,6130_47_9,9,0,I,9A,3134,3208,NA,ambient,8,drain end,47,,,,111.4,3,11.8,4/9/18 13:18,7.32,35,256.2,,NA,NA,NA,10,#VALUE!,
89,2017-6130,6130,6130_339_12,12,0,I,8A,3134,3208,NA,ambient,8,,339,,,,111.4,3,11.8,4/9/18 13:19,0.88,35,30.8,,NA,NA,NA,10,#VALUE!,
90,2017-6130,6130,6130_498_26,26,0,I,8A,3134,3208,NA,ambient,8,,498,,,,111.4,3,11.8,3/27/18 15:08,1.8,35,63,,NA,NA,NA,10,#VALUE!,
91,2017-6131,6131,6131_38_9,9,0,I,9A,3147,3563,NA,ambient,9,drain end,38,,,,107.4,3,19.1,4/9/18 13:19,0,35,0,,NA,NA,NA,10,#VALUE!,
92,2017-6131,6131,6131_314_12,12,0,I,9A,3147,3563,NA,ambient,9,,314,,,,107.4,3,19.1,4/9/18 13:19,1.42,35,49.7,,NA,NA,NA,10,#VALUE!,
93,2017-6131,6131,6131_507_26,26,0,I,9A,3147,3563,NA,ambient,9,,507,,,,107.4,3,19.1,4/9/18 13:20,0.88,35,30.8,,NA,NA,NA,10,#VALUE!,
94,2017-6132,6132,6132_88_9,9,0,I,7A,3149,3436,NA,cold,1,drain end,88,,,,133.7,3,22.1,4/10/18 14:47,2.81,35,98.35,,NA,NA,NA,10,#VALUE!,
95,2017-6132,6132,6132_205_12,12,0,I,1C,3149,3436,NA,cold,1,,205,,,,133.7,3,22.1,4/10/18 17:23,1.64,35,57.4,,NA,NA,NA,10,#VALUE!,
96,2017-6132,6132,6132_406_26,26,0,I,1C,3149,3436,NA,cold,1,,406,,,,133.7,3,22.1,4/10/18 17:23,0,35,0,,NA,NA,NA,10,#VALUE!,
97,2017-6133,6133,6133_36_9,9,0,I,9A,3160,3273,NA,cold,2,drain end,36,,,,103.6,4,11.8,4/10/18 14:47,4.16,35,145.6,,NA,NA,NA,10,#VALUE!,
98,2017-6133,6133,6133_223_12,12,0,I,2C,3160,3273,NA,cold,2,,223,,,,103.6,4,11.8,4/10/18 17:23,8.24,35,288.4,,NA,NA,NA,10,#VALUE!,
99,2017-6133,6133,6133_434_26,26,0,I,2C,3160,3273,NA,cold,2,,434,,,,103.6,4,11.8,4/10/18 17:23,3.9,35,136.5,,NA,NA,NA,10,#VALUE!,
100,2017-6134,6134,6134_77_9,9,1,I,7A,3165,3254,NA,ambient,7,drain end,77,,,,115.1,3,14.6,3/26/18 13:25,1.71,35,59.85,,NA,NA,NA,10,#VALUE!,
101,2017-6134,6134,6134_353_12,12,1,I,7A,3165,3254,NA,ambient,7,,353,,,,115.1,3,14.6,4/6/18 13:39,2.68,35,93.8,,NA,NA,NA,10,#VALUE!,
102,2017-6134,6134,6134_465_26,26,1,I,7A,3165,3254,NA,ambient,7,,465,,,,115.1,3,14.6,3/26/18 13:25,0,35,0,,NA,NA,NA,10,#VALUE!,
103,2017-6135,6135,6135_4_9,9,1,M,8A,3166,3433,NA,ambient,8,drain end,4,,,,130.8,4,30.1,4/6/18 13:38,3.52,35,123.2,,NA,NA,NA,10,#VALUE!,
104,2017-6135,6135,6135_327_12,12,1,M,8A,3166,3433,NA,ambient,8,,327,,,,130.8,4,30.1,4/6/18 13:38,2.01,35,70.35,,NA,NA,NA,10,#VALUE!,
105,2017-6135,6135,6135_492_26,26,1,M,8A,3166,3433,NA,ambient,8,,492,,,,130.8,4,30.1,4/6/18 13:39,1.08,35,37.8,,NA,NA,NA,10,#VALUE!,
106,2017-6136,6136,6136_91_9,9,0,M,7A,3171,3557,NA,ambient,8,drain end,91,,,,113.6,3,21.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
107,2017-6136,6136,6136_321_12,12,0,M,8A,3171,3557,NA,ambient,8,,321,,,,113.6,3,21.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
108,2017-6136,6136,6136_491_26,26,0,M,8A,3171,3557,NA,ambient,8,,491,,,,113.6,3,21.6,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
109,2017-6137,6137,6137_81_9,9,1,I,7A,3172,3374,NA,ambient,9,drain end,81,,,,96.9,3,13,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
110,2017-6137,6137,6137_301_12,12,1,I,9A,3172,3374,NA,ambient,9,,301,,,,96.9,3,13,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
111,2017-6137,6137,6137_500_26,26,1,I,9A,3172,3374,NA,ambient,9,,500,,,,96.9,3,13,NA,NA,35,#VALUE!,,8/9/18 13:06,Out of range,Out of range,10,#VALUE!,
112,2017-6138,6138,6138_80_9,9,0,I,7A,3173,3495,NA,cold,3,drain end,80,,,,118.8,3,18,4/24/18 14:32,2.66,35,93.1,,NA,NA,NA,10,#VALUE!,
113,2017-6138,6138,6138_247_12,12,0,I,3C,3173,3495,NA,cold,3,,247,,,,118.8,3,18,4/24/18 14:32,6.44,35,225.4,,NA,NA,NA,10,#VALUE!,
114,2017-6138,6138,6138_453_26,26,0,I,3C,3173,3495,NA,cold,3,,453,,,,118.8,3,18,4/24/18 14:50,6.16,35,215.6,,NA,NA,NA,10,#VALUE!,
115,2017-6139,6139,6139_104_9,9,3,M,3C,3181,3252,NA,ambient,8,drain end,104,,,,128,3,28.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
116,2017-6139,6139,6139_332_12,12,3,M,8A,3181,3252,NA,ambient,8,,332,,,,128,3,28.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
117,2017-6139,6139,6139_493_26,26,3,M,8A,3181,3252,NA,ambient,8,,493,,,,128,3,28.5,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
118,2017-6140,6140,6140_8_9,9,1,I,8A,3183,3187,NA,cold,2,drain end,8,,,,110,3,15,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
119,2017-6140,6140,6140_237_12,12,1,I,2C,3183,3187,NA,cold,2,,237,,,,110,3,15,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
120,2017-6140,6140,6140_429_26,26,1,I,2C,3183,3187,NA,cold,2,,429,,,,110,3,15,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
121,2017-6141,6141,6141_123_9,9,1,I,3C,3200,3402,NA,cold,3,drain end,123,,,,122.9,3,18.9,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
122,2017-6141,6141,6141_249_12,12,1,I,3C,3200,3402,NA,cold,3,,249,,,,122.9,3,18.9,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
123,2017-6141,6141,6141_451_26,26,1,I,3C,3200,3402,NA,cold,3,,451,,,,122.9,3,18.9,NA,NA,35,#VALUE!,y,NA,NA,NA,10,#VALUE!,
124,2017-6142,6142,6142_65_9,9,0,I,7A,3203,3230,NA,ambient,7,drain end,65,,,,96.5,3,14.3,3/27/18 15:08,0,35,0,,NA,NA,NA,10,#VALUE!,
125,2017-6142,6142,6142_346_12,12,0,I,7A,3203,3230,NA,ambient,7,,346,,,,96.5,3,14.3,4/9/18 13:19,1.8,35,63,,NA,NA,NA,10,#VALUE!,
126,2017-6142,6142,6142_474_26,26,0,I,7A,3203,3230,NA,ambient,7,,474,,,,96.5,3,14.3,4/9/18 13:20,0,35,0,,NA,NA,NA,10,#VALUE!,
127,2017-6143,6143,6143_10_9,9,0,M,8A,3216,3451,NA,ambient,7,drain end,10,,,,118.8,4,22.3,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
128,2017-6143,6143,6143_343_12,12,0,M,7A,3216,3451,NA,ambient,7,,343,,,,118.8,4,22.3,NA,NA,35,#VALUE!,,NA,NA,NA,10,#VALUE!,
129,2017-6143,6143,6143_479_26,26,0,M,7A,3216,3451,NA,ambient,7,,479,,,,118.8,4,22.3,NA,NA,35,#VALUE!,,8/9/18 13:04,Out of range,Out of range,10,#VALUE!,
130,2017-6144,6144,6144_14_9,9,1,I,8A,3225,3507,NA,ambient,7,drain end,14,,,,128,3,17,4/6/18 13:38,4.92,35,172.2,,NA,NA,NA,10,#VALUE!,
131,2017-6144,6144,6144_348_12,12,1,I,7A,3225,3507,NA,ambient,7,,348,,,,128,3,17,4/6/18 13:39,5.76,35,201.6,,NA,NA,NA,10,#VALUE!,
132,2017-6144,6144,6144_477_26,26,1,I,7A,3225,3507,NA,ambient,7,,477,,,,128,3,17,4/6/18 13:39,1.84,35,64.4,,NA,NA,NA,10,#VALUE!,
133,2017-6145,6145,6145_59_9,9,1,I,7A,3232,3323,NA,ambient,9,drain end,59,,,,112.3,3,15.3,4/6/18 14:03,2.34,35,81.9,,NA,NA,NA,10,#VALUE!,
134,2017-6145,6145,6145_305_12,12,1,I,9A,3232,3323,NA,ambient,9,,305,#4,replacement tube,,112.3,3,15.3,4/6/18 14:03,2.44,35,85.4,,NA,NA,NA,10,#VALUE!,
135,2017-6145,6145,6145_505_26,26,1,I,9A,3232,3323,NA,ambient,9,,505,,,,112.3,3,15.3,4/6/18 14:04,0,35,0,,NA,NA,NA,10,#VALUE!,
136,2017-6146,6146,6146_12_9,9,0,I,8A,3237,3399,NA,ambient,9,drain end,12,,,,106.1,4,19,4/9/18 13:37,0,35,0,,NA,NA,NA,10,#VALUE!,
137,2017-6146,6146,6146_309_12,12,0,I,9A,3237,3399,NA,ambient,9,,309,,,,106.1,4,19,4/9/18 13:37,4,35,140,,NA,NA,NA,10,#VALUE!,
138,2017-6146,6146,6146_502_26,26,0,I,9A,3237,3399,NA,ambient,9,,502,,,,106.1,4,19,4/9/18 13:38,2.18,35,76.3,,NA,NA,NA,10,#VALUE!,
139,2017-6147,6147,6147_30_9,9,0,I,8A,3241,3309,NA,cold,1,drain end,30,,,,119.5,4,18.3,4/29/18 17:58,0,35,0,,NA,NA,NA,10,#VALUE!,
140,2017-6147,6147,6147_204_12,12,0,I,1C,3241,3309,NA,cold,1,,204,,,,119.5,4,18.3,4/29/18 17:58,3.6,35,126,,NA,NA,NA,10,#VALUE!,
141,2017-6147,6147,6147_421_26,26,0,I,1C,3241,3309,NA,cold,1,,421,,,,119.5,4,18.3,4/29/18 17:59,3.64,35,127.4,,NA,NA,NA,10,#VALUE!,
142,2017-6148,6148,6148_56_9,9,1,I,7A,3251,3422,NA,cold,1,drain end,56,,,,116.1,3,17,2/28/18 17:59,0.896,35,31.36,,NA,NA,NA,10,#VALUE!,
