year.FRP,FRP,Uniq_ID,sample_day,infection_status.x,maturity,Holding_Tank,Low_Tag,High_Tag,sample,treatment_tank.x,temp_trtmnt,where,tube_number.x,Comments,death,comments.x,CW,SC,CH,Test_Date,Original_sample_conc_ng/ul,volume_ul,total_yield_ng,comments.y
2017-6133,6133,6133_223_12,12,0,I,2C,3160,3273,NA,2,cold,,223,,,,103.6,4,11.8,4/10/18 17:23,8.24,,,
2017-6133,6133,6133_434_26,26,0,I,2C,3160,3273,NA,2,cold,,434,,,,103.6,4,11.8,4/10/18 17:23,3.9,,,
2017-6134,6134,6134_77_9,9,1,I,7A,3165,3254,NA,7,ambient,drain end,77,,,,115.1,3,14.6,3/26/18 13:25,1.71,,,
2017-6134,6134,6134_353_12,12,1,I,7A,3165,3254,NA,7,ambient,,353,,,,115.1,3,14.6,4/6/18 13:39,2.68,,,
2017-6134,6134,6134_465_26,26,1,I,7A,3165,3254,NA,7,ambient,,465,,,,115.1,3,14.6,3/26/18 13:25,0,,,
2017-6135,6135,6135_4_9,9,1,M,8A,3166,3433,NA,8,ambient,drain end,4,,,,130.8,4,30.1,4/6/18 13:38,3.52,,,
2017-6135,6135,6135_327_12,12,1,M,8A,3166,3433,NA,8,ambient,,327,,,,130.8,4,30.1,4/6/18 13:38,2.01,,,
2017-6135,6135,6135_492_26,26,1,M,8A,3166,3433,NA,8,ambient,,492,,,,130.8,4,30.1,4/6/18 13:39,1.08,,,
2017-6136,6136,6136_91_9,9,0,M,7A,3171,3557,NA,8,ambient,drain end,91,,,,113.6,3,21.6,NA,NA,,,NA
2017-6136,6136,6136_321_12,12,0,M,8A,3171,3557,NA,8,ambient,,321,,,,113.6,3,21.6,NA,NA,,,NA
2017-6136,6136,6136_491_26,26,0,M,8A,3171,3557,NA,8,ambient,,491,,,,113.6,3,21.6,NA,NA,,,NA
2017-6137,6137,6137_81_9,9,1,I,7A,3172,3374,NA,9,ambient,drain end,81,,,,96.9,3,13,NA,NA,,,NA
2017-6137,6137,6137_301_12,12,1,I,9A,3172,3374,NA,9,ambient,,301,,,,96.9,3,13,NA,NA,,,NA
2017-6137,6137,6137_500_26,26,1,I,9A,3172,3374,NA,9,ambient,,500,,,,96.9,3,13,NA,NA,,,NA
2017-6138,6138,6138_80_9,9,0,I,7A,3173,3495,NA,3,cold,drain end,80,,,,118.8,3,18,4/24/18 14:32,2.66,,,
2017-6138,6138,6138_247_12,12,0,I,3C,3173,3495,NA,3,cold,,247,,,,118.8,3,18,4/24/18 14:32,6.44,,,
2017-6138,6138,6138_453_26,26,0,I,3C,3173,3495,NA,3,cold,,453,,,,118.8,3,18,4/24/18 14:50,6.16,,,
2017-6139,6139,6139_104_9,9,3,M,3C,3181,3252,NA,8,ambient,drain end,104,,,,128,3,28.5,NA,NA,,,NA
2017-6139,6139,6139_332_12,12,3,M,8A,3181,3252,NA,8,ambient,,332,,,,128,3,28.5,NA,NA,,,NA
2017-6139,6139,6139_493_26,26,3,M,8A,3181,3252,NA,8,ambient,,493,,,,128,3,28.5,NA,NA,,,NA
2017-6140,6140,6140_8_9,9,1,I,8A,3183,3187,NA,2,cold,drain end,8,,,,110,3,15,NA,NA,,,NA
2017-6140,6140,6140_237_12,12,1,I,2C,3183,3187,NA,2,cold,,237,,,,110,3,15,NA,NA,,,NA
2017-6140,6140,6140_429_26,26,1,I,2C,3183,3187,NA,2,cold,,429,,,,110,3,15,NA,NA,,,NA
2017-6141,6141,6141_123_9,9,1,I,3C,3200,3402,NA,3,cold,drain end,123,,,,122.9,3,18.9,NA,NA,,,NA
2017-6141,6141,6141_249_12,12,1,I,3C,3200,3402,NA,3,cold,,249,,,,122.9,3,18.9,NA,NA,,,NA
2017-6141,6141,6141_451_26,26,1,I,3C,3200,3402,NA,3,cold,,451,,,,122.9,3,18.9,NA,NA,,,NA
2017-6142,6142,6142_65_9,9,0,I,7A,3203,3230,NA,7,ambient,drain end,65,,,,96.5,3,14.3,3/27/18 15:08,0,,,
2017-6142,6142,6142_346_12,12,0,I,7A,3203,3230,NA,7,ambient,,346,,,,96.5,3,14.3,4/9/18 13:19,1.8,,,
2017-6142,6142,6142_474_26,26,0,I,7A,3203,3230,NA,7,ambient,,474,,,,96.5,3,14.3,4/9/18 13:20,0,,,
2017-6143,6143,6143_10_9,9,0,M,8A,3216,3451,NA,7,ambient,drain end,10,,,,118.8,4,22.3,NA,NA,,,NA
2017-6143,6143,6143_343_12,12,0,M,7A,3216,3451,NA,7,ambient,,343,,,,118.8,4,22.3,NA,NA,,,NA
2017-6143,6143,6143_479_26,26,0,M,7A,3216,3451,NA,7,ambient,,479,,,,118.8,4,22.3,NA,NA,,,NA
2017-6144,6144,6144_14_9,9,1,I,8A,3225,3507,NA,7,ambient,drain end,14,,,,128,3,17,4/6/18 13:38,4.92,,,
2017-6144,6144,6144_348_12,12,1,I,7A,3225,3507,NA,7,ambient,,348,,,,128,3,17,4/6/18 13:39,5.76,,,
2017-6144,6144,6144_477_26,26,1,I,7A,3225,3507,NA,7,ambient,,477,,,,128,3,17,4/6/18 13:39,1.84,,,
2017-6145,6145,6145_59_9,9,1,I,7A,3232,3323,NA,9,ambient,drain end,59,,,,112.3,3,15.3,4/6/18 14:03,2.34,,,
2017-6145,6145,6145_305_12,12,1,I,9A,3232,3323,NA,9,ambient,,305,#4,replacement tube,,112.3,3,15.3,4/6/18 14:03,2.44,,,#4
2017-6145,6145,6145_505_26,26,1,I,9A,3232,3323,NA,9,ambient,,505,,,,112.3,3,15.3,4/6/18 14:04,0,,,
2017-6146,6146,6146_12_9,9,0,I,8A,3237,3399,NA,9,ambient,drain end,12,,,,106.1,4,19,4/9/18 13:37,0,,,
2017-6146,6146,6146_309_12,12,0,I,9A,3237,3399,NA,9,ambient,,309,,,,106.1,4,19,4/9/18 13:37,4,,,
2017-6146,6146,6146_502_26,26,0,I,9A,3237,3399,NA,9,ambient,,502,,,,106.1,4,19,4/9/18 13:38,2.18,,,
2017-6147,6147,6147_30_9,9,0,I,8A,3241,3309,NA,1,cold,drain end,30,,,,119.5,4,18.3,4/29/18 17:58,0,,,replace crab
2017-6147,6147,6147_204_12,12,0,I,1C,3241,3309,NA,1,cold,,204,,,,119.5,4,18.3,4/29/18 17:58,3.6,,,
2017-6147,6147,6147_421_26,26,0,I,1C,3241,3309,NA,1,cold,,421,,,,119.5,4,18.3,4/29/18 17:59,3.64,,,
2017-6148,6148,6148_56_9,9,1,I,7A,3251,3422,NA,1,cold,drain end,56,,,,116.1,3,17,NA,NA,,,NA
2017-6148,6148,6148_213_12,12,1,I,1C,3251,3422,NA,1,cold,,213,,,,116.1,3,17,NA,NA,,,NA
2017-6148,6148,6148_405_26,26,1,I,1C,3251,3422,NA,1,cold,,405,,,,116.1,3,17,NA,NA,,,NA
2017-6149,6149,6149_64_9,9,1,I,7A,3253,3578,NA,2,cold,drain end,64,,,,115.4,3,16.3,NA,NA,,,NA
2017-6149,6149,6149_226_12,12,1,I,2C,3253,3578,NA,2,cold,,226,,,,115.4,3,16.3,NA,NA,,,NA
2017-6149,6149,6149_437_26,26,1,I,2C,3253,3578,NA,2,cold,,437,,,,115.4,3,16.3,NA,NA,,,NA
2017-6150,6150,6150_119_9,9,0,M,3C,3257,3261,NA,9,ambient,drain end,119,,,,130,3,27.8,NA,NA,,,NA
2017-6150,6150,6150_312_12,12,0,M,9A,3257,3261,NA,9,ambient,,312,,,,130,3,27.8,NA,NA,,,NA
2017-6150,6150,6150_511_26,26,0,M,9A,3257,3261,NA,9,ambient,,511,,,,130,3,27.8,NA,NA,,,NA
2017-6151,6151,6151_19_9,9,1,I,8A,3265,3574,NA,3,cold,drain end,19,,,,115.7,3,15.6,NA,NA,,,NA
2017-6151,6151,6151_243_12,12,1,I,3C,3265,3574,NA,3,cold,,243,,,,115.7,3,15.6,NA,NA,,,NA
2017-6151,6151,6151_454_26,26,1,I,3C,3265,3574,NA,3,cold,,454,,,,115.7,3,15.6,NA,NA,,,NA
2017-6152,6152,6152_32_9,9,0,M,9A,3270,3275,NA,7,ambient,drain end,32,,,,113,3,22.5,NA,NA,,,NA
2017-6152,6152,6152_344_12,12,0,M,7A,3270,3275,NA,7,ambient,,344,,,,113,3,22.5,NA,NA,,,NA
2017-6152,6152,6152_467_26,26,0,M,7A,3270,3275,NA,7,ambient,,467,,,,113,3,22.5,NA,NA,,,NA
2017-6153,6153,6153_11_9,9,0,M,8A,3281,3308,NA,1,cold,drain end,11,,,,113.5,4,22.1,NA,NA,,,NA
2017-6153,6153,6153_209_12,12,0,M,1C,3281,3308,NA,1,cold,,209,,,,113.5,4,22.1,NA,NA,,,NA
2017-6153,6153,6153_404_26,26,0,M,1C,3281,3308,NA,1,cold,,404,,,,113.5,4,22.1,NA,NA,,,NA
2017-6154,6154,6154_68_9,9,0,I,7A,3284,3570,NA,2,cold,drain end,68,,,,124.3,3,19.3,4/29/18 17:58,2.1,,,
2017-6154,6154,6154_232_12,12,0,I,2C,3284,3570,NA,2,cold,,232,,,,124.3,3,19.3,4/29/18 17:58,2.38,,,
2017-6154,6154,6154_436_26,26,0,I,2C,3284,3570,NA,2,cold,,436,,,,124.3,3,19.3,4/29/18 17:59,5.04,,,
2017-6155,6155,6155_66_9,9,1,I,7A,3286,3371,NA,7,ambient,drain end,66,,,,93.1,3,13.6,4/6/18 14:03,0,,,
2017-6155,6155,6155_358_12,12,1,I,7A,3286,3371,NA,7,ambient,,358,,,,93.1,3,13.6,4/6/18 14:03,3.71,,,
2017-6155,6155,6155_476_26,26,1,I,7A,3286,3371,NA,7,ambient,,476,,,,93.1,3,13.6,4/6/18 14:03,0,,,
2017-6156,6156,6156_24_9,9,0,I,8A,3293,3370,NA,3,cold,drain end,24,,,,120,3,17.1,NA,NA,,,NA
2017-6156,6156,6156_242_12,12,0,I,3C,3293,3370,NA,3,cold,,242,,,,120,3,17.1,NA,NA,,,NA
2017-6156,6156,6156_446_26,26,0,I,3C,3293,3370,NA,3,cold,,446,,,,120,3,17.1,NA,NA,,,NA
2017-6157,6157,6157_169_9,9,0,M,1C,3306,3354,NA,2,cold,drain end,169,,,,122.6,4,25.3,NA,NA,,,NA
2017-6157,6157,6157_224_12,12,0,M,2C,3306,3354,NA,2,cold,,224,,,,122.6,4,25.3,NA,NA,,,NA
2017-6157,6157,6157_423_26,26,0,M,2C,3306,3354,NA,2,cold,,423,,,,122.6,4,25.3,NA,NA,,,NA
2017-6158,6158,6158_101_9,9,1,I,3C,3310,3488,NA,8,ambient,drain end,101,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.",,,124.5,3,18.9,NA,NA,,,NA
2017-6158,6158,6158_324_12,12,1,I,8A,3310,3488,NA,8,ambient,,324,,,,124.5,3,18.9,NA,NA,,,NA
2017-6158,6158,6158_483_26,26,1,I,8A,3310,3488,NA,8,ambient,,483,,,,124.5,3,18.9,NA,NA,,,NA
2017-6159,6159,6159_26_9,9,1,I,8A,3311,3551,NA,9,ambient,drain end,26,,,,117,3,16.4,4/6/18 14:02,1.38,,,
2017-6159,6159,6159_313_12,12,1,I,9A,3311,3551,NA,9,ambient,,313,,,,117,3,16.4,3/26/18 13:35,2,,,
2017-6159,6159,6159_508_26,26,1,I,9A,3311,3551,NA,9,ambient,,508,,,,117,3,16.4,3/26/18 13:35,0,,,
2017-6160,6160,6160_7_9,9,0,M,8A,3317,3545,NA,2,cold,drain end,7,,,,108.5,4,22,NA,NA,,,NA
2017-6160,6160,6160_238_12,12,0,M,2C,3317,3545,NA,2,cold,,238,,,,108.5,4,22,NA,NA,,,NA
2017-6160,6160,6160_426_26,26,0,M,2C,3317,3545,NA,2,cold,,426,,,,108.5,4,22,NA,NA,,,NA
2017-6161,6161,6161_53_9,9,0,M,7A,3326,3536,NA,9,ambient,drain end,53,,,,114.1,4,22.3,NA,NA,,,NA
2017-6161,6161,6161_302_12,12,0,M,9A,3326,3536,NA,9,ambient,,302,,,,114.1,4,22.3,NA,NA,,,NA
2017-6161,6161,6161_512_26,26,0,M,9A,3326,3536,NA,9,ambient,,512,,,,114.1,4,22.3,NA,NA,,,NA
2017-6162,6162,6162_61_9,9,1,I,7A,3328,3510,NA,1,cold,drain end,61,,,,119,3,17,NA,NA,,,NA
2017-6162,6162,6162_220_12,12,1,I,1C,3328,3510,NA,1,cold,,220,,,,119,3,17,NA,NA,,,NA
2017-6162,6162,6162_407_26,26,1,I,1C,3328,3510,NA,1,cold,,407,,,,119,3,17,NA,NA,,,NA
2017-6163,6163,6163_130_9,9,1,I,3C,3330,3409,NA,2,cold,drain end,130,,,,118.5,3,17.1,NA,NA,,,NA
2017-6163,6163,6163_228_12,12,1,I,2C,3330,3409,NA,2,cold,,228,,,,118.5,3,17.1,NA,NA,,,NA
2017-6163,6163,6163_424_26,26,1,I,2C,3330,3409,NA,2,cold,,424,,,,118.5,3,17.1,NA,NA,,,NA
2017-6164,6164,6164_71_9,9,1,I,7A,3351,3390,NA,3,cold,drain end,71,3351/3580,,,86.8,3,10.8,NA,NA,,,NA
2017-6164,6164,6164_257_12,12,1,I,3C,3351,3580,NA,3,cold,,257,,,,86.8,3,10.8,NA,NA,,,NA
2017-6164,6164,6164_460_26,26,1,I,3C,3351,3580,NA,3,cold,,460,,,,86.8,3,10.8,NA,NA,,,NA
2017-6165,6165,6165_55_9,9,0,I,7A,3362,3539,NA,7,ambient,drain end,55,,,,113.2,3,19.5,3/28/18 14:16,1.16,,,
2017-6165,6165,6165_360_12,12,0,I,7A,3362,3539,NA,7,ambient,,360,,,,113.2,3,19.5,4/9/18 13:37,1.55,,,
2017-6165,6165,6165_469_26,26,0,I,7A,3362,3539,NA,7,ambient,,469,,,,113.2,3,19.5,3/28/18 14:17,5.16,,,
2017-6165,6165,6165_469_26,26,0,I,7A,3362,3539,NA,7,ambient,,469,,,,113.2,3,19.5,4/9/18 13:38,5.16,,,
2017-6166,6166,6166_21_9,9,0,I,8A,3378,3534,NA,8,ambient,drain end,21,,,,91.8,3,11.3,4/9/18 13:37,1.72,,,
2017-6166,6166,6166_349_12,12,0,I,8A,3378,3534,NA,8,ambient,,349,,,,91.8,3,11.3,4/9/18 13:38,5.56,,,
