year.FRP,FRP,Uniq_ID,sample_day,infection_status.x,maturity,Holding_Tank,Low_Tag,High_Tag,sample,treatment_tank.x,temp_trtmnt,where,tube_number.x,Comments,death,comments.x,CW,SC,CH,Test_Date,Original_sample_conc_ng/ul,volume_ul,total_yield_ng,comments.y
2017-6101,6101,6101_84_9,9,0,I,7A,3001,3035,NA,1,cold,drain end,84,,,,115.7,3,20.4,NA,NA,,,NA
2017-6101,6101,6101_206_12,12,0,I,1C,3001,3035,NA,1,cold,,206,,,,115.7,3,20.4,NA,NA,,,NA
2017-6101,6101,6101_415_26,26,0,I,1C,3001,3035,NA,1,cold,,415,,,,115.7,3,20.4,NA,NA,,,NA
2017-6102,6102,6102_18_9,9,0,I,8A,3004,3219,NA,2,cold,drain end,18,,,,110.4,4,15.4,NA,NA,,,NA
2017-6102,6102,6102_236_12,12,0,I,2C,3004,3219,NA,2,cold,,236,,,,110.4,4,15.4,NA,NA,,,NA
2017-6102,6102,6102_439_26,26,0,I,2C,3004,3219,NA,2,cold,,439,,,,110.4,4,15.4,NA,NA,,,NA
2017-6103,6103,6103_46_9,9,1,I,9A,3007,3119,NA,1,cold,drain end,46,3007/3291,,,83.5,3,10.8,4/3/18 15:08,5.04,,,
2017-6103,6103,6103_215_12,12,1,I,1C,3007,3119,NA,1,cold,,215,3007/3291,,,83.5,3,10.8,4/23/18 17:41,6.68,,,
2017-6103,6103,6103_409_26,26,1,I,1C,3007,3119,NA,1,cold,,409,,,,83.5,3,10.8,4/23/18 17:41,8.04,,,
2017-6104,6104,6104_41_9,9,0,I,9A,3008,3472,NA,3,cold,drain end,41,,,,81.6,3,11,NA,NA,,,NA
2017-6104,6104,6104_259_12,12,0,I,3C,3008,3472,NA,3,cold,,259,,,,81.6,3,11,NA,NA,,,NA
2017-6104,6104,6104_458_26,26,0,I,3C,3008,3472,NA,3,cold,,458,,,,81.6,3,11,NA,NA,,,NA
2017-6105,6105,6105_43_9,9,1,I,9A,3019,3504,NA,2,cold,drain end,43,,,,119.8,3,19.2,NA,NA,,,NA
2017-6105,6105,6105_234_12,12,1,I,2C,3019,3504,NA,2,cold,,234,,,,119.8,3,19.2,NA,NA,,,NA
2017-6105,6105,6105_438_26,26,1,I,2C,3019,3504,NA,2,cold,,438,,,,119.8,3,19.2,NA,NA,,,NA
2017-6106,6106,6106_5_9,9,0,M,8A,3020,3509,NA,3,cold,drain end,5,,,,113.8,3,20.5,NA,NA,,,NA
2017-6106,6106,6106_241_12,12,0,M,3C,3020,3509,NA,3,cold,,241,,,,113.8,3,20.5,NA,NA,,,NA
2017-6106,6106,6106_450_26,26,0,M,3C,3020,3509,NA,3,cold,,450,,,,113.8,3,20.5,NA,NA,,,NA
2017-6107,6107,6107_115_9,9,0,M,3C,3024,3597,NA,7,ambient,drain end,115,,,,132.9,4,29.7,NA,NA,,,NA
2017-6107,6107,6107_350_12,12,0,M,7A,3024,3597,NA,7,ambient,,350,,,,132.9,4,29.7,NA,NA,,,NA
2017-6107,6107,6107_471_26,26,0,M,7A,3024,3597,NA,7,ambient,,471,,,,132.9,4,29.7,NA,NA,,,NA
2017-6108,6108,6108_6_9,9,1,I,8A,3032,3442,NA,3,cold,drain end,6,,,,131.9,3,19.6,NA,NA,,,NA
2017-6108,6108,6108_255_12,12,1,I,3C,3032,3442,NA,3,cold,,255,,,,131.9,3,19.6,NA,NA,,,NA
2017-6108,6108,6108_455_26,26,1,I,3C,3032,3442,NA,3,cold,,455,,,,131.9,3,19.6,NA,NA,,,NA
2017-6109,6109,6109_31_9,9,0,I,8A,3034,3217,NA,7,ambient,drain end,31,,,,128.8,3,18.9,NA,NA,,,NA
2017-6109,6109,6109_351_12,12,0,I,7A,3034,3217,NA,7,ambient,,351,,,,128.8,3,18.9,NA,NA,,,NA
2017-6109,6109,6109_480_26,26,0,I,7A,3034,3217,NA,7,ambient,,480,,,,128.8,3,18.9,NA,NA,,,NA
2017-6110,6110,6110_135_9,9,0,I,2C,3049,3337,NA,8,ambient,drain end,135,,,,123.4,0,19.2,NA,NA,,,NA
2017-6110,6110,6110_331_12,12,0,I,8A,3049,3337,NA,8,ambient,,331,,,,123.4,0,19.2,NA,NA,,,NA
2017-6110,6110,6110_488_26,26,0,I,8A,3049,3337,NA,8,ambient,,488,,,,123.4,0,19.2,NA,NA,,,NA
2017-6111,6111,6111_90_9,9,1,I,7A,3052,3115,NA,7,ambient,drain end,90,,,,116.8,3,16,NA,NA,,,NA
2017-6111,6111,6111_356_12,12,1,I,7A,3052,3115,NA,7,ambient,,356,,,,116.8,3,16,NA,NA,,,NA
2017-6111,6111,6111_468_26,26,1,I,7A,3052,3115,NA,7,ambient,,468,,,,116.8,3,16,NA,NA,,,NA
2017-6112,6112,6112_28_9,9,0,I,8A,3053,3116,NA,9,ambient,drain end,28,,,,115.9,4,17.1,NA,NA,,,NA
2017-6112,6112,6112_317_12,12,0,I,9A,3053,3116,NA,9,ambient,,317,,,,115.9,4,17.1,NA,NA,,,NA
2017-6112,6112,6112_499_26,26,0,I,9A,3053,3116,NA,9,ambient,,499,,,,115.9,4,17.1,NA,NA,,,NA
2017-6113,6113,6113_78_9,9,0,I,7A,3062,3121,NA,1,cold,drain end,78,,,,126.5,3,19.1,4/24/18 14:51,2.19,,,
2017-6113,6113,6113_214_12,12,0,I,1C,3062,3121,NA,1,cold,,214,,,,126.5,3,19.1,4/24/18 14:51,3.55,,,
2017-6113,6113,6113_419_26,26,0,I,1C,3062,3121,NA,1,cold,,419,,,,126.5,3,19.1,4/24/18 14:51,5.64,,,
2017-6114,6114,6114_142_9,9,1,I,2C,3067,3346,NA,8,ambient,drain end,142,,,,122.2,3,18.4,NA,NA,,,NA
2017-6114,6114,6114_326_12,12,1,I,8A,3067,3346,NA,8,ambient,,326,,,,122.2,3,18.4,NA,NA,,,NA
2017-6114,6114,6114_484_26,26,1,I,8A,3067,3346,NA,8,ambient,,484,,,,122.2,3,18.4,NA,NA,,,NA
2017-6115,6115,6115_33_9,9,1,I,9A,3068,3519,NA,9,ambient,drain end,33,,,,110.2,3,10.1,NA,NA,,,NA
2017-6115,6115,6115_307_12,12,1,I,9A,3068,3519,NA,9,ambient,,307,#1,replacement tube,,110.2,3,10.1,NA,NA,,,NA
2017-6115,6115,6115_514_26,26,1,I,9A,3068,3519,NA,9,ambient,,514,,,,110.2,3,10.1,NA,NA,,,NA
2017-6116,6116,6116_76_9,9,1,I,7A,3072,3560,NA,1,cold,drain end,76,,,,120.1,3,17.1,NA,NA,,,NA
2017-6116,6116,6116_212_12,12,1,I,1C,3072,3560,NA,1,cold,,212,,,,120.1,3,17.1,NA,NA,,,NA
2017-6116,6116,6116_417_26,26,1,I,1C,3072,3560,NA,1,cold,,417,,,,120.1,3,17.1,NA,NA,,,NA
2017-6117,6117,6117_42_9,9,0,I,9A,3074,3282,NA,2,cold,drain end,42,,,,116.8,3,19.3,4/24/18 14:51,0,,,
2017-6117,6117,6117_225_12,12,0,I,2C,3074,3282,NA,2,cold,,225,,,,116.8,3,19.3,4/24/18 14:51,1.76,,,
2017-6117,6117,6117_440_26,26,0,I,2C,3074,3282,NA,2,cold,,440,,,,116.8,3,19.3,4/24/18 14:51,1.77,,,
2017-6118,6118,6118_87_9,9,1,I,7A,3077,3447,NA,2,cold,drain end,87,,,,124.1,3,17,NA,NA,,,NA
2017-6118,6118,6118_240_12,12,1,I,2C,3077,3447,NA,2,cold,,240,,,,124.1,3,17,NA,NA,,,NA
2017-6118,6118,6118_430_26,26,1,I,2C,3077,3447,NA,2,cold,,430,,,,124.1,3,17,NA,NA,,,NA
2017-6119,6119,6119_153_9,9,0,I,1C,3081,3210,NA,3,cold,drain end,153,,,,97.7,3,13.4,4/10/18 17:22,2.02,,,
2017-6119,6119,6119_258_12,12,0,I,3C,3081,3210,NA,3,cold,,258,,,,97.7,3,13.4,4/10/18 17:22,3.86,,,
2017-6119,6119,6119_461_26,26,0,I,3C,3081,3210,NA,3,cold,,461,,,,97.7,3,13.4,4/10/18 17:23,0,,,
2017-6120,6120,6120_165_9,9,1,I,1C,3082,3546,NA,3,cold,drain end,165,,,,90.8,3,12.3,NA,NA,,,NA
2017-6120,6120,6120_248_12,12,1,I,3C,3082,3546,NA,3,cold,,248,,,,90.8,3,12.3,NA,NA,,,NA
2017-6120,6120,6120_459_26,26,1,I,3C,3082,3546,NA,3,cold,,459,,,,90.8,3,12.3,NA,NA,,,NA
2017-6121,6121,6121_15_9,9,1,I,8A,3099,3579,NA,7,ambient,drain end,15,,,,114.6,3,14.2,NA,NA,,,NA
2017-6121,6121,6121_352_12,12,1,I,7A,3099,3579,NA,7,ambient,,352,,,,114.6,3,14.2,NA,NA,,,NA
2017-6121,6121,6121_472_26,26,1,I,7A,3099,3579,NA,7,ambient,,472,,,,114.6,3,14.2,NA,NA,,,NA
2017-6122,6122,6122_133_9,9,1,I,3C,3100,3528,NA,8,ambient,drain end,133,,,,100,3,14.5,NA,NA,,,NA
2017-6122,6122,6122_325_12,12,1,I,8A,3100,3528,NA,8,ambient,,325,,,,100,3,14.5,NA,NA,,,NA
2017-6122,6122,6122_489_26,26,1,I,8A,3100,3528,NA,8,ambient,,489,,,,100,3,14.5,NA,NA,,,NA
2017-6123,6123,6123_82_9,9,0,I,7A,3101,3463,NA,7,ambient,drain end,82,blood very clear,,,112.4,3,17.5,NA,NA,,,NA
2017-6123,6123,6123_345_12,12,0,I,7A,3101,3463,NA,7,ambient,,345,,,,112.4,3,17.5,NA,NA,,,NA
2017-6123,6123,6123_473_26,26,0,I,7A,3101,3463,NA,7,ambient,,473,,,,112.4,3,17.5,NA,NA,,,NA
2017-6124,6124,6124_75_9,9,0,M,7A,3103,3158,NA,7,ambient,drain end,75,,,,120.5,3,23,NA,NA,,,NA
2017-6124,6124,6124_347_12,12,0,M,7A,3103,3158,NA,7,ambient,,347,,,,120.5,3,23,NA,NA,,,NA
2017-6124,6124,6124_464_26,26,0,M,7A,3103,3158,NA,7,ambient,,464,,,,120.5,3,23,NA,NA,,,NA
2017-6125,6125,6125_144_9,9,1,I,2C,3105,3146,NA,9,ambient,drain end,144,,,,119.4,3,18.4,NA,NA,,,NA
2017-6125,6125,6125_303_12,12,1,I,9A,3105,3146,NA,9,ambient,,303,,,,119.4,3,18.4,NA,NA,,,NA
2017-6125,6125,6125_503_26,26,1,I,9A,3105,3146,NA,9,ambient,,503,,,,119.4,3,18.4,NA,NA,,,NA
2017-6126,6126,6126_79_9,9,1,I,7A,3108,3501,NA,1,cold,drain end,79,,,,109,3,14.6,NA,NA,,,NA
2017-6126,6126,6126_201_12,12,1,I,1C,3108,3501,NA,1,cold,,201,,,,109,3,14.6,NA,NA,,,NA
2017-6126,6126,6126_418_26,26,1,I,1C,3108,3501,NA,1,cold,,418,,,,109,3,14.6,NA,NA,,,NA
2017-6127,6127,6127_37_9,9,0,I,9A,3110,3255,NA,8,ambient,drain end,37,,,,108.4,3,19.3,NA,NA,,,NA
2017-6127,6127,6127_335_12,12,0,I,8A,3110,3255,NA,8,ambient,,335,,,,108.4,3,19.3,5/2/18 13:08,3.46,,,
2017-6127,6127,6127_497_26,26,0,I,8A,3110,3255,NA,8,ambient,,497,,,,108.4,3,19.3,5/2/18 13:08,4.36,,,
2017-6128,6128,6128_112_9,9,1,I,3C,3113,3179,NA,2,cold,drain end,112,,,,121,3,18.6,NA,NA,,,NA
2017-6128,6128,6128_231_12,12,1,I,2C,3113,3179,NA,2,cold,,231,,,,121,3,18.6,NA,NA,,,NA
2017-6128,6128,6128_441_26,26,1,I,2C,3113,3179,NA,2,cold,,441,,,,121,3,18.6,NA,NA,,,NA
2017-6129,6129,6129_86_9,9,1,I,7A,3129,3137,NA,5,warm,drain end,86,,,,114.1,3,16.8,4/20/18 14:18,3.09,,,
2017-6129,6129,6129_299_12,12,1,I,5W,3129,3137,NA,5,warm,,299,,,,114.1,3,16.8,4/20/18 14:30,0,,,
2017-6129,6129,6129_403_26,26,1,I,5W,3129,3137,NA,5,warm,,403,,,,114.1,3,16.8,4/20/18 14:30,2.64,,,
2017-6130,6130,6130_47_9,9,0,I,9A,3134,3208,NA,8,ambient,drain end,47,,,,111.4,3,11.8,4/9/18 13:18,7.32,,,
2017-6130,6130,6130_339_12,12,0,I,8A,3134,3208,NA,8,ambient,,339,,,,111.4,3,11.8,4/9/18 13:19,0.88,,,
2017-6130,6130,6130_498_26,26,0,I,8A,3134,3208,NA,8,ambient,,498,,,,111.4,3,11.8,3/27/18 15:08,1.8,,,
2017-6131,6131,6131_38_9,9,0,I,9A,3147,3563,NA,9,ambient,drain end,38,,,,107.4,3,19.1,4/9/18 13:19,0,,,
2017-6131,6131,6131_314_12,12,0,I,9A,3147,3563,NA,9,ambient,,314,,,,107.4,3,19.1,4/9/18 13:19,1.42,,,
2017-6131,6131,6131_507_26,26,0,I,9A,3147,3563,NA,9,ambient,,507,,,,107.4,3,19.1,4/9/18 13:20,0.88,,,
2017-6132,6132,6132_88_9,9,0,I,7A,3149,3436,NA,1,cold,drain end,88,,,,133.7,3,22.1,4/10/18 14:47,2.81,,,
2017-6132,6132,6132_205_12,12,0,I,1C,3149,3436,NA,1,cold,,205,,,,133.7,3,22.1,4/10/18 17:23,1.64,,,
2017-6132,6132,6132_406_26,26,0,I,1C,3149,3436,NA,1,cold,,406,,,,133.7,3,22.1,4/10/18 17:23,0,,,
2017-6133,6133,6133_36_9,9,0,I,9A,3160,3273,NA,2,cold,drain end,36,,,,103.6,4,11.8,4/10/18 14:47,4.16,,,
