Sample_Date,Sample_day,Uniq_ID,FRP-date,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,Qubit_tube_conc,FRP,,,,comments
11/8/17,9,6116_76_9,2017-6116,1,I,7A,1,76,cold,#N/A,6116,,,,
11/10/17,12,6116_212_12,2017-6116,1,I,1C,1,212,cold,#N/A,6116,,,,
11/27/17,26,6116_417_26,2017-6116,1,I,1C,1,417,cold,#N/A,6116,,,,
11/8/17,9,6148_56_9,2017-6148,1,I,7A,1,56,cold,#N/A,6148,,,,
11/10/17,12,6148_213_12,2017-6148,1,I,1C,1,213,cold,#N/A,6148,,,,
11/27/17,26,6148_405_26,2017-6148,1,I,1C,1,405,cold,#N/A,6148,,,,
11/8/17,9,6163_130_9,2017-6163,1,I,3C,2,130,cold,#N/A,6163,,,,
11/10/17,12,6163_228_12,2017-6163,1,I,2C,2,228,cold,#N/A,6163,,,,
11/27/17,26,6163_424_26,2017-6163,1,I,2C,2,424,cold,#N/A,6163,,,,
11/8/17,9,6105_43_9,2017-6105,1,I,9A,2,43,cold,#N/A,6105,,,,
11/10/17,12,6105_234_12,2017-6105,1,I,2C,2,234,cold,#N/A,6105,,,,
11/27/17,26,6105_438_26,2017-6105,1,I,2C,2,438,cold,#N/A,6105,,,,
11/8/17,9,6108_6_9,2017-6108,1,I,8A,3,6,cold,#N/A,6108,,,,
11/10/17,12,6108_255_12,2017-6108,1,I,3C,3,255,cold,#N/A,6108,,,,
11/27/17,26,6108_455_26,2017-6108,1,I,3C,3,455,cold,#N/A,6108,,,,
11/8/17,9,6103_46_9,2017-6103,1,I,9A,1,46,cold,126,6103,,,,3007/3291
11/10/17,12,6103_215_12,2017-6103,1,I,1C,1,215,cold,167,6103,,,,3007/3291
11/27/17,26,6103_409_26,2017-6103,1,I,1C,1,409,cold,201,6103,,,,
11/8/17,9,6215_23_9,2017-6215,1,I,8A,3,23,cold,28.9,6215,,,,new tag 3423/3516 (3423 tag was used before)
11/10/17,12,6215_457_12,2017-6215,1,I,3C,3,253,cold,21,6215,,,,
11/27/17,26,6215_253_26,2017-6215,1,I,3C,3,457,cold,89.4,6215,,,,
11/8/17,9,6209_125_9,2017-6209,1,I,3C,3,125,cold,147,6209,,,,"discolored, pink/brown hemolymph"
11/10/17,12,6209_251_12,2017-6209,1,I,3C,3,251,cold,120,6209,,,,
11/27/17,26,6209_444_26,2017-6209,1,I,3C,3,444,cold,206,6209,,,,
11/8/17,9,6207_128_9,2017-6207,1,I,3C,1,128,cold,133,6207,,,,
11/10/17,12,6207_202_12,2017-6207,1,I,1C,1,202,cold,117,6207,,,,
11/27/17,26,6207_412_26,2017-6207,1,I,1C,1,412,cold,125,6207,,,,
11/8/17,9,6208_106_9,2017-6208,1,I,3C,2,106,cold,77.6,6208,,,,
11/10/17,12,6208_229_12,2017-6208,1,I,2C,2,229,cold,53.1,6208,,,,
11/27/17,26,6208_435_26,2017-6208,1,I,2C,2,435,cold,23,6208,,,,
11/8/17,9,6198_154_9,2017-6198,1,I,1C,2,154,cold,33,6198,,,,
11/10/17,12,6198_230_12,2017-6198,1,I,2C,2,230,cold,155,6198,,,,
11/27/17,26,6198_428_26,2017-6198,1,I,2C,2,428,cold,68.8,6198,,,,
11/8/17,9,6199_151_9,2017-6199,1,I,1C,3,151,cold,#N/A,6199,,,,
11/10/17,12,6199_254_12,2017-6199,1,I,3C,3,254,cold,#N/A,6199,,,,
11/27/17,26,6199_445_26,2017-6199,1,I,3C,3,445,cold,#N/A,6199,,,,
