Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units,Sample_Volume_킠,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number
2018-03-26_132437,RNA High sensitivity,Sample_#180326-132528,3/26/18 13:25,0,ng/mL,0,ng/킠,5,40,84.14,1510.54,Red,Far Red,88.15,465
2018-03-26_132437,RNA High sensitivity,Sample_#180326-132518,3/26/18 13:25,42.8,ng/mL,1.71,ng/킠,5,40,84.14,1510.54,Red,Far Red,214.08,77
2018-03-26_133510,RNA High sensitivity,Sample_#180326-133550,3/26/18 13:35,0,ng/mL,0,ng/킠,5,40,88.44,1478.42,Red,Far Red,103.55,508
2018-03-26_133510,RNA High sensitivity,Sample_#180326-133542,3/26/18 13:35,50,ng/mL,2,ng/킠,5,40,88.44,1478.42,Red,Far Red,238.02,313
2018-03-27_150807,RNA High sensitivity,Sample_#180327-150845,3/27/18 15:08,45.1,ng/mL,1.8,ng/킠,5,40,77.85,1247.39,Red,Far Red,190.52,498
2018-03-27_150807,RNA High sensitivity,Sample_#180327-150836,3/27/18 15:08,0,ng/mL,0,ng/킠,5,40,77.85,1247.39,Red,Far Red,90.59,65
2018-03-28_141627,RNA High sensitivity,Sample_#180328-141720,3/28/18 14:17,129,ng/mL,5.16,ng/킠,5,40,82.59,1247.92,Red,Far Red,419.21,469
2018-03-28_141627,RNA High sensitivity,Sample_#180328-141656,3/28/18 14:16,28.9,ng/mL,1.16,ng/킠,5,40,82.59,1247.92,Red,Far Red,152.01,55
2018-04-03_150806,RNA High sensitivity,Sample_#180403-150850,4/3/18 15:08,89.4,ng/mL,3.58,ng/킠,5,40,82.44,1309.95,Red,Far Red,325.91,457
2018-04-03_150806,RNA High sensitivity,Sample_#180403-150840,4/3/18 15:08,126,ng/mL,5.04,ng/킠,5,40,82.44,1309.95,Red,Far Red,429.61,46
2018-04-04_135753,RNA High sensitivity,Sample_#180404-135829,4/4/18 13:58,68.8,ng/mL,2.75,ng/킠,5,40,80.51,1258.54,Red,Far Red,258.27,428
2018-04-04_135753,RNA High sensitivity,Sample_#180404-135821,4/4/18 13:58,33,ng/mL,1.32,ng/킠,5,40,80.51,1258.54,Red,Far Red,161.51,154
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133933,4/6/18 13:39,46.1,ng/mL,1.84,ng/킠,5,40,76.57,1141.15,Red,Far Red,181.53,477
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133923,4/6/18 13:39,26.9,ng/mL,1.08,ng/킠,5,40,76.57,1141.15,Red,Far Red,135.44,492
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133914,4/6/18 13:39,67,ng/mL,2.68,ng/킠,5,40,76.57,1141.15,Red,Far Red,232.63,353
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133905,4/6/18 13:39,144,ng/mL,5.76,ng/킠,5,40,76.57,1141.15,Red,Far Red,420.6,348
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133855,4/6/18 13:38,50.2,ng/mL,2.01,ng/킠,5,40,76.57,1141.15,Red,Far Red,191.55,327
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133846,4/6/18 13:38,123,ng/mL,4.92,ng/킠,5,40,76.57,1141.15,Red,Far Red,370.19,14
2018-04-06_133810,RNA High sensitivity,Sample_#180406-133835,4/6/18 13:38,88,ng/mL,3.52,ng/킠,5,40,76.57,1141.15,Red,Far Red,284.34,4
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140402,4/6/18 14:04,0,ng/mL,0,ng/킠,5,40,78.71,1199.13,Red,Far Red,73.92,505
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140351,4/6/18 14:03,0,ng/mL,0,ng/킠,5,40,78.71,1199.13,Red,Far Red,92.72,476
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140342,4/6/18 14:03,92.8,ng/mL,3.71,ng/킠,5,40,78.71,1199.13,Red,Far Red,309.77,358
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140332,4/6/18 14:03,61.1,ng/mL,2.44,ng/킠,5,40,78.71,1199.13,Red,Far Red,227.79,305
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140317,4/6/18 14:03,0,ng/mL,0,ng/킠,5,40,78.71,1199.13,Red,Far Red,102.38,66
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140308,4/6/18 14:03,58.4,ng/mL,2.34,ng/킠,5,40,78.71,1199.13,Red,Far Red,220.69,59
2018-04-06_140231,RNA High sensitivity,Sample_#180406-140256,4/6/18 14:02,34.6,ng/mL,1.38,ng/킠,5,40,78.71,1199.13,Red,Far Red,159.9,26
2018-04-09_131825,RNA High sensitivity,Sample_#180409-132019,4/9/18 13:20,0,ng/mL,0,ng/킠,5,40,95.67,1810.56,Red,Far Red,139.81,474
2018-04-09_131825,RNA High sensitivity,Sample_#180409-132008,4/9/18 13:20,22,ng/mL,0.88,ng/킠,5,40,95.67,1810.56,Red,Far Red,170.1,507
2018-04-09_131825,RNA High sensitivity,Sample_#180409-131947,4/9/18 13:19,44.9,ng/mL,1.8,ng/킠,5,40,95.67,1810.56,Red,Far Red,260.07,346
2018-04-09_131825,RNA High sensitivity,Sample_#180409-131936,4/9/18 13:19,35.6,ng/mL,1.42,ng/킠,5,40,95.67,1810.56,Red,Far Red,223.78,314
