Sample_Date,Sample_day,Uniq_ID,FRP,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,RNA_isolation,comments
11/10/17,12,6199_254_12,2017-6199,1,I,3C,3,254,cold,,
11/27/17,26,6199_445_26,2017-6199,1,I,3C,3,445,cold,,
11/8/17,9,6196_170_9,2017-6196,1,I,1C,1,170,cold,,
11/10/17,12,6196_203_12,2017-6196,1,I,1C,1,203,cold,,
11/27/17,26,6196_408_26,2017-6196,1,I,1C,1,408,cold,,
11/8/17,9,6187_158_9,2017-6187,1,I,1C,2,158,cold,,
11/10/17,12,6187_239_12,2017-6187,1,I,2C,2,239,cold,,
11/27/17,26,6187_431_26,2017-6187,1,I,2C,2,431,cold,,
11/8/17,9,6188_172_9,2017-6188,1,I,1C,3,172,cold,,
11/10/17,12,6188_245_12,2017-6188,1,I,3C,3,245,cold,,
11/27/17,26,6188_443_26,2017-6188,1,I,3C,3,443,cold,,
11/8/17,9,6177_54_9,2017-6177,1,I,7A,3,54,cold,,
11/10/17,12,6177_250_12,2017-6177,1,I,3C,3,250,cold,,
11/27/17,26,6177_456_26,2017-6177,1,I,3C,3,456,cold,,
11/8/17,9,6173_63_9,2017-6173,1,I,7A,1,63,cold,,
11/10/17,12,6173_210_12,2017-6173,1,I,1C,1,210,cold,,
11/27/17,26,6173_420_26,2017-6173,1,I,1C,1,420,cold,,
11/8/17,9,6174_20_9,2017-6174,1,I,8A,2,20,cold,,
11/10/17,12,6174_233_12,2017-6174,1,I,2C,2,233,cold,,
11/27/17,26,6174_433_26,2017-6174,1,I,2C,2,433,cold,,
11/8/17,9,6164_71_9,2017-6164,1,I,7A,3,71,cold,,3351/3580
11/10/17,12,6164_257_12,2017-6164,1,I,3C,3,257,cold,,
11/27/17,26,6164_460_26,2017-6164,1,I,3C,3,460,cold,,
11/8/17,9,6162_61_9,2017-6162,1,I,7A,1,61,cold,,
11/10/17,12,6162_220_12,2017-6162,1,I,1C,1,220,cold,,
11/27/17,26,6162_407_26,2017-6162,1,I,1C,1,407,cold,,
11/8/17,9,6151_19_9,2017-6151,1,I,8A,3,19,cold,,
