year_FRP,FRP,sq_mean,equal_sample_vol_qpcr,sq_std_dev,0,pos_neg_no_quant,pos_neg,Qubit_conc,units,run,day_26_tube_number,treatment_tank,temperature_treatment,Comments
2017-6206,6206,5.13E+01,yes,2.67E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6217,6217,0.00E+00,0,0.00E+00,0,0,?,0,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6280,6280,0.00E+00,0,0.00E+00,0,NEG,0,0,ng/ul,0,Day 0/1 (EtoH),0,0,sent to UW for trial RNA e0traction (Sam)
2017-6275,6275,0.00E+00,0,0.00E+00,0,NEG,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6159,6159,3.50E+02,yes,2.22E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6238,6238,0.00E+00,0,0.00E+00,0,2 rep neg,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6190,6190,1.01E+01,yes,1.72E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),1,cold,0
2017-6268,6268,0.00E+00,yes,0.00E+00,0,0,neg,0.272,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6201,6201,5.01E+01,yes,5.03E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6181,6181,8.24E-01,yes,2.77E-01,0,0,neg,4.02,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6263,6263,2.92E+01,yes,2.56E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6192,6192,2.83E+02,yes,1.54E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6264,6264,0.00E+00,yes,0.00E+00,0,0,neg,3.28,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6247,6247,0.00E+00,0,0.00E+00,0,NEG,0,2.54,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6251,6251,1.48E+02,yes,1.77E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6110,6110,1.77E+00,yes,0.00E+00,0,0,neg,6.44,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),8,ambient,0
2017-6269,6269,2.56E+02,yes,6.30E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6267,6267,1.49E+00,yes,1.90E-01,0,0,neg,0.174,ng/ul,4/25/18 second,Day 0/1 (EtoH),5,warm,0
2017-6195,6195,4.18E+02,yes,7.71E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6187,6187,2.77E+03,yes,9.60E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),2,cold,0
2017-6266,6266,1.99E+02,yes,5.63E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6119,6119,4.50E+00,yes,2.02E-01,0,0,pos,5.1,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,0
2017-6255,6255,1.78E+03,yes,1.45E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6278,6278,4.11E+04,yes,5.71E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),1,cold,0
2017-6256,6256,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6186,6186,0.00E+00,yes,0.00E+00,0,0,neg,4.24,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6265,6265,1.65E+01,yes,4.10E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6191,6191,5.93E-01,yes,0.00E+00,0,0,neg,3.34,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6220,6220,1.98E+02,yes,2.66E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),5,warm,0
2017-6200,6200,0.00E+00,yes,0.00E+00,0,0,neg,3.24,ng/ul,5/3/2018 first,Day 0/1 (EtoH),1,cold,0
2017-6120,6120,1.10E+03,yes,2.34E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6157,6157,1.11E+00,yes,2.27E-01,0,0,neg,0.904,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6114,6114,3.89E+02,yes,1.19E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6260,6260,0.00E+00,0,0.00E+00,0,NEG,0,0.69,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6185,6185,6.97E+00,yes,1.16E+00,0,0,pos,3.58,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6194,6194,3.91E+01,yes,8.96E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6189,6189,2.01E+00,yes,2.28E-01,0,0,neg,1.87,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),1,cold,0
2017-6193,6193,3.33E+02,yes,3.38E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6249,6249,3.22E+01,yes,3.70E+00,0,0,pos,0.446,ng/ul,4/25/18 third,Day 0/1 (EtoH),4,warm,0
2017-6257,6257,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6109,6109,0.00E+00,yes,0.00E+00,0,0,neg,5.12,ng/ul,4/25/18 third,Day 0/1 (EtoH),7,ambient,0
2017-6259,6259,2.59E-01,yes,0.00E+00,0,0,neg,7.08,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6228,6228,7.87E+01,yes,6.64E+00,0,0,pos,4.5,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6121,6121,1.21E+02,yes,8.25E+00,0,0,pos,2,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),7,ambient,0
2017-6112,6112,0.00E+00,0,0.00E+00,0,4 rep neg,0,6.72,ng/ul,0,Day 0/1 (EtoH),9,ambient,0
2017-6182,6182,1.46E+04,yes,9.72E+02,0,0,pos,2.6,ng/ul,4/25/18 third,Day 0/1 (EtoH),7,ambient,0
2017-6258,6258,5.43E-01,yes,2.13E-02,0,0,neg,7.38,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6183,6183,2.28E+03,yes,1.10E+02,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),8,ambient,0
2017-6180,6180,5.89E-01,yes,0.00E+00,0,0,neg,1.21,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6156,6156,2.63E-01,yes,6.27E-02,0,0,neg,7.84,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6125,6125,6.90E+01,yes,8.82E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),9,ambient,0
2017-6143,6143,7.64E-01,yes,0.00E+00,0,0,neg,1.02,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),7,ambient,0
2017-6166,6166,0.00E+00,yes,0.00E+00,0,0,neg,2.28,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6253,6253,0.00E+00,yes,0.00E+00,0,0,neg,1.22,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6151,6151,2.74E+01,yes,8.68E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6102,6102,3.76E-01,yes,0.00E+00,0,0,neg,5,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6160,6160,0.00E+00,yes,0.00E+00,0,0,neg,3.8,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6140,6140,7.74E+00,yes,1.81E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6246,6246,0.00E+00,yes,0.00E+00,0,0,neg,6.4,ng/ul,4/27/18 first,Day 0/1 (EtoH),4,warm,0
2017-6184,6184,2.38E+02,yes,1.49E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),9,ambient,0
2017-6210,6210,3.56E+03,yes,5.62E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,401,4,warm,0
2017-6103,6103,1.93E+02,yes,2.45E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,409,1,cold,0
2017-6116,6116,4.49E+02,yes,1.18E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,417,1,cold,0
2017-6203,6203,3.21E+01,yes,2.56E+00,0,0,pos,2.2,ng/ul,4/25/18 third,425,2,cold,0
2017-6174,6174,1.57E+02,yes,3.43E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,433,2,cold,0
2017-6128,6128,6.97E+02,yes,5.98E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,441,2,cold,0
2017-6108,6108,1.35E+02,yes,2.58E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,455,3,cold,0
