Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),SQ Mean,SQ Std. Dev,FRP#,Tube,time
37.85,3.79E+01,0.000,0,0.00E+00,0.00E+00,2017-6223,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6223,,early
36.56,36.21,0.493,0,0.00E+00,6.68E-01,2017-6226,,early
35.86,36.21,0.493,0,0.00E+00,6.68E-01,2017-6226,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6229,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6229,,early
38.6,38.6,0.000,0,0.00E+00,0.00E+00,2017-6231,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6231,,early
N/A,0.00E+00,0.000,0,0.00E+00,0.00E+00,2017-6234,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6234,,early
37.9,37.84,0.092,0,0.00E+00,8.66E-02,2017-6236,,early
37.77,37.84,0.092,0,0.00E+00,8.66E-02,2017-6236,,early
37.79,37.79,0,0,0.00E+00,0.00E+00,2017-6246,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6246,,early
38.21,38.21,0.000,0,0.00E+00,0.00E+00,2017-6248,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6248,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6252,,early
38.48,38.48,0,0,0.00E+00,0.00E+00,2017-6252,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6253,,early
N/A,0,0.000,0,0.00E+00,0.00E+00,2017-6253,,early
37.17,3.75E+01,0.466,0,0.00E+00,3.65E-01,2017-6254,,early
37.83,3.75E+01,0.466,0,0.00E+00,3.65E-01,2017-6254,,early
38.12,38.08,0.055,0,0.00E+00,2.13E-02,2017-6258,,early
38.04,38.08,0.055,0,0.00E+00,2.13E-02,2017-6258,,early
39.09,39.09,0,0,0.00E+00,0.00E+00,2017-6259,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6259,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6264,,early
35.19,35.19,0,0,0.00E+00,0.00E+00,2017-6264,,early
35.75,35.62,0.175,0,0.00E+00,1.90E-01,2017-6267,,early
35.5,35.62,0.175,0,0.00E+00,1.90E-01,2017-6267,,early
N/A,0,0,0,0.00E+00,0.00E+00,2017-6268,,early
37.47,37.47,0,0,0.00E+00,0.00E+00,2017-6268,,early
35.86,35.54,0.455,0,0.00E+00,9.33E-01,2017-6271,,early
35.22,35.54,0.455,0,0.00E+00,9.33E-01,2017-6271,,early
37.22,37.03,0.276,0,0.00E+00,4.57E-01,2017-6272,,early
36.83,37.03,0.276,0,0.00E+00,4.57E-01,2017-6272,,early
38.08,3.81E+01,0.000,0,0.00E+00,0.00E+00,2017-6276,,early
N/A,0.00E+00,0.000,0,0.00E+00,0.00E+00,2017-6276,,early
35.67,35.97,0.434,0,0.00E+00,7.53E-01,2017-6282,,early
36.28,35.97,0.434,0,0.00E+00,7.53E-01,2017-6282,,early
32.93,33.03,0.136,2.04E+01,1.91E+01,1.84E+00,2017-6101,,early
33.13,33.03,0.136,1.78E+01,1.91E+01,1.84E+00,2017-6101,,early
30.14,3.04E+01,0.333,2.02E+02,1.73E+02,4.05E+01,2017-6103,,early
30.61,3.04E+01,0.333,1.45E+02,1.73E+02,4.05E+01,2017-6103,,early
31.72,31.71,0.014,6.57E+01,6.62E+01,6.36E-01,2017-6105,,early
31.7,31.71,0.014,6.66E+01,6.62E+01,6.36E-01,2017-6105,,early
34.51,3.44E+01,0.171,9.14E+00,9.99E+00,1.21E+00,2017-6106,,early
34.26,3.44E+01,0.171,1.09E+01,9.99E+00,1.21E+00,2017-6106,,early
33.3,33.37,0.095,8.15E+00,7.76E+00,5.37E-01,2017-6108,,early
33.43,33.37,0.095,7.39E+00,7.76E+00,5.37E-01,2017-6108,,early
32.36,32.5,0.188,3.05E+01,2.79E+01,3.70E+00,2017-6111,,early
32.63,32.5,0.188,2.53E+01,2.79E+01,3.70E+00,2017-6111,,early
33.12,3.32E+01,0.067,2.44E+01,2.36E+01,1.12E+00,2017-6113,,early
33.22,3.32E+01,0.067,2.28E+01,2.36E+01,1.12E+00,2017-6113,,early
28.5,28.81,0.44,4.74E+02,3.89E+02,1.19E+02,2017-6114,,early
29.12,28.81,0.44,3.05E+02,3.89E+02,1.19E+02,2017-6114,,early
26.52,2.64E+01,0.155,2.63E+03,2.86E+03,3.13E+02,2017-6115,,early
26.3,2.64E+01,0.155,3.08E+03,2.86E+03,3.13E+02,2017-6115,,early
28.97,2.91E+01,0.197,4.63E+02,4.22E+02,5.87E+01,2017-6116,,early
29.25,2.91E+01,0.197,3.80E+02,4.22E+02,5.87E+01,2017-6116,,early
29.31,29.22,0.12,2.63E+02,2.80E+02,2.41E+01,2017-6118,,early
29.14,29.22,0.12,2.97E+02,2.80E+02,2.41E+01,2017-6118,,early
34.07,34.11,0.061,4.64E+00,4.50E+00,2.02E-01,2017-6119,,early
34.15,34.11,0.061,4.36E+00,4.50E+00,2.02E-01,2017-6119,,early
27.33,27.31,0.03,1.08E+03,1.10E+03,2.34E+01,2017-6120,,early
27.29,27.31,0.03,1.11E+03,1.10E+03,2.34E+01,2017-6120,,early
30.53,30.46,0.096,1.15E+02,1.21E+02,8.25E+00,2017-6121,,early
30.39,30.46,0.096,1.27E+02,1.21E+02,8.25E+00,2017-6121,,early
29.01,29.06,0.081,6.09E+02,5.86E+02,3.26E+01,2017-6122,,early
29.12,29.06,0.081,5.63E+02,5.86E+02,3.26E+01,2017-6122,,early
34.81,34.61,0.294,1.10E+01,1.28E+01,2.59E+00,2017-6123,,early
34.4,34.61,0.294,1.47E+01,1.28E+01,2.59E+00,2017-6123,,early
36.07,36.2,0.18,4.61E+00,4.23E+00,5.25E-01,2017-6123,,early
36.33,36.2,0.18,3.86E+00,4.23E+00,5.25E-01,2017-6123,,early
27.09,27.14,0.072,1.29E+03,1.24E+03,6.40E+01,2017-6124,,early
27.19,27.14,0.072,1.20E+03,1.24E+03,6.40E+01,2017-6124,,early
31.62,31.8,0.25,5.17E+01,4.60E+01,8.10E+00,2017-6125,,early
31.97,31.8,0.25,4.03E+01,4.60E+01,8.10E+00,2017-6125,,early
31.39,31.26,0.181,6.28E+01,6.90E+01,8.82E+00,2017-6125,,early
31.13,31.26,0.181,7.52E+01,6.90E+01,8.82E+00,2017-6125,,early
28.01,27.86,0.216,6.66E+02,7.47E+02,1.15E+02,2017-6126,,early
27.7,27.86,0.216,8.29E+02,7.47E+02,1.15E+02,2017-6126,,early
30.17,3.03E+01,0.117,1.98E+02,1.87E+02,1.55E+01,2017-6127,,early
30.33,3.03E+01,0.117,1.76E+02,1.87E+02,1.55E+01,2017-6127,,early
23.39,23.72,0.472,1.83E+04,1.48E+04,4.88E+03,2017-6128,,early
24.05,23.72,0.472,1.14E+04,1.48E+04,4.88E+03,2017-6128,,early
26.33,26.18,0.217,3.00E+03,3.36E+03,5.15E+02,2017-6129,,early
26.03,2.62E+01,0.217,3.73E+03,3.36E+03,5.15E+02,2017-6129,,early
34.09,34.09,0.000,9.25E+00,9.25E+00,0.00E+00,2017-6131,,early
30.42,3.04E+01,0.053,1.65E+02,1.70E+02,6.43E+00,2017-6134,,early
30.35,3.04E+01,0.053,1.74E+02,1.70E+02,6.43E+00,2017-6134,,early
30.44,3.04E+01,0.045,1.64E+02,1.67E+02,5.39E+00,2017-6137,,early
30.37,3.04E+01,0.045,1.71E+02,1.67E+02,5.39E+00,2017-6137,,early
33.2,33.3,0.152,1.69E+01,1.57E+01,1.69E+00,2017-6138,,early
33.41,33.3,0.152,1.45E+01,1.57E+01,1.69E+00,2017-6138,,early
34.59,34.36,0.332,6.47E+00,7.74E+00,1.81E+00,2017-6140,,early
34.12,34.36,0.332,9.02E+00,7.74E+00,1.81E+00,2017-6140,,early
23.07,23.22,0.215,1.46E+04,1.31E+04,2.06E+03,2017-6141,,early
23.37,23.22,0.215,1.17E+04,1.31E+04,2.06E+03,2017-6141,,early
26.51,26.54,0.036,3.41E+03,3.35E+03,8.27E+01,2017-6142,,early
26.56,26.54,0.036,3.30E+03,3.35E+03,8.27E+01,2017-6142,,early
28.71,2.89E+01,0.294,5.56E+02,4.85E+02,1.00E+02,2017-6144,,early
29.13,2.89E+01,0.294,4.14E+02,4.85E+02,1.00E+02,2017-6144,,early
31.48,31.66,0.257,5.55E+01,4.91E+01,9.01E+00,2017-6145,,early
31.84,31.66,0.257,4.28E+01,4.91E+01,9.01E+00,2017-6145,,early
35.73,35.41,0.463,5.83E+00,7.50E+00,2.36E+00,2017-6147,,early
35.08,35.41,0.463,9.17E+00,7.50E+00,2.36E+00,2017-6147,,early
28.27,2.82E+01,0.039,7.60E+02,7.75E+02,2.14E+01,2017-6148,,early
28.21,2.82E+01,0.039,7.90E+02,7.75E+02,2.14E+01,2017-6148,,early
20.67,20.68,0.014,1.28E+05,1.27E+05,1.25E+03,2017-6149,,early
20.69,20.68,0.014,1.26E+05,1.27E+05,1.25E+03,2017-6149,,early
32.23,32.55,0.454,3.35E+01,2.74E+01,8.68E+00,2017-6151,,early
32.87,32.55,0.454,2.13E+01,2.74E+01,8.68E+00,2017-6151,,early
30.85,3.11E+01,0.383,1.22E+02,1.03E+02,2.76E+01,2017-6153,,early
31.39,3.11E+01,0.383,8.34E+01,1.03E+02,2.76E+01,2017-6153,,early
30.59,30.62,0.045,1.05E+02,1.03E+02,3.32E+00,2017-6155,,early
30.65,30.62,0.045,1.01E+02,1.03E+02,3.32E+00,2017-6155,,early
28.91,28.96,0.081,6.53E+02,6.28E+02,3.52E+01,2017-6158,,early
29.02,28.96,0.081,6.03E+02,6.28E+02,3.52E+01,2017-6158,,early
28.16,28.16,0.009,3.51E+02,3.50E+02,2.22E+00,2017-6159,,early
28.17,28.16,0.009,3.48E+02,3.50E+02,2.22E+00,2017-6159,,early
28.58,2.86E+01,0.005,6.11E+02,6.12E+02,1.98E+00,2017-6162,,early
28.57,2.86E+01,0.005,6.14E+02,6.12E+02,1.98E+00,2017-6162,,early
32.04,31.7,0.479,7.49E+01,9.72E+01,3.16E+01,2017-6163,,early
31.36,31.7,0.479,1.20E+02,9.72E+01,3.16E+01,2017-6163,,early
29.6,29.42,0.259,2.16E+02,2.49E+02,4.55E+01,2017-6164,,early
29.23,29.42,0.259,2.81E+02,2.49E+02,4.55E+01,2017-6164,,early
34.77,34.99,0.31,5.27E+00,4.56E+00,1.01E+00,2017-6165,,early
35.2,34.99,0.31,3.85E+00,4.56E+00,1.01E+00,2017-6165,,early
29.4,29.34,0.090,2.56E+02,2.68E+02,1.71E+01,2017-6167,,early
29.28,29.34,0.090,2.81E+02,2.68E+02,1.71E+01,2017-6167,,early
35.17,34.9,0.377,8.60E+00,1.05E+01,2.71E+00,2017-6168,,early
34.64,34.9,0.377,1.24E+01,1.05E+01,2.71E+00,2017-6168,,early
32.74,32.61,0.189,2.24E+01,2.48E+01,3.33E+00,2017-6169,,early
32.48,32.61,0.189,2.71E+01,2.48E+01,3.33E+00,2017-6169,,early
28.08,27.86,0.303,6.35E+02,7.49E+02,1.61E+02,2017-6170,,early
27.65,27.86,0.303,8.63E+02,7.49E+02,1.61E+02,2017-6170,,early
18.72,18.69,0.045,7.44E+05,7.61E+05,2.38E+04,2017-6171,,early
18.65,18.69,0.045,7.78E+05,7.61E+05,2.38E+04,2017-6171,,early
29.76,29.56,0.274,1.90E+02,2.21E+02,4.31E+01,2017-6172,,early
29.37,29.56,0.274,2.51E+02,2.21E+02,4.31E+01,2017-6172,,early
29.07,28.97,0.138,3.12E+02,3.35E+02,3.31E+01,2017-6173,,early
28.87,28.97,0.138,3.59E+02,3.35E+02,3.31E+01,2017-6173,,early
30.01,30.1,0.138,2.22E+02,2.08E+02,2.03E+01,2017-6174,,early
30.2,30.1,0.138,1.93E+02,2.08E+02,2.03E+01,2017-6174,,early
29.7,29.89,0.271,3.78E+02,3.34E+02,6.22E+01,2017-6177,,early
30.08,29.89,0.271,2.90E+02,3.34E+02,6.22E+01,2017-6177,,early
33.36,32.56,1.127,1.34E+01,2.73E+01,1.97E+01,2017-6178,,early
31.77,32.56,1.127,4.13E+01,2.73E+01,1.97E+01,2017-6178,,early
23.6,23.66,0.094,1.53E+04,1.46E+04,9.72E+02,2017-6182,,early
23.73,23.66,0.094,1.39E+04,1.46E+04,9.72E+02,2017-6182,,early
25.94,26.02,0.113,2.91E+03,2.75E+03,2.21E+02,2017-6183,,early
26.1,26.02,0.113,2.59E+03,2.75E+03,2.21E+02,2017-6183,,early
26.27,26.32,0.068,2.36E+03,2.28E+03,1.10E+02,2017-6183,,early
26.37,26.32,0.068,2.20E+03,2.28E+03,1.10E+02,2017-6183,,early
29.53,29.47,0.088,2.28E+02,2.38E+02,1.49E+01,2017-6184,,early
29.41,29.47,0.088,2.49E+02,2.38E+02,1.49E+01,2017-6184,,early
29.32,29.03,0.408,2.71E+02,3.40E+02,9.71E+01,2017-6184,,early
28.75,29.03,0.408,4.08E+02,3.40E+02,9.71E+01,2017-6184,,early
34.29,34.46,0.235,7.78E+00,6.97E+00,1.16E+00,2017-6185,,early
34.62,34.46,0.235,6.15E+00,6.97E+00,1.16E+00,2017-6185,,early
25.37,25.33,0.047,2.71E+03,2.77E+03,9.60E+01,2017-6187,,early
25.3,25.33,0.047,2.84E+03,2.77E+03,9.60E+01,2017-6187,,early
27.32,27.32,0.002,1.09E+03,1.09E+03,1.81E+00,2017-6188,,early
27.32,27.32,0.002,1.09E+03,1.09E+03,1.81E+00,2017-6188,,early
33.17,33.01,0.233,8.93E+00,1.01E+01,1.72E+00,2017-6190,,early
32.84,33.01,0.233,1.14E+01,1.01E+01,1.72E+00,2017-6190,,early
28.5,28.45,0.074,2.72E+02,2.83E+02,1.54E+01,2017-6192,,early
28.4,28.45,0.074,2.94E+02,2.83E+02,1.54E+01,2017-6192,,early
29.1,29,0.143,3.09E+02,3.33E+02,3.38E+01,2017-6193,,early
28.9,29,0.143,3.57E+02,3.33E+02,3.38E+01,2017-6193,,early
32.26,32.03,0.326,3.28E+01,3.91E+01,8.96E+00,2017-6194,,early
31.8,32.03,0.326,4.55E+01,3.91E+01,8.96E+00,2017-6194,,early
27.75,27.93,0.254,4.73E+02,4.18E+02,7.71E+01,2017-6195,,early
28.11,27.93,0.254,3.63E+02,4.18E+02,7.71E+01,2017-6195,,early
29.1,29.12,0.021,5.69E+02,5.63E+02,8.02E+00,2017-6196,,early
29.13,29.12,0.021,5.58E+02,5.63E+02,8.02E+00,2017-6196,,early
27.01,26.91,0.147,2.42E+03,2.60E+03,2.65E+02,2017-6197,,early
26.8,26.91,0.147,2.79E+03,2.60E+03,2.65E+02,2017-6197,,early
29.5,29.63,0.173,2.28E+02,2.10E+02,2.60E+01,2017-6199,,early
29.75,29.63,0.173,1.91E+02,2.10E+02,2.60E+01,2017-6199,,early
30.72,30.82,0.137,5.36E+01,5.01E+01,5.03E+00,2017-6201,,early
30.92,30.82,0.137,4.65E+01,5.01E+01,5.03E+00,2017-6201,,early
26.94,26.98,0.048,2.53E+03,2.47E+03,8.14E+01,2017-6202,,early
27.01,26.98,0.048,2.41E+03,2.47E+03,8.14E+01,2017-6202,,early
24.84,25.11,0.373,1.08E+04,9.14E+03,2.33E+03,2017-6203,,early
25.37,25.11,0.373,7.49E+03,9.14E+03,2.33E+03,2017-6203,,early
24.02,24.02,0.009,1.90E+04,1.91E+04,1.15E+02,2017-6205,,early
24.01,24.02,0.009,1.92E+04,1.91E+04,1.15E+02,2017-6205,,early
30.74,30.79,0.071,5.32E+01,5.13E+01,2.67E+00,2017-6206,,early
30.84,30.79,0.071,4.94E+01,5.13E+01,2.67E+00,2017-6206,,early
29.22,29.22,0.001,1.62E+02,1.62E+02,1.42E-01,2017-6207,,early
29.22,29.22,0.001,1.62E+02,1.62E+02,1.42E-01,2017-6207,,early
19.43,20.1,0.937,2.49E+05,1.73E+05,1.07E+05,2017-6208,,early
20.76,20.1,0.937,9.77E+04,1.73E+05,1.07E+05,2017-6208,,early
29.5,29.4,0.133,4.34E+02,4.64E+02,4.25E+01,2017-6209,,early
29.31,29.4,0.133,4.94E+02,4.64E+02,4.25E+01,2017-6209,,early
25.84,25.8,0.056,5.44E+03,5.59E+03,2.15E+02,2017-6210,,early
25.76,25.8,0.056,5.74E+03,5.59E+03,2.15E+02,2017-6210,,early
20.07,19.96,0.148,2.93E+05,3.16E+05,3.21E+04,2017-6211,,early
19.86,19.96,0.148,3.38E+05,3.16E+05,3.21E+04,2017-6211,,early
19.01,19.18,0.241,6.10E+05,5.46E+05,9.06E+04,2017-6212,,early
19.35,19.18,0.241,4.82E+05,5.46E+05,9.06E+04,2017-6212,,early
28.3,28.37,0.099,3.17E+02,3.02E+02,2.18E+01,2017-6215,,early
28.44,28.37,0.099,2.86E+02,3.02E+02,2.18E+01,2017-6215,,early
28.82,28.91,0.12,6.90E+02,6.52E+02,5.38E+01,2017-6219,,early
28.99,28.91,0.12,6.14E+02,6.52E+02,5.38E+01,2017-6219,,early
29.91,29.77,0.190,1.79E+02,1.98E+02,2.66E+01,2017-6220,,early
29.64,29.77,0.190,2.17E+02,1.98E+02,2.66E+01,2017-6220,,early
30.53,3.06E+01,0.091,1.53E+02,1.46E+02,9.40E+00,2017-6221,,early
30.66,3.06E+01,0.091,1.40E+02,1.46E+02,9.40E+00,2017-6221,,early
35.68,35.74,0.088,6.06E+00,5.81E+00,3.53E-01,2017-6222,,early
35.8,35.74,0.088,5.56E+00,5.81E+00,3.53E-01,2017-6222,,early
31.64,31.56,0.113,4.93E+01,5.23E+01,4.24E+00,2017-6224,,early
31.48,31.56,0.113,5.53E+01,5.23E+01,4.24E+00,2017-6224,,early
20.18,20.34,0.224,1.81E+05,1.63E+05,2.60E+04,2017-6225,,early
20.5,20.34,0.224,1.45E+05,1.63E+05,2.60E+04,2017-6225,,early
31.11,31.22,0.161,7.65E+01,7.07E+01,8.07E+00,2017-6227,,early
31.34,31.22,0.161,6.50E+01,7.07E+01,8.07E+00,2017-6227,,early
30.95,31.03,0.119,8.34E+01,7.87E+01,6.64E+00,2017-6228,,early
31.11,31.03,0.119,7.40E+01,7.87E+01,6.64E+00,2017-6228,,early
35.25,35.08,0.243,4.04E+00,4.60E+00,7.88E-01,2017-6230,,early
34.91,35.08,0.243,5.16E+00,4.60E+00,7.88E-01,2017-6230,,early
27.44,2.75E+01,0.063,1.37E+03,1.33E+03,5.94E+01,2017-6237,,early
27.53,2.75E+01,0.063,1.29E+03,1.33E+03,5.94E+01,2017-6237,,early
26.48,26.2,0.394,1.20E+03,1.50E+03,4.25E+02,2017-6239,,early
25.93,26.2,0.394,1.80E+03,1.50E+03,4.25E+02,2017-6239,,early
27.25,27.2,0.06,2.05E+03,2.12E+03,8.81E+01,2017-6240,,early
27.16,27.2,0.06,2.18E+03,2.12E+03,8.81E+01,2017-6240,,early
24.05,2.40E+01,0.021,1.51E+04,1.53E+04,2.25E+02,2017-6241,,early
24.02,24.04,0.021,1.55E+04,1.53E+04,2.25E+02,2017-6241,,early
30.23,30.12,0.157,1.43E+02,1.55E+02,1.72E+01,2017-6242,,early
30,30.12,0.157,1.67E+02,1.55E+02,1.72E+01,2017-6242,,early
25.38,25.36,0.025,4.46E+03,4.51E+03,7.88E+01,2017-6243,,early
25.34,25.36,0.025,4.57E+03,4.51E+03,7.88E+01,2017-6243,,early
29.71,29.48,0.316,1.98E+02,2.35E+02,5.27E+01,2017-6244,,early
29.26,29.48,0.316,2.72E+02,2.35E+02,5.27E+01,2017-6244,,early
30.75,30.68,0.102,9.85E+01,1.04E+02,7.50E+00,2017-6245,,early
30.61,30.68,0.102,1.09E+02,1.04E+02,7.50E+00,2017-6245,,early
32.41,32.29,0.163,2.95E+01,3.22E+01,3.70E+00,2017-6249,,early
32.18,32.29,0.163,3.48E+01,3.22E+01,3.70E+00,2017-6249,,early
21.32,21.36,0.062,1.23E+05,1.20E+05,5.09E+03,2017-6250,,early
21.41,21.36,0.062,1.16E+05,1.20E+05,5.09E+03,2017-6250,,early
30.07,30.19,0.170,1.60E+02,1.48E+02,1.77E+01,2017-6251,,early
30.31,30.19,0.170,1.35E+02,1.48E+02,1.77E+01,2017-6251,,early
26.02,25.94,0.111,1.68E+03,1.78E+03,1.45E+02,2017-6255,,early
25.86,25.94,0.111,1.89E+03,1.78E+03,1.45E+02,2017-6255,,early
25.2,25.08,0.163,3.06E+03,3.35E+03,3.99E+02,2017-6261,,early
24.97,25.08,0.163,3.63E+03,3.35E+03,3.99E+02,2017-6261,,early
30.89,30.99,0.147,8.47E+01,7.88E+01,8.29E+00,2017-6262,,early
31.1,30.99,0.147,7.29E+01,7.88E+01,8.29E+00,2017-6262,,early
31.47,31.55,0.12,3.11E+01,2.92E+01,2.56E+00,2017-6263,,early
31.64,31.55,0.12,2.74E+01,2.92E+01,2.56E+00,2017-6263,,early
33,33.25,0.354,1.94E+01,1.65E+01,4.10E+00,2017-6265,,early
33.5,33.25,0.354,1.36E+01,1.65E+01,4.10E+00,2017-6265,,early
28.68,28.96,0.392,2.39E+02,1.99E+02,5.63E+01,2017-6266,,early
29.24,28.96,0.392,1.59E+02,1.99E+02,5.63E+01,2017-6266,,early
28.37,28.61,0.339,3.01E+02,2.56E+02,6.30E+01,2017-6269,,early
28.85,28.61,0.339,2.12E+02,2.56E+02,6.30E+01,2017-6269,,early
24.83,25.05,0.324,4.02E+03,3.45E+03,8.10E+02,2017-6270,,early
25.28,25.05,0.324,2.87E+03,3.45E+03,8.10E+02,2017-6270,,early
20.59,20.54,0.067,2.04E+05,2.11E+05,9.73E+03,2017-6273,,early
20.5,20.54,0.067,2.18E+05,2.11E+05,9.73E+03,2017-6273,,early
25.34,25.11,0.317,7.67E+03,9.07E+03,1.97E+03,2017-6274,,early
24.89,25.11,0.317,1.05E+04,9.07E+03,1.97E+03,2017-6274,,early
21.64,21.65,0.019,4.15E+04,4.11E+04,5.71E+02,2017-6278,,early
21.66,21.65,0.019,4.07E+04,4.11E+04,5.71E+02,2017-6278,,early
28.04,2.80E+01,0.094,8.94E+02,9.39E+02,6.28E+01,2017-6279,,early
27.91,2.80E+01,0.094,9.83E+02,9.39E+02,6.28E+01,2017-6279,,early
