"","Sample_Day","Uniq_ID","infection_status","maturity","treatment_tank","tube_number","temperature_treatment","comments","Run_ID","Assay_Name","Test_Name","Test_Date","Qubit_tube_conc","Units","Original_sample_conc","Units.1","Sample_Volume","Dilution_Factor","Std_1_RFU","Std_2_RFU","Excitation","Emission","Far_Red_RFU","sequence"
"2",12,"6210_274_12",1,"I",4,274,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143011","4/20/18 14:30",61.1,"ng/mL",2.44,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",309.98,1
"3",26,"6210_401_26",1,"I",4,401,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143039","4/20/18 14:30",54.6,"ng/mL",2.18,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",285.08,1
"4",9,"6129_86_9",1,"I",5,86,"warm",NA,"2018-04-20_141741","RNA High sensitivity","Sample_#180420-141824","4/20/18 14:18",77.2,"ng/mL",3.09,"ng/킠",5,40,89.46,1781.73,"Red","Far Red",377.32,1
"6",26,"6129_403_26",1,"I",5,403,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143048","4/20/18 14:30",66,"ng/mL",2.64,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",329.04,1
"7",9,"6180_149_9",0,"I",6,149,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143000","4/20/18 14:30",62.7,"ng/mL",2.51,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",316.27,1
"8",12,"6180_370_12",0,"I",6,370,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143031","4/20/18 14:30",44.9,"ng/mL",1.8,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",247.3,1
"9",26,"6180_402_26",0,"I",6,402,"warm",NA,"2018-04-20_142939","RNA High sensitivity","Sample_#180420-143056","4/20/18 14:30",36.4,"ng/mL",1.46,"ng/킠",5,40,86.13,1769.69,"Red","Far Red",214.77,1
"10",9,"6134_77_9",1,"I",7,77,"ambient",NA,"2018-03-26_132437","RNA High sensitivity","Sample_#180326-132518","3/26/18 13:25",42.8,"ng/mL",1.71,"ng/킠",5,40,84.14,1510.54,"Red","Far Red",214.08,1
"11",12,"6134_353_12",1,"I",7,353,"ambient",NA,"2018-04-06_133810","RNA High sensitivity","Sample_#180406-133914","4/6/18 13:39",67,"ng/mL",2.68,"ng/킠",5,40,76.57,1141.15,"Red","Far Red",232.63,1
"13",9,"6135_4_9",1,"I",8,4,"ambient",NA,"2018-04-06_133810","RNA High sensitivity","Sample_#180406-133835","4/6/18 13:38",88,"ng/mL",3.52,"ng/킠",5,40,76.57,1141.15,"Red","Far Red",284.34,1
