"","year.FRP","FRP","Uniq_ID","sample_day","infection_status","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Imm.mat","Run_ID","Assay_Name","Test_Name","Test_Date","Qubit_tube_conc","Units","Original_sample_conc","Units.1","Sample_Volume","Dilution_Factor","Std_1_RFU","Std_2_RFU","Excitation","Emission","Far_Red_RFU","X"
"1","2017-6101",6101,"6101_84_9",9,0,"I","7A",3001,3035,NA,1,"drain end",84,"","","","115.7","3","20.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-6101",6101,"6101_206_12",12,0,"I","1C",3001,3035,NA,1,"",206,"","","","115.7","3","20.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-6101",6101,"6101_415_26",26,0,"I","1C",3001,3035,NA,1,"",415,"","","","115.7","3","20.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-6102",6102,"6102_18_9",9,0,"I","8A",3004,3219,NA,2,"drain end",18,"","","","110.4","4","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-6102",6102,"6102_236_12",12,0,"I","2C",3004,3219,NA,2,"",236,"","","","110.4","4","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-6102",6102,"6102_439_26",26,0,"I","2C",3004,3219,NA,2,"",439,"","","","110.4","4","15.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-6103",6103,"6103_46_9",9,1,"I","9A",3007,3119,NA,1,"drain end",46,"3007/3291","","","83.5","3","10.8","I","2018-04-03_150806","RNA High sensitivity","Sample_#180403-150840","4/3/18 15:08","126","ng/mL","5.04","ng/uL",5,40,82.44,1309.95,"Red","Far Red",429.61,""
"8","2017-6103",6103,"6103_215_12",12,1,"I","1C",3007,3119,NA,1,"",215,"3007/3291","","","83.5","3","10.8","I","2018-04-23_174015","RNA High sensitivity","Sample_#180423-174126","4/23/18 17:41","167","ng/mL","6.68","ng/uL",5,40,89.95,1891.37,"Red","Far Red",761.32,""
"9","2017-6103",6103,"6103_409_26",26,1,"I","1C",3007,3119,NA,1,"",409,"","","","83.5","3","10.8","I","2018-04-23_174015","RNA High sensitivity","Sample_#180423-174136","4/23/18 17:41","201","ng/mL","8.04","ng/uL",5,40,89.95,1891.37,"Red","Far Red",897.6,""
"10","2017-6104",6104,"6104_41_9",9,0,"I","9A",3008,3472,NA,3,"drain end",41,"","","","81.6","3","11","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-6104",6104,"6104_259_12",12,0,"I","3C",3008,3472,NA,3,"",259,"","","","81.6","3","11","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-6104",6104,"6104_458_26",26,0,"I","3C",3008,3472,NA,3,"",458,"","","","81.6","3","11","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-6105",6105,"6105_43_9",9,1,"I","9A",3019,3504,NA,2,"drain end",43,"","","","119.8","3","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-6105",6105,"6105_234_12",12,1,"I","2C",3019,3504,NA,2,"",234,"","","","119.8","3","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-6105",6105,"6105_438_26",26,1,"I","2C",3019,3504,NA,2,"",438,"","","","119.8","3","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-6106",6106,"6106_5_9",9,0,"M","8A",3020,3509,NA,3,"drain end",5,"","","","113.8","3","20.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-6106",6106,"6106_241_12",12,0,"M","3C",3020,3509,NA,3,"",241,"","","","113.8","3","20.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-6106",6106,"6106_450_26",26,0,"M","3C",3020,3509,NA,3,"",450,"","","","113.8","3","20.5","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-6107",6107,"6107_115_9",9,0,"M","3C",3024,3597,NA,7,"drain end",115,"","","","132.9","4","29.7","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
