,Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units.1,Sample_Volume,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number,Sample_Day,Uniq_ID,FRP,infection_status,maturity,treatment_tank,temperature_treatment,comments
34,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133824,4/9/18 13:38,129,ng/mL,5.16,ng/uL,5,40,89.33,1962.33,Red,Far Red,629.14,469,26,6165_469_26,6165,0,I,7,ambient,
35,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133815,4/9/18 13:38,54.4,ng/mL,2.18,ng/uL,5,40,89.33,1962.33,Red,Far Red,309.64,502,26,6146_502_26,6146,0,I,9,ambient,
36,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133806,4/9/18 13:38,139,ng/mL,5.56,ng/uL,5,40,89.33,1962.33,Red,Far Red,672.97,349,12,6166_349_12,6166,0,I,8,ambient,
37,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133757,4/9/18 13:37,38.8,ng/mL,1.55,ng/uL,5,40,89.33,1962.33,Red,Far Red,242.8,360,12,6165_360_12,6165,0,I,7,ambient,
38,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133749,4/9/18 13:37,99.9,ng/mL,4,ng/uL,5,40,89.33,1962.33,Red,Far Red,506,309,12,6146_309_12,6146,0,I,9,ambient,
39,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133740,4/9/18 13:37,43.1,ng/mL,1.72,ng/uL,5,40,89.33,1962.33,Red,Far Red,261.13,21,9,6166_21_9,6166,0,I,8,ambient,
40,2018-04-09_133705,RNA High sensitivity,Sample_#180409-133728,4/9/18 13:37,0,ng/mL,0,ng/uL,5,40,89.33,1962.33,Red,Far Red,95.38,12,9,6146_12_9,6146,0,I,9,ambient,
41,2018-04-10_144639,RNA High sensitivity,Sample_#180410-144712,4/10/18 14:47,70.3,ng/mL,2.81,ng/uL,5,40,84.27,2053.54,Red,Far Red,387.9,88,9,6132_88_9,6132,0,I,1,cold,
42,2018-04-10_144639,RNA High sensitivity,Sample_#180410-144704,4/10/18 14:47,104,ng/mL,4.16,ng/uL,5,40,84.27,2053.54,Red,Far Red,540.88,36,9,6133_36_9,6133,0,I,2,cold,
43,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172346,4/10/18 17:23,97.4,ng/mL,3.9,ng/uL,5,40,89.15,1801.33,Red,Far Red,460.14,434,26,6133_434_26,6133,0,I,2,cold,
44,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172336,4/10/18 17:23,0,ng/mL,0,ng/uL,5,40,89.15,1801.33,Red,Far Red,152.7,406,26,6132_406_26,6132,0,I,1,cold,
45,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172322,4/10/18 17:23,0,ng/mL,0,ng/uL,5,40,89.15,1801.33,Red,Far Red,120.47,461,26,6119_461_26,6119,0,I,3,cold,
