"","year_FRP.x","FRP","sq_mean.x","equal_sample_vol_qpcr.x","sq_std_dev.x","pos_neg_no_quant.x","pos_neg.x","Qubit_conc.x","units.x","run.x","day_26_tube_number.x","treatment_tank.x","temperature_treatment.x","Comments.x","year_FRP.y","sq_mean.y","equal_sample_vol_qpcr.y","sq_std_dev.y","pos_neg_no_quant.y","pos_neg.y","Qubit_conc.y","units.y","run.y","day_26_tube_number.y","treatment_tank.y","temperature_treatment.y","Comments.y"
"1","2017-6210",6210,3560,"yes",562,0,"pos",0,"ng/ul","3/29/18 1st",401,4,"warm",0,"2017-6210",5590,"yes",215,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",4,"warm","0"
"2","2017-6103",6103,193,"yes",24.5,0,"pos",0,"ng/ul","3/29/18 second",409,1,"cold",0,"2017-6103",173,"yes",40.5,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"3","2017-6116",6116,449,"yes",118,0,"pos",0,"ng/ul","3/29/18 second",417,1,"cold",0,"2017-6116",422,"yes",58.7,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"4","2017-6203",6203,32.1,"yes",2.56,0,"pos",2.2,"ng/ul","4/25/18 third",425,2,"cold",0,"2017-6203",9140,"yes",2330,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",2,"cold","0"
"5","2017-6174",6174,157,"yes",3.43,0,"pos",0,"ng/ul","3/29/18 1st",433,2,"cold",0,"2017-6174",208,"yes",20.3,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",2,"cold","0"
"6","2017-6128",6128,697,"yes",59.8,0,"pos",0,"ng/ul","3/29/18 1st",441,2,"cold",0,"2017-6128",14800,"yes",4880,"0","pos",0,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",2,"cold","0"
"7","2017-6108",6108,135,"yes",25.8,0,"pos",0,"ng/ul","3/29/18 second",455,3,"cold",0,"2017-6108",7.76,"yes",0.537,"0","pos",0.232,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",3,"cold","0"
"8","2017-6180",6180,129,"yes",16.3,0,"pos",0,"ng/ul","3/29/18 1st",402,6,"warm",0,"2017-6180",0.589,"yes",0,"0","neg",1.21,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",6,"warm","0"
"9","2017-6178",6178,504,"yes",5.96,0,"pos",0,"ng/ul","4/24/18 second",410,1,"cold",0,"2017-6178",0,"0",0,"POS","0",0,"ng/ul","4/24/18 third","Day 0/1 (EtoH)",1,"cold","poor run but out of DNA"
"10","2017-6126",6126,461,"yes",67.8,0,"pos",0,"ng/ul","3/29/18 second",418,1,"cold",0,"2017-6126",747,"yes",115,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",1,"cold","0"
"11","2017-6160",6160,57.9,"yes",0.783,0,"pos",0,"ng/ul","3/29/18 1st",426,2,"cold",0,"2017-6160",0,"yes",0,"0","neg",3.8,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",2,"cold","0"
"12","2017-6133",6133,210,"yes",8.13,0,"pos",0,"ng/ul","4/24/18 second",434,2,"cold",0,"2017-6133",0.833,"yes",0.105,"0","neg",2.96,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",2,"cold","0"
"13","2017-6191",6191,532,"yes",80.9,0,"pos",0,"ng/ul","3/29/18 1st",442,2,"cold",0,"2017-6191",0.593,"yes",0,"0","neg",3.34,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",2,"cold","0"
"14","2017-6197",6197,169,"yes",12.7,0,"pos",0,"ng/ul","3/29/18 1st",449,3,"cold",0,"2017-6197",2600,"yes",265,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",3,"cold","0"
"15","2017-6197",6197,169,"yes",12.7,0,"pos",0,"ng/ul","3/29/18 1st",449,3,"cold",0,"2017-6197",0.925,"yes",0.094,"0","neg",1.63,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",3,"cold","0"
"16","2017-6177",6177,498,"yes",123,0,"pos",0,"ng/ul","3/29/18 second",456,3,"cold",0,"2017-6177",334,"yes",62.2,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",3,"cold","0"
"17","2017-6129",6129,7770,"yes",1060,0,"pos",0,"ng/ul","3/29/18 1st",403,5,"warm",0,"2017-6129",3360,"yes",515,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",5,"warm","0"
"18","2017-6279",6279,555,"yes",96,0,"pos",0,"ng/ul","3/29/18 second",411,1,"cold",0,"2017-6279",939,"yes",62.8,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"19","2017-6113",6113,24.9,"yes",0.142,0,"pos",0,"ng/ul","3/29/18 second",419,1,"cold",0,"2017-6113",23.6,"yes",1.12,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"20","2017-6171",6171,5.84,"yes",1.63,0,"pos",1.28,"ng/ul","4/24/18 second",427,2,"cold",0,"2017-6171",761000,"yes",23800,"0","pos",37.6,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",2,"cold","0"
"21","2017-6208",6208,1120,"yes",219,0,"pos",0,"ng/ul","3/29/18 1st",435,2,"cold",0,"2017-6208",0,"0",0,"POS","0",0,"ng/ul","4/24/18 third","Day 0/1 (EtoH)",2,"cold","poor run but out of DNA"
"22","2017-6188",6188,193,"yes",12.3,0,"pos",0,"ng/ul","3/29/18 1st",443,3,"cold",0,"2017-6188",1090,"yes",1.81,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",3,"cold","0"
"23","2017-6106",6106,148,"yes",0.831,0,"pos",0,"ng/ul","3/29/18 1st",450,3,"cold",0,"2017-6106",9.99,"yes",1.21,"0","pos",2.46,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",3,"cold","0"
"24","2017-6215",6215,214,"yes",36.7,0,"pos",0,"ng/ul","4/24/18 second",457,3,"cold",0,"2017-6215",302,"yes",21.8,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",3,"cold","0"
"25","2017-6153",6153,55.9,"yes",11.6,0,"pos",0,"ng/ul","3/29/18 1st",404,1,"cold",0,"2017-6153",103,"yes",27.6,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"26","2017-6207",6207,129,"yes",30.4,0,"pos",0,"ng/ul","4/27/18 2nd",412,1,"cold",0,"2017-6207",162,"yes",0.142,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",1,"cold","0"
"27","2017-6173",6173,1340,"yes",271,0,"pos",0,"ng/ul","3/29/18 second",420,1,"cold",0,"2017-6173",335,"yes",33.1,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",1,"cold","0"
"28","2017-6198",6198,247,"yes",30.7,0,"pos",0,"ng/ul","3/29/18 1st",428,2,"cold",0,"2017-6198",0,"0",0,"POS","0",0,"ng/ul","0","Day 0/1 (EtoH)",2,"cold","0"
"29","2017-6154",6154,94.9,"yes",16.3,0,"pos",0,"ng/ul","3/29/18 1st",436,2,"cold",0,"2017-6154",1.47,"yes",0.0561,"0","neg",3.72,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",2,"cold","0"
"30","2017-6209",6209,170,"yes",15.4,0,"pos",0,"ng/ul","3/29/18 1st",444,3,"cold",0,"2017-6209",464,"yes",42.5,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",3,"cold","0"
