Date_isolated,Uniq_ID,total_sample_µL,sample_used_µL,conc_ng/µL,total_yield_ng
3/13/18,6134_77_9,50,5,1.71,85.5
3/13/18,6134_465_26,50,5,N/A,N/A
3/21/18,6159_313_12,50,5,2,100
3/21/18,6159_508_26,50,5,N/A,N/A
3/27/18,6142_65_9,50,5,N/A,N/A
3/27/18,6130_498_26,50,5,1.8,90
3/28/18,6165_55_9,50,5,1.16,58
3/28/18,6165_469_26,50,5,5.16,258
