,pval,direction,color
2/15 ribosomal small subunit assembly,0.0752332402426685,0,skyblue2
72/246 cellular component assembly,0.0841462416619579,0,skyblue2
22/31 polysaccharide metabolic process,0.0151362826089052,1,firebrick1
26/41 carbohydrate metabolic process,0.0242871706356343,1,firebrick1
30/88 macromolecule biosynthetic process,0.00920106693958747,0,dodgerblue2
45/126 biosynthetic process,0.00920106693958747,0,dodgerblue2
39/99 organonitrogen compound biosynthetic process,0.017789990255781,0,dodgerblue2
