Trinity_ID,log2FoldChange
TRINITY_DN0_c0_g1_i2,-2.98824587984547
TRINITY_DN0_c0_g1_i3,5.7317540372425
TRINITY_DN0_c0_g2_i2,3.36979295838778
TRINITY_DN0_c1_g1_i1,1.04036098304538
TRINITY_DN0_c1_g1_i2,0.551730999611619
TRINITY_DN0_c1_g1_i3,1.16575881582954
TRINITY_DN0_c10_g1_i1,1.16583139762311
TRINITY_DN0_c10_g2_i1,-3.70875587659278
TRINITY_DN0_c11_g1_i1,0.61561951549047
TRINITY_DN0_c12_g1_i1,-2.70614462532016
TRINITY_DN0_c20_g1_i1,1.13347434271614
TRINITY_DN0_c3_g1_i5,-0.850842373815392
TRINITY_DN0_c31_g1_i1,1.16861071545433
TRINITY_DN0_c4_g1_i1,3.33486425241119
TRINITY_DN0_c4_g1_i2,4.78602363131281
TRINITY_DN1_c0_g1_i1,0.592006999701582
TRINITY_DN1_c0_g1_i2,-0.49871602100913
TRINITY_DN1_c0_g1_i3,-0.303422949341865
TRINITY_DN1_c0_g1_i4,-0.510762680451991
TRINITY_DN10_c0_g1_i1,-0.203262635106051
TRINITY_DN100_c0_g1_i1,-0.232149429825267
TRINITY_DN100_c0_g1_i2,-1.80054372038037
TRINITY_DN100_c0_g1_i3,-0.319775423176234
TRINITY_DN100_c0_g2_i1,3.41147863814578
TRINITY_DN1000_c0_g1_i1,1.07370034061171
TRINITY_DN1000_c0_g2_i1,-0.218329962884397
TRINITY_DN10000_c0_g1_i1,0.719963211574399
TRINITY_DN10000_c0_g1_i2,NA
TRINITY_DN10000_c0_g1_i3,-1.90360893488067
TRINITY_DN10000_c0_g1_i4,2.66231247776329
TRINITY_DN10000_c0_g1_i5,-0.998240075145466
TRINITY_DN10000_c0_g1_i6,NA
TRINITY_DN10000_c0_g1_i7,NA
TRINITY_DN10000_c0_g1_i8,-1.79313482352621
TRINITY_DN10001_c5_g1_i1,-1.05921042577958
TRINITY_DN10002_c0_g1_i1,0.283044113018017
TRINITY_DN10002_c0_g2_i1,-0.993425180007223
TRINITY_DN10003_c0_g1_i1,-0.749833252603684
TRINITY_DN10004_c0_g1_i1,-1.41550218872453
TRINITY_DN10004_c0_g1_i2,NA
TRINITY_DN10005_c0_g1_i1,NA
TRINITY_DN10005_c0_g1_i2,2.62928783312144
TRINITY_DN10005_c0_g2_i1,1.23948746542343
TRINITY_DN10006_c0_g1_i1,-1.51828421362749
TRINITY_DN10007_c0_g1_i1,1.01525346835727
TRINITY_DN1001_c0_g1_i2,-1.16609640682186
TRINITY_DN1001_c0_g1_i3,1.07774294768156
TRINITY_DN1001_c0_g1_i4,-5.24597020076034
TRINITY_DN1001_c0_g1_i5,-4.29285911664321
TRINITY_DN10010_c0_g1_i1,0.00268935956771391
TRINITY_DN10011_c0_g1_i1,-1.51660880166222
TRINITY_DN10012_c0_g1_i1,2.20976446965595
TRINITY_DN10013_c0_g1_i1,NA
TRINITY_DN10014_c0_g1_i1,0.0344082816108038
TRINITY_DN10016_c0_g1_i1,1.06926213251537
TRINITY_DN10017_c0_g1_i1,-0.250483458391984
TRINITY_DN10017_c1_g1_i1,NA
TRINITY_DN1002_c0_g1_i1,1.53930724680838
TRINITY_DN1002_c0_g1_i3,0.483714200148761
TRINITY_DN10021_c0_g1_i1,NA
TRINITY_DN10021_c0_g1_i3,0.0597312414343487
TRINITY_DN10022_c0_g1_i1,-2.18528979912478
TRINITY_DN10023_c0_g1_i1,1.37679659020104
TRINITY_DN10024_c0_g1_i1,-0.183071602425041
TRINITY_DN10025_c0_g1_i1,-0.973903957375567
TRINITY_DN10027_c0_g1_i1,0.399814939456827
TRINITY_DN10027_c0_g2_i1,2.00141422862124
TRINITY_DN10028_c0_g1_i1,0.100632801131239
TRINITY_DN10029_c0_g1_i1,0.386273657506434
TRINITY_DN10029_c0_g1_i2,NA
TRINITY_DN1003_c0_g1_i10,5.40973950388523
TRINITY_DN1003_c0_g1_i12,-7.22593225795462
TRINITY_DN1003_c0_g1_i4,8.09974069800188
TRINITY_DN1003_c0_g1_i5,NA
TRINITY_DN1003_c0_g1_i6,-1.2395039191953
TRINITY_DN1003_c0_g1_i7,-2.14232083510594
TRINITY_DN1003_c0_g1_i8,0.295680210796501
TRINITY_DN1003_c0_g1_i9,0.0586414012918367
TRINITY_DN1003_c1_g1_i1,0.284835461378086
TRINITY_DN1003_c2_g1_i1,0.172652615881417
TRINITY_DN10031_c0_g1_i1,NA
TRINITY_DN10033_c0_g1_i1,1.85604611106665
TRINITY_DN10034_c0_g1_i1,-0.212365024163037
TRINITY_DN10035_c2_g1_i1,-1.38004186728202
TRINITY_DN10038_c0_g1_i1,1.48313360901451
TRINITY_DN1004_c0_g1_i1,-0.425078385409468
TRINITY_DN1004_c1_g1_i1,NA
TRINITY_DN1004_c1_g1_i2,-0.274594995336024
TRINITY_DN10040_c0_g1_i1,NA
TRINITY_DN10041_c0_g1_i1,-1.08163430360158
TRINITY_DN10042_c0_g1_i1,2.75198836530024
TRINITY_DN10044_c0_g1_i3,1.30371569968772
TRINITY_DN10044_c0_g1_i4,NA
TRINITY_DN10044_c0_g1_i5,NA
TRINITY_DN10044_c0_g2_i1,1.59266275295202
TRINITY_DN10044_c0_g3_i1,NA
TRINITY_DN10045_c0_g1_i1,0.901795097386304
TRINITY_DN10046_c0_g1_i1,NA
