Trinity_ID,binary_sig
TRINITY_DN1004_c1_g1_i2,0
TRINITY_DN10040_c0_g1_i1,NA
TRINITY_DN10041_c0_g1_i1,0
TRINITY_DN10042_c0_g1_i1,NA
TRINITY_DN10044_c0_g1_i3,NA
TRINITY_DN10044_c0_g1_i4,NA
TRINITY_DN10044_c0_g1_i5,NA
TRINITY_DN10044_c0_g2_i1,NA
TRINITY_DN10044_c0_g3_i1,NA
TRINITY_DN10045_c0_g1_i1,0
TRINITY_DN10046_c0_g1_i1,NA
TRINITY_DN10046_c0_g1_i2,NA
TRINITY_DN10046_c0_g1_i3,0
TRINITY_DN10048_c0_g1_i1,NA
TRINITY_DN1005_c0_g1_i1,0
TRINITY_DN1005_c0_g1_i2,0
TRINITY_DN1005_c0_g1_i3,0
TRINITY_DN1005_c0_g2_i1,0
TRINITY_DN1005_c0_g2_i2,0
TRINITY_DN10050_c0_g1_i1,NA
TRINITY_DN10051_c0_g1_i1,NA
TRINITY_DN10051_c0_g1_i2,0
TRINITY_DN10051_c0_g1_i3,NA
TRINITY_DN10051_c0_g1_i4,NA
TRINITY_DN10052_c0_g1_i1,NA
TRINITY_DN10053_c0_g1_i1,1
TRINITY_DN10053_c0_g2_i1,1
TRINITY_DN10054_c0_g1_i1,0
TRINITY_DN10056_c0_g1_i3,NA
TRINITY_DN10056_c0_g1_i4,NA
TRINITY_DN10059_c0_g1_i1,NA
TRINITY_DN10059_c0_g1_i2,NA
TRINITY_DN10059_c0_g1_i4,NA
TRINITY_DN1006_c0_g1_i1,0
TRINITY_DN1006_c1_g1_i1,0
TRINITY_DN1006_c1_g1_i2,0
TRINITY_DN1006_c1_g1_i3,0
TRINITY_DN1006_c1_g1_i4,0
TRINITY_DN1006_c1_g1_i6,0
TRINITY_DN1006_c1_g1_i7,0
TRINITY_DN1006_c2_g1_i1,0
TRINITY_DN1006_c2_g1_i2,0
TRINITY_DN1006_c3_g1_i1,0
TRINITY_DN1006_c3_g1_i3,0
TRINITY_DN1006_c3_g1_i5,NA
TRINITY_DN1006_c3_g1_i6,0
TRINITY_DN1006_c4_g1_i1,0
TRINITY_DN1006_c4_g1_i2,0
TRINITY_DN1006_c4_g1_i3,0
TRINITY_DN10060_c0_g1_i2,NA
TRINITY_DN10060_c0_g2_i1,NA
TRINITY_DN10060_c0_g3_i1,NA
TRINITY_DN10061_c0_g1_i1,NA
TRINITY_DN10061_c1_g1_i1,NA
TRINITY_DN10062_c0_g1_i1,1
TRINITY_DN10062_c0_g1_i2,0
TRINITY_DN10064_c0_g1_i1,NA
TRINITY_DN10064_c0_g1_i2,NA
TRINITY_DN10064_c0_g2_i1,NA
TRINITY_DN10067_c0_g1_i1,0
TRINITY_DN10068_c0_g1_i1,0
TRINITY_DN10068_c1_g1_i1,0
TRINITY_DN10069_c0_g1_i1,0
TRINITY_DN1007_c0_g1_i1,0
TRINITY_DN10073_c0_g1_i1,0
TRINITY_DN10074_c0_g1_i1,1
TRINITY_DN10074_c0_g2_i1,1
TRINITY_DN10075_c0_g1_i1,NA
TRINITY_DN10075_c0_g1_i2,NA
TRINITY_DN10076_c0_g1_i1,0
TRINITY_DN10077_c0_g1_i1,NA
TRINITY_DN10077_c0_g1_i2,NA
TRINITY_DN10077_c0_g1_i3,NA
TRINITY_DN10077_c0_g1_i4,1
TRINITY_DN10078_c0_g1_i1,0
TRINITY_DN10079_c0_g1_i1,NA
TRINITY_DN10079_c0_g1_i2,0
TRINITY_DN1008_c0_g1_i1,0
TRINITY_DN1008_c0_g1_i2,0
TRINITY_DN1008_c0_g1_i3,0
TRINITY_DN1008_c0_g1_i5,0
TRINITY_DN1008_c0_g1_i8,NA
TRINITY_DN1008_c0_g1_i9,0
TRINITY_DN10081_c0_g1_i1,NA
TRINITY_DN10082_c0_g1_i1,NA
TRINITY_DN10083_c0_g1_i1,NA
TRINITY_DN10085_c0_g1_i1,0
TRINITY_DN10087_c0_g1_i1,NA
TRINITY_DN10087_c0_g1_i2,NA
TRINITY_DN10087_c0_g1_i3,NA
TRINITY_DN10087_c1_g1_i2,NA
TRINITY_DN10087_c1_g1_i3,NA
TRINITY_DN10088_c0_g1_i1,NA
TRINITY_DN10088_c0_g1_i2,0
TRINITY_DN1009_c0_g1_i1,0
TRINITY_DN10091_c0_g1_i1,NA
TRINITY_DN10094_c0_g1_i1,NA
TRINITY_DN10096_c0_g1_i1,0
TRINITY_DN10097_c0_g1_i1,NA
TRINITY_DN10098_c0_g1_i2,0
TRINITY_DN10098_c0_g1_i3,0
TRINITY_DN101_c0_g1_i1,0
TRINITY_DN101_c0_g1_i2,NA
TRINITY_DN101_c0_g1_i3,0
TRINITY_DN101_c0_g1_i4,0
TRINITY_DN101_c0_g1_i5,0
TRINITY_DN101_c0_g1_i6,0
TRINITY_DN101_c0_g1_i7,0
TRINITY_DN101_c0_g1_i8,0
TRINITY_DN1010_c0_g1_i1,0
TRINITY_DN1010_c0_g1_i4,NA
TRINITY_DN1010_c0_g1_i5,NA
TRINITY_DN1010_c0_g1_i7,0
TRINITY_DN10100_c0_g1_i1,NA
TRINITY_DN10100_c0_g1_i2,NA
TRINITY_DN10100_c0_g1_i3,0
TRINITY_DN10100_c0_g1_i5,NA
TRINITY_DN10100_c0_g1_i6,0
TRINITY_DN10100_c0_g1_i7,0
TRINITY_DN10100_c0_g1_i8,NA
TRINITY_DN10100_c0_g1_i9,NA
TRINITY_DN10100_c2_g1_i1,NA
TRINITY_DN10102_c0_g1_i1,NA
TRINITY_DN10103_c0_g1_i1,0
TRINITY_DN10105_c0_g1_i1,0
TRINITY_DN10108_c0_g1_i1,0
TRINITY_DN1011_c0_g1_i2,0
TRINITY_DN1011_c0_g1_i5,0
TRINITY_DN10111_c0_g1_i1,0
TRINITY_DN10114_c0_g1_i1,NA
TRINITY_DN10115_c0_g1_i1,0
TRINITY_DN10116_c0_g1_i1,NA
TRINITY_DN10116_c0_g1_i2,NA
TRINITY_DN10116_c0_g1_i3,NA
TRINITY_DN10116_c0_g1_i4,NA
TRINITY_DN10116_c0_g2_i1,NA
TRINITY_DN10116_c0_g2_i2,NA
TRINITY_DN10116_c0_g3_i1,NA
TRINITY_DN10117_c0_g1_i1,NA
TRINITY_DN10118_c0_g1_i1,NA
TRINITY_DN1012_c0_g1_i1,0
TRINITY_DN10120_c0_g1_i1,0
TRINITY_DN10121_c0_g1_i1,NA
TRINITY_DN10123_c0_g1_i2,0
TRINITY_DN10123_c1_g1_i1,NA
TRINITY_DN10125_c0_g1_i1,0
TRINITY_DN10127_c0_g1_i1,NA
TRINITY_DN10128_c0_g1_i1,NA
TRINITY_DN10128_c1_g1_i1,NA
TRINITY_DN10129_c0_g1_i1,NA
TRINITY_DN10129_c0_g1_i2,0
TRINITY_DN10129_c0_g1_i3,NA
TRINITY_DN1013_c0_g1_i1,0
TRINITY_DN10131_c0_g1_i1,NA
TRINITY_DN10131_c0_g1_i2,NA
TRINITY_DN10132_c0_g1_i1,NA
TRINITY_DN10134_c0_g1_i1,NA
TRINITY_DN10134_c0_g1_i2,NA
TRINITY_DN10135_c0_g1_i1,NA
TRINITY_DN10139_c0_g1_i1,0
TRINITY_DN1014_c0_g1_i1,0
TRINITY_DN1014_c0_g1_i2,0
TRINITY_DN1014_c0_g2_i1,0
TRINITY_DN1014_c1_g1_i1,0
TRINITY_DN1014_c1_g1_i2,0
TRINITY_DN1014_c2_g1_i1,0
TRINITY_DN1014_c2_g1_i2,0
TRINITY_DN1014_c2_g1_i3,0
TRINITY_DN1014_c2_g1_i4,0
TRINITY_DN1014_c2_g1_i5,0
TRINITY_DN1014_c3_g1_i1,0
TRINITY_DN1014_c3_g1_i2,0
TRINITY_DN1014_c4_g1_i1,0
TRINITY_DN10140_c0_g1_i1,NA
TRINITY_DN10141_c0_g1_i1,NA
